metric_name,value
coverage.entity.RF.n_rows_output,65108
coverage.entity.RF.n_rows_largest_input,46580
coverage.entity.RF.row_gain_vs_largest_input,0.39776728209531986
coverage.entity.GR.n_reference,15
coverage.entity.GR.row_count_abs_diff,65093
coverage.entity.GR.row_count_rel_diff,4339.533333333334
coverage.entity.GR.n_recovered,15
coverage.entity.GR.n_partial,0
coverage.entity.GR.n_lost,0
coverage.entity.GR.n_fabricated,65093
coverage.entity.GR.recovery_rate,1.0
coverage.fact.RF.density_output,0.6552051975179701
coverage.fact.RF.density_largest_input,0.0
coverage.fact.RF.density_gain,0.6552051975179701
coverage.fact.GR.per_column_drift_normalized.ESRB,0.2022109657629974
coverage.fact.GR.per_column_drift_normalized.criticScore,0.0794984071952002
coverage.fact.GR.per_column_drift_normalized.developer,0.7682422059291852
coverage.fact.GR.per_column_drift_normalized.name,0.7689580523425039
coverage.fact.GR.per_column_drift_normalized.platform,0.6229240943104144
coverage.fact.GR.per_column_drift_normalized.userScore,0.1435450215717142
coverage.fact.GR.per_column_drift_normalized.publisher,0.4293221207076724
coverage.fact.GR.overall_drift,0.43067155254566963
coverage.fact.GR.density_delta_per_attribute.name.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.name.pipe_density,1.0
coverage.fact.GR.density_delta_per_attribute.name.delta,0.0
coverage.fact.GR.density_delta_per_attribute.releaseYear.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.releaseYear.pipe_density,0.979280579959452
coverage.fact.GR.density_delta_per_attribute.releaseYear.delta,-0.020719420040548053
coverage.fact.GR.density_delta_per_attribute.developer.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.developer.pipe_density,0.9833046630214413
coverage.fact.GR.density_delta_per_attribute.developer.delta,-0.01669533697855874
coverage.fact.GR.density_delta_per_attribute.genres.reference_density,0.0
coverage.fact.GR.density_delta_per_attribute.genres.pipe_density,0.9972353627818394
coverage.fact.GR.density_delta_per_attribute.genres.delta,0.9972353627818394
coverage.fact.GR.density_delta_per_attribute.publisher.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.publisher.pipe_density,0.12096823739018248
coverage.fact.GR.density_delta_per_attribute.publisher.delta,-0.8790317626098175
coverage.fact.GR.density_delta_per_attribute.platform.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.platform.pipe_density,0.9956533759292253
coverage.fact.GR.density_delta_per_attribute.platform.delta,-0.004346624070774685
coverage.fact.GR.density_delta_per_attribute.criticScore.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.criticScore.pipe_density,0.3898445659519567
coverage.fact.GR.density_delta_per_attribute.criticScore.delta,-0.6101554340480433
coverage.fact.GR.density_delta_per_attribute.userScore.reference_density,0.9333333333333333
coverage.fact.GR.density_delta_per_attribute.userScore.pipe_density,0.3561620691773668
coverage.fact.GR.density_delta_per_attribute.userScore.delta,-0.5771712641559665
coverage.fact.GR.density_delta_per_attribute.ESRB.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.ESRB.pipe_density,0.35504085519444617
coverage.fact.GR.density_delta_per_attribute.ESRB.delta,-0.6449591448055538
coverage.source_based.RF.winning_source_distribution_per_attribute.ESRB.metacritic,0.6562359297613688
coverage.source_based.RF.winning_source_distribution_per_attribute.ESRB.sales,0.34376407023863126
coverage.source_based.RF.winning_source_distribution_per_attribute.criticScore.metacritic,0.6663024475524476
coverage.source_based.RF.winning_source_distribution_per_attribute.criticScore.sales,0.33369755244755245
coverage.source_based.RF.winning_source_distribution_per_attribute.developer.dbpedia,0.4183420745920843
coverage.source_based.RF.winning_source_distribution_per_attribute.developer.metacritic,0.3755099067599109
coverage.source_based.RF.winning_source_distribution_per_attribute.developer.sales,0.20614801864801424
coverage.source_based.RF.winning_source_distribution_per_attribute.genres.dbpedia,0.42552933177934205
coverage.source_based.RF.winning_source_distribution_per_attribute.genres.metacritic,0.37082362082362397
coverage.source_based.RF.winning_source_distribution_per_attribute.genres.sales,0.20364704739704337
coverage.source_based.RF.winning_source_distribution_per_attribute.id.dbpedia,0.42766608391609445
coverage.source_based.RF.winning_source_distribution_per_attribute.id.metacritic,0.3693181818181848
coverage.source_based.RF.winning_source_distribution_per_attribute.id.sales,0.20301573426573025
coverage.source_based.RF.winning_source_distribution_per_attribute.name.dbpedia,0.42766608391609445
coverage.source_based.RF.winning_source_distribution_per_attribute.name.metacritic,0.3693181818181848
coverage.source_based.RF.winning_source_distribution_per_attribute.name.sales,0.20301573426573025
coverage.source_based.RF.winning_source_distribution_per_attribute.platform.dbpedia,0.41921620046621
coverage.source_based.RF.winning_source_distribution_per_attribute.platform.metacritic,0.3749271561771602
coverage.source_based.RF.winning_source_distribution_per_attribute.platform.sales,0.20585664335663909
coverage.source_based.RF.winning_source_distribution_per_attribute.publisher.sales,1.0
coverage.source_based.RF.winning_source_distribution_per_attribute.releaseYear.dbpedia,0.4237567987568089
coverage.source_based.RF.winning_source_distribution_per_attribute.releaseYear.metacritic,0.37218337218337566
coverage.source_based.RF.winning_source_distribution_per_attribute.releaseYear.sales,0.20405982905982492
coverage.source_based.RF.winning_source_distribution_per_attribute.userScore.metacritic,0.6897911832946636
coverage.source_based.RF.winning_source_distribution_per_attribute.userScore.sales,0.31020881670533645
coverage.source_based.GR.same_source_collision_rate.reference,0.0
coverage.source_based.GR.same_source_collision_rate.pipe,0.0
coverage.source_based.GR.same_source_collision_rate.delta,0.0
coverage.source_based.GR.same_source_collision_rate.by_source.dbpedia.reference,0.0
coverage.source_based.GR.same_source_collision_rate.by_source.dbpedia.pipe,0.0
coverage.source_based.GR.same_source_collision_rate.by_source.dbpedia.delta,0.0
coverage.source_based.GR.same_source_collision_rate.by_source.metacritic.reference,0.0
coverage.source_based.GR.same_source_collision_rate.by_source.metacritic.pipe,0.0
coverage.source_based.GR.same_source_collision_rate.by_source.metacritic.delta,0.0
coverage.source_based.GR.same_source_collision_rate.by_source.sales.reference,0.0
coverage.source_based.GR.same_source_collision_rate.by_source.sales.pipe,0.0
coverage.source_based.GR.same_source_collision_rate.by_source.sales.delta,0.0
coverage.source_based.GR.source_mix_distribution_js,0.5826841765304209
coverage.source_based.GR.per_source_coverage_rate.dbpedia.reference,0.0
coverage.source_based.GR.per_source_coverage_rate.dbpedia.pipe,0.7154266756773361
coverage.source_based.GR.per_source_coverage_rate.dbpedia.delta,0.7154266756773361
coverage.source_based.GR.per_source_coverage_rate.metacritic.reference,1.0
coverage.source_based.GR.per_source_coverage_rate.metacritic.pipe,0.31476930638324013
coverage.source_based.GR.per_source_coverage_rate.metacritic.delta,-0.6852306936167598
coverage.source_based.GR.per_source_coverage_rate.sales.reference,0.0
coverage.source_based.GR.per_source_coverage_rate.sales.pipe,0.12098359648583891
coverage.source_based.GR.per_source_coverage_rate.sales.delta,0.12098359648583891
coverage.source_based.GR.source_mix_distribution_reference.metacritic,1.0
coverage.source_based.GR.source_mix_distribution_pipe.dbpedia,0.6100018430914788
coverage.source_based.GR.source_mix_distribution_pipe.dbpedia|metacritic,0.047367451004484855
coverage.source_based.GR.source_mix_distribution_pipe.dbpedia|metacritic|sales,0.04575474596055784
coverage.source_based.GR.source_mix_distribution_pipe.dbpedia|sales,0.012302635620814647
coverage.source_based.GR.source_mix_distribution_pipe.metacritic,0.22164710941819746
coverage.source_based.GR.source_mix_distribution_pipe.sales,0.06292621490446643
consistency.RF.validity_per_column.ESRB.validity_rate_pipe,1.0
consistency.RF.validity_per_column.ESRB.parse_failures_pipe,0
consistency.RF.validity_per_column.ESRB.constraint_failures_pipe,0
consistency.RF.validity_per_column.ESRB.n_evaluated_pipe,23116
consistency.RF.validity_per_column.criticScore.validity_rate_pipe,1.0
consistency.RF.validity_per_column.criticScore.parse_failures_pipe,0
consistency.RF.validity_per_column.criticScore.constraint_failures_pipe,0
consistency.RF.validity_per_column.criticScore.n_evaluated_pipe,25382
consistency.RF.validity_per_column.developer.validity_rate_pipe,1.0
