silver_cluster_id,best_pipe_cluster_id,overlap_count,silver_size,pipe_size,jaccard
dbpedia_10,dbpedia_44779,3,10,3,0.3
dbpedia_10011,dbpedia_10011,1,5,1,0.2
dbpedia_10013,dbpedia_10013,1,3,1,0.3333333333333333
dbpedia_10022,dbpedia_56492,2,6,2,0.3333333333333333
dbpedia_10025,dbpedia_10025,2,2,2,1.0
dbpedia_10034,dbpedia_10034,1,2,1,0.5
dbpedia_10038,dbpedia_10038,3,4,3,0.75
dbpedia_10039,dbpedia_10039,1,3,1,0.3333333333333333
dbpedia_1005,dbpedia_50020,2,9,2,0.2222222222222222
dbpedia_10055,dbpedia_10055,2,2,2,1.0
dbpedia_10056,dbpedia_3518,3,5,3,0.6
dbpedia_10057,dbpedia_64182,2,3,2,0.6666666666666666
dbpedia_10058,dbpedia_10058,1,4,1,0.25
dbpedia_10068,dbpedia_9982,2,5,2,0.4
dbpedia_1007,dbpedia_63846,3,4,3,0.75
dbpedia_10078,dbpedia_10078,2,6,2,0.3333333333333333
dbpedia_10083,dbpedia_10083,2,3,2,0.6666666666666666
dbpedia_10084,dbpedia_10084,3,3,3,1.0
dbpedia_10085,dbpedia_10085,2,3,2,0.6666666666666666
dbpedia_10091,dbpedia_10091,3,5,3,0.6
dbpedia_10095,dbpedia_10095,1,5,1,0.2
dbpedia_10097,dbpedia_15289,3,4,3,0.75
dbpedia_1010,dbpedia_1010,1,6,1,0.16666666666666666
dbpedia_10106,dbpedia_49374,2,7,2,0.2857142857142857
dbpedia_10110,dbpedia_10110,3,3,3,1.0
dbpedia_10113,dbpedia_10113,3,5,3,0.6
dbpedia_10115,dbpedia_10115,1,2,1,0.5
dbpedia_10118,dbpedia_20271,2,3,2,0.6666666666666666
dbpedia_1012,dbpedia_14367,2,45,2,0.044444444444444446
dbpedia_10124,dbpedia_17972,2,3,2,0.6666666666666666
dbpedia_10134,dbpedia_10134,2,2,2,1.0
dbpedia_10136,dbpedia_50468,2,3,2,0.6666666666666666
dbpedia_10137,dbpedia_41118,3,8,3,0.375
dbpedia_10140,dbpedia_10140,3,3,3,1.0
dbpedia_10144,dbpedia_10144,1,2,1,0.5
dbpedia_10149,dbpedia_5843,2,7,2,0.2857142857142857
dbpedia_10150,dbpedia_10150,2,4,2,0.5
dbpedia_10154,dbpedia_10154,1,7,1,0.14285714285714285
dbpedia_10156,dbpedia_10156,2,2,2,1.0
dbpedia_10162,dbpedia_10162,1,4,1,0.25
dbpedia_10171,dbpedia_10171,2,2,2,1.0
dbpedia_10173,dbpedia_10173,2,2,2,1.0
dbpedia_10176,dbpedia_10176,1,7,1,0.14285714285714285
dbpedia_10177,dbpedia_10177,3,3,3,1.0
dbpedia_10179,dbpedia_10179,3,3,3,1.0
dbpedia_10183,dbpedia_10183,2,2,2,1.0
dbpedia_10185,dbpedia_48543,3,5,3,0.6
dbpedia_10195,dbpedia_10195,1,5,1,0.2
dbpedia_10196,dbpedia_10196,1,5,1,0.2
dbpedia_10199,dbpedia_3354,2,6,2,0.3333333333333333
dbpedia_102,dbpedia_102,2,2,2,1.0
dbpedia_1020,dbpedia_1020,1,3,1,0.3333333333333333
dbpedia_10202,dbpedia_10202,1,3,1,0.3333333333333333
dbpedia_1021,dbpedia_1021,1,2,1,0.5
dbpedia_10212,dbpedia_10212,3,7,3,0.42857142857142855
dbpedia_10214,dbpedia_10214,2,3,2,0.6666666666666666
dbpedia_10223,dbpedia_54576,2,5,2,0.4
dbpedia_10228,dbpedia_965,3,37,3,0.08108108108108109
dbpedia_10230,dbpedia_10230,2,2,2,1.0
dbpedia_10244,dbpedia_10244,3,3,3,1.0
dbpedia_10248,dbpedia_10248,1,3,1,0.3333333333333333
dbpedia_10250,dbpedia_10250,2,2,2,1.0
dbpedia_10256,dbpedia_10256,2,5,2,0.4
dbpedia_10258,dbpedia_10258,1,5,1,0.2
dbpedia_10267,dbpedia_20787,2,3,2,0.6666666666666666
dbpedia_1027,dbpedia_1027,1,4,1,0.25
dbpedia_10270,dbpedia_63536,2,3,2,0.6666666666666666
dbpedia_10272,dbpedia_10272,3,3,3,1.0
dbpedia_10275,dbpedia_10275,3,4,3,0.75
dbpedia_10278,dbpedia_10278,3,3,3,1.0
dbpedia_1028,dbpedia_43028,2,9,2,0.2222222222222222
dbpedia_10280,dbpedia_40234,3,4,3,0.75
dbpedia_10282,dbpedia_10282,2,3,2,0.6666666666666666
dbpedia_10286,dbpedia_10286,1,47,1,0.02127659574468085
dbpedia_10287,dbpedia_10287,1,6,1,0.16666666666666666
dbpedia_10296,dbpedia_10296,3,3,3,1.0
dbpedia_10303,dbpedia_10303,3,3,3,1.0
dbpedia_10308,dbpedia_10308,1,2,1,0.5
dbpedia_1031,dbpedia_30444,3,50,3,0.06
dbpedia_10314,dbpedia_3801,2,4,2,0.5
dbpedia_10318,dbpedia_10318,2,3,2,0.6666666666666666
dbpedia_10319,dbpedia_10319,2,2,2,1.0
dbpedia_10321,dbpedia_17271,3,4,3,0.75
dbpedia_10322,dbpedia_10322,3,3,3,1.0
dbpedia_10326,dbpedia_10326,2,2,2,1.0
dbpedia_10327,dbpedia_10327,1,22,1,0.045454545454545456
dbpedia_10328,dbpedia_10328,3,5,3,0.6
dbpedia_10330,dbpedia_13257,2,6,2,0.3333333333333333
dbpedia_10338,dbpedia_10338,3,3,3,1.0
dbpedia_1034,dbpedia_42697,3,4,3,0.75
dbpedia_10348,dbpedia_10348,3,3,3,1.0
dbpedia_10350,dbpedia_10350,2,2,2,1.0
dbpedia_10357,dbpedia_8302,3,4,3,0.75
dbpedia_10360,dbpedia_10360,2,2,2,1.0
dbpedia_10361,dbpedia_10361,2,2,2,1.0
dbpedia_10363,dbpedia_10363,3,3,3,1.0
dbpedia_10366,dbpedia_10366,3,3,3,1.0
dbpedia_1037,dbpedia_64599,2,3,2,0.6666666666666666
dbpedia_10392,dbpedia_513,2,3,2,0.6666666666666666
dbpedia_10397,dbpedia_10397,2,2,2,1.0
dbpedia_10399,dbpedia_10399,2,3,2,0.6666666666666666
dbpedia_10400,dbpedia_10400,1,2,1,0.5
dbpedia_10401,dbpedia_10401,1,2,1,0.5
dbpedia_10403,dbpedia_10403,3,3,3,1.0
dbpedia_10409,dbpedia_10409,1,4,1,0.25
dbpedia_10410,dbpedia_10410,2,2,2,1.0
dbpedia_10422,dbpedia_17382,2,4,2,0.5
dbpedia_10427,dbpedia_10427,3,4,3,0.75
dbpedia_1043,dbpedia_1043,1,2,1,0.5
dbpedia_1044,dbpedia_1044,2,2,2,1.0
dbpedia_10440,dbpedia_10440,2,4,2,0.5
dbpedia_10445,dbpedia_32373,2,4,2,0.5
dbpedia_10450,dbpedia_10450,2,4,2,0.5
dbpedia_10453,dbpedia_10453,2,4,2,0.5
dbpedia_10458,dbpedia_10458,3,3,3,1.0
dbpedia_1046,dbpedia_1046,2,4,2,0.5
dbpedia_10461,dbpedia_58358,3,6,3,0.5
dbpedia_10463,dbpedia_10463,2,2,2,1.0
dbpedia_10468,dbpedia_18293,2,3,2,0.6666666666666666
dbpedia_10470,dbpedia_10470,1,10,1,0.1
dbpedia_10474,dbpedia_9893,2,3,2,0.6666666666666666
dbpedia_10476,dbpedia_10476,3,3,3,1.0
dbpedia_10483,dbpedia_10483,2,3,2,0.6666666666666666
dbpedia_10489,dbpedia_40402,2,3,2,0.6666666666666666
dbpedia_10493,dbpedia_10493,1,2,1,0.5
dbpedia_10494,dbpedia_10494,2,4,2,0.5
dbpedia_10495,dbpedia_10495,2,2,2,1.0
dbpedia_10501,dbpedia_10501,2,4,2,0.5
dbpedia_10513,dbpedia_10513,1,5,1,0.2
dbpedia_10518,dbpedia_10518,2,2,2,1.0
dbpedia_1052,dbpedia_3084,2,4,2,0.5
dbpedia_10526,dbpedia_10526,3,3,3,1.0
dbpedia_1053,dbpedia_1053,2,28,2,0.07142857142857142
dbpedia_10530,dbpedia_10530,2,2,2,1.0
dbpedia_10534,dbpedia_10534,3,7,3,0.42857142857142855
dbpedia_10537,dbpedia_10537,3,3,3,1.0
dbpedia_10539,dbpedia_10539,1,4,1,0.25
dbpedia_10540,dbpedia_10540,2,2,2,1.0
dbpedia_10546,dbpedia_2068,2,6,2,0.3333333333333333
dbpedia_10547,dbpedia_10547,1,2,1,0.5
dbpedia_10548,dbpedia_3529,3,6,3,0.5
dbpedia_10549,dbpedia_26462,3,6,3,0.5
dbpedia_1055,dbpedia_9437,2,5,2,0.4
dbpedia_10557,dbpedia_10557,3,3,3,1.0
dbpedia_1056,dbpedia_1056,3,4,3,0.75
dbpedia_10562,dbpedia_34953,2,4,2,0.5
dbpedia_10563,dbpedia_10563,1,2,1,0.5
dbpedia_10564,dbpedia_10564,2,2,2,1.0
dbpedia_10565,dbpedia_62096,2,5,2,0.4
dbpedia_10570,dbpedia_33706,2,3,2,0.6666666666666666
dbpedia_10571,dbpedia_20602,3,5,3,0.6
dbpedia_10572,dbpedia_10572,2,2,2,1.0
dbpedia_10576,dbpedia_10576,2,4,2,0.5
dbpedia_1058,dbpedia_1058,1,2,1,0.5
dbpedia_10581,dbpedia_42412,2,3,2,0.6666666666666666
dbpedia_10586,dbpedia_10586,3,3,3,1.0
dbpedia_10587,dbpedia_10587,2,2,2,1.0
dbpedia_10590,dbpedia_10590,1,4,1,0.25
dbpedia_10591,dbpedia_12441,2,4,2,0.5
dbpedia_10593,dbpedia_10593,2,4,2,0.5
