id1,id2,score,notes
mbrainz_3798,lastFM_7890,0.9951091409,ditto_plm
mbrainz_16922,lastFM_39466,0.9950399995,ditto_plm
mbrainz_15835,lastFM_35465,0.9949465394,ditto_plm
mbrainz_85,lastFM_111,0.9949041605,ditto_plm
mbrainz_2773,lastFM_5889,0.9948861003,ditto_plm
mbrainz_1762,lastFM_3990,0.9948735833,ditto_plm
mbrainz_13252,lastFM_28594,0.9948680401,ditto_plm
mbrainz_12309,lastFM_26501,0.9948608279,ditto_plm
mbrainz_4145,lastFM_8592,0.9948543906,ditto_plm
mbrainz_18707,lastFM_45684,0.9948398471,ditto_plm
mbrainz_2439,lastFM_5211,0.994831264,ditto_plm
mbrainz_6119,lastFM_12869,0.9948272109,ditto_plm
mbrainz_27397,lastFM_68560,0.9948230982,ditto_plm
mbrainz_370,lastFM_697,0.9948219061,ditto_plm
mbrainz_1886,lastFM_4208,0.9948202372,ditto_plm
mbrainz_13316,lastFM_28757,0.994820118,ditto_plm
mbrainz_4627,lastFM_9536,0.9948199391,ditto_plm
mbrainz_5321,lastFM_11137,0.9948192239,ditto_plm
mbrainz_22462,lastFM_25990,0.9948176742,ditto_plm
mbrainz_102,lastFM_134,0.9948155284,ditto_plm
mbrainz_14563,lastFM_31880,0.9948126078,ditto_plm
mbrainz_1812,lastFM_4071,0.9948126078,ditto_plm
mbrainz_16361,lastFM_37645,0.994811058,ditto_plm
mbrainz_313,lastFM_549,0.9948097467,ditto_plm
mbrainz_3743,lastFM_7796,0.9948043227,ditto_plm
mbrainz_33822,lastFM_83571,0.9948025942,ditto_plm
mbrainz_30104,lastFM_75188,0.9948021173,ditto_plm
mbrainz_8534,lastFM_18215,0.9948017597,ditto_plm
mbrainz_26340,lastFM_66123,0.9947987795,ditto_plm
mbrainz_16030,lastFM_36334,0.9947974682,ditto_plm
mbrainz_14427,lastFM_31532,0.9947912693,ditto_plm
mbrainz_18289,lastFM_39944,0.9947847724,ditto_plm
mbrainz_10206,lastFM_21777,0.9947841763,ditto_plm
mbrainz_13618,lastFM_29507,0.9947789907,ditto_plm
mbrainz_25489,lastFM_64256,0.9947783947,ditto_plm
