silver_cluster_id,pipe_cluster_id,name,artist,release-date,release-country,label,genre,duration,n_attributes_correct,fully_correct
mbrainz_2347,discogs_10320,True,True,False,False,True,True,False,4,False
mbrainz_2397,discogs_10504,False,False,False,False,False,True,False,1,False
mbrainz_2558,discogs_11149,True,True,False,False,True,True,False,4,False
mbrainz_348,discogs_1143,False,True,False,True,True,True,False,4,False
mbrainz_2660,discogs_11632,True,True,False,False,False,True,False,3,False
mbrainz_49,discogs_117,True,True,False,True,True,True,False,5,False
mbrainz_21036,discogs_118956,False,False,False,False,True,True,False,2,False
mbrainz_2807,k04__within_dup__discogs__discogs_12243,False,False,False,False,False,,False,0,False
mbrainz_3202,discogs_13862,True,False,False,False,True,True,False,3,False
mbrainz_3151,discogs_14247,True,True,False,False,True,True,False,4,False
mbrainz_3388,discogs_14628,True,False,False,False,True,,True,3,False
mbrainz_3570,discogs_15361,False,True,False,False,True,True,False,3,False
mbrainz_436,discogs_1636,True,True,False,False,False,True,False,3,False
mbrainz_469,discogs_1799,True,True,False,False,False,False,False,2,False
mbrainz_4495,discogs_19176,True,True,False,True,True,False,False,4,False
mbrainz_4615,discogs_19670,False,True,False,False,True,True,False,3,False
mbrainz_5463,discogs_23650,True,True,False,True,True,,False,4,False
mbrainz_5586,discogs_24299,True,True,False,True,True,True,False,5,False
mbrainz_123,discogs_259,False,True,False,False,True,True,False,3,False
mbrainz_135,discogs_289,True,True,False,False,True,True,False,4,False
mbrainz_6891,discogs_30446,False,False,False,True,True,,False,2,False
mbrainz_7067,discogs_31354,True,False,False,False,True,True,False,3,False
mbrainz_7957,discogs_35648,False,False,False,True,True,True,False,3,False
mbrainz_803,discogs_3720,True,False,False,False,True,True,False,3,False
mbrainz_6880,discogs_37434,True,False,False,False,True,False,False,2,False
mbrainz_159,discogs_375,True,False,False,True,True,,False,3,False
mbrainz_9576,discogs_43081,True,True,False,False,False,True,True,4,False
mbrainz_5260,discogs_43498,True,False,False,False,True,True,False,3,False
mbrainz_10080,discogs_45361,True,True,False,False,False,True,True,4,False
mbrainz_175,discogs_473,True,True,False,True,True,True,False,5,False
mbrainz_10613,discogs_48169,True,True,False,True,True,,True,5,False
mbrainz_11156,discogs_50910,True,True,False,True,False,True,False,4,False
mbrainz_5549,discogs_50918,True,True,False,False,True,True,False,4,False
mbrainz_188,discogs_537,False,True,False,True,True,True,False,4,False
mbrainz_6947,discogs_55629,True,False,False,True,True,,False,3,False
mbrainz_12193,discogs_55909,True,False,False,False,False,True,False,2,False
mbrainz_12500,discogs_57381,True,False,False,True,True,True,False,4,False
mbrainz_12766,discogs_58657,False,False,False,True,True,,False,2,False
mbrainz_12847,discogs_59074,True,True,False,False,True,True,False,4,False
mbrainz_1269,discogs_6025,True,False,False,True,True,True,False,4,False
mbrainz_1314,discogs_6285,True,True,False,True,True,True,False,5,False
mbrainz_13786,discogs_63403,True,True,False,True,False,True,True,5,False
