silver_cluster_id,best_pipe_cluster_id,overlap_count,silver_size,pipe_size,jaccard
mbrainz_2347,discogs_10320,2,2,2,1.0
mbrainz_2397,discogs_10504,1,2,1,0.5
mbrainz_23870,discogs_106146,1,2,1,0.5
mbrainz_2558,discogs_11149,2,2,2,1.0
mbrainz_348,discogs_1143,2,2,2,1.0
mbrainz_2660,discogs_11632,2,2,2,1.0
mbrainz_49,discogs_117,2,2,2,1.0
mbrainz_21036,discogs_118956,2,2,2,1.0
mbrainz_2033,discogs_12183,1,2,1,0.5
mbrainz_2807,discogs_12243,3,3,3,1.0
mbrainz_28928,discogs_124072,2,2,2,1.0
mbrainz_14410,discogs_125229,2,2,2,1.0
mbrainz_375,discogs_1257,2,2,2,1.0
mbrainz_3202,discogs_13862,2,2,2,1.0
mbrainz_3151,discogs_14247,2,2,2,1.0
mbrainz_3388,discogs_14628,2,2,2,1.0
mbrainz_25400,discogs_148750,1,2,1,0.5
mbrainz_3570,discogs_15361,1,2,1,0.5
mbrainz_436,discogs_1636,2,2,2,1.0
mbrainz_77,discogs_176,2,2,2,1.0
mbrainz_469,discogs_1799,2,2,2,1.0
mbrainz_4495,discogs_19176,2,2,2,1.0
mbrainz_4615,discogs_19670,2,2,2,1.0
mbrainz_5189,discogs_22686,2,2,2,1.0
mbrainz_5285,discogs_22772,2,2,2,1.0
mbrainz_5463,discogs_23650,2,2,2,1.0
mbrainz_5586,discogs_24299,2,2,2,1.0
mbrainz_123,discogs_259,2,2,2,1.0
mbrainz_6142,discogs_26824,2,2,2,1.0
mbrainz_135,discogs_289,2,2,2,1.0
mbrainz_6891,discogs_30446,3,3,3,1.0
mbrainz_7067,discogs_31354,2,2,2,1.0
mbrainz_143,discogs_316,2,2,2,1.0
mbrainz_7957,discogs_35648,2,2,2,1.0
mbrainz_7969,discogs_35700,2,2,2,1.0
mbrainz_803,discogs_3720,2,2,2,1.0
mbrainz_6880,discogs_37434,2,2,2,1.0
mbrainz_159,discogs_375,2,2,2,1.0
mbrainz_5312,discogs_38034,2,2,2,1.0
mbrainz_9576,discogs_43081,2,2,2,1.0
mbrainz_5260,discogs_43498,2,2,2,1.0
mbrainz_10080,discogs_45361,2,2,2,1.0
mbrainz_8711,discogs_45539,2,2,2,1.0
mbrainz_175,discogs_473,2,2,2,1.0
mbrainz_10613,discogs_48169,2,2,2,1.0
mbrainz_8082,discogs_50394,2,2,2,1.0
mbrainz_11156,discogs_50910,2,2,2,1.0
mbrainz_5549,discogs_50918,2,2,2,1.0
mbrainz_188,discogs_537,1,2,1,0.5
mbrainz_12115,discogs_55615,2,2,2,1.0
mbrainz_6947,discogs_55629,2,2,2,1.0
mbrainz_12193,discogs_55909,2,2,2,1.0
mbrainz_12500,discogs_57381,2,2,2,1.0
mbrainz_12766,discogs_58657,3,3,3,1.0
mbrainz_12847,discogs_59074,2,2,2,1.0
mbrainz_1269,discogs_6025,2,2,2,1.0
mbrainz_1314,discogs_6285,2,2,2,1.0
mbrainz_13786,discogs_63403,2,2,2,1.0
mbrainz_13703,discogs_63470,2,2,2,1.0
mbrainz_1337,discogs_6414,2,2,2,1.0
mbrainz_13875,discogs_64358,2,2,2,1.0
mbrainz_14382,discogs_67328,2,2,2,1.0
mbrainz_9448,discogs_67427,2,2,2,1.0
mbrainz_11821,discogs_69253,1,2,1,0.5
mbrainz_4147,discogs_69529,2,2,2,1.0
mbrainz_15029,discogs_70907,3,3,3,1.0
mbrainz_15127,discogs_71459,3,3,3,1.0
mbrainz_15132,discogs_71475,2,2,2,1.0
mbrainz_15458,discogs_71795,2,2,2,1.0
mbrainz_1502,discogs_7290,2,2,2,1.0
mbrainz_13271,discogs_75502,2,2,2,1.0
mbrainz_1568,discogs_7716,2,2,2,1.0
mbrainz_16037,discogs_78499,2,2,2,1.0
mbrainz_15003,discogs_78685,2,2,2,1.0
mbrainz_1651,discogs_7935,2,2,2,1.0
mbrainz_1653,discogs_7938,1,2,1,0.5
mbrainz_16268,discogs_80608,2,2,2,1.0
mbrainz_6419,discogs_82564,2,2,2,1.0
mbrainz_1834,discogs_8457,2,2,2,1.0
mbrainz_11790,discogs_90880,2,2,2,1.0
mbrainz_2083,discogs_9334,1,2,1,0.5
mbrainz_2222,discogs_9336,2,2,2,1.0
mbrainz_2091,discogs_9350,2,2,2,1.0
mbrainz_2110,discogs_9404,1,2,1,0.5
mbrainz_8220,discogs_96377,1,2,1,0.5
mbrainz_9858,discogs_96815,3,3,3,1.0
mbrainz_18462,discogs_98622,3,3,3,1.0
mbrainz_5095,lastFM_10595,2,2,2,1.0
mbrainz_5321,discogs_23005,2,2,2,1.0
mbrainz_8963,lastFM_19085,2,2,2,1.0
mbrainz_9185,discogs_41256,2,2,2,1.0
mbrainz_13699,lastFM_29687,2,2,2,1.0
mbrainz_18332,discogs_97566,2,2,2,1.0
mbrainz_2170,discogs_9616,2,2,2,1.0
mbrainz_20856,lastFM_52562,2,2,2,1.0
mbrainz_23557,lastFM_59772,2,2,2,1.0
mbrainz_29595,lastFM_73829,2,2,2,1.0
mbrainz_3787,lastFM_7870,2,2,2,1.0
mbrainz_32422,lastFM_80555,2,2,2,1.0
mbrainz_25432,lastFM_64124,1,1,1,1.0
