silver_cluster_id,pipe_cluster_id,type,title,publication_year,journal,volume,issue,first_page,last_page,referenced_works_count,n_attributes_correct,fully_correct
crossref-00000+dblp-14237+open_alex-12466,crossref-00000,True,True,True,,,,True,True,False,5,False
crossref-00002+dblp-59757+open_alex-14667,crossref-00002,True,False,True,True,True,True,False,False,True,6,False
crossref-00003+dblp-12049+open_alex-14864,crossref-00003,True,True,True,,,,True,True,False,5,False
crossref-00004+dblp-56731+open_alex-18529,crossref-00004,True,True,True,True,True,True,True,True,True,9,True
crossref-00005+dblp-08609+open_alex-29631,dblp-08609,True,False,True,,,,False,False,True,3,False
crossref-00006+dblp-10653+open_alex-03902,crossref-00006,True,True,True,,,,True,True,False,5,False
crossref-00007+dblp-15180+open_alex-16363,crossref-00007,True,True,True,,,,True,True,False,5,False
crossref-00008+dblp-12339+open_alex-15958,crossref-00008,True,True,True,,,,True,True,True,6,True
crossref-00009+dblp-12545+open_alex-10807,crossref-00009,True,False,True,,,,True,True,True,5,False
crossref-00010+dblp-12612+open_alex-11026,crossref-00010,True,True,True,True,True,,True,True,True,8,True
crossref-00011+dblp-07295+open_alex-16801,crossref-00011,True,True,True,True,True,,True,True,True,8,True
crossref-00012+dblp-54912+open_alex-16154,crossref-00012,True,True,True,True,True,,True,True,True,8,True
crossref-00013+dblp-05454+open_alex-00768,crossref-00013,True,True,True,True,True,,True,True,True,8,True
crossref-00014+dblp-07025+open_alex-04364,crossref-00014,True,True,True,,,,,,False,3,False
crossref-00016+dblp-21375+open_alex-17959,crossref-00016,True,True,True,True,True,True,,,True,7,True
crossref-00017+dblp-10721+open_alex-01334,crossref-00017,True,True,True,,,,,,False,3,False
crossref-00019+dblp-17997+open_alex-17088,crossref-00019,True,True,True,False,True,True,True,True,True,8,False
crossref-00021+dblp-03989+open_alex-11432,crossref-00021,True,True,True,True,True,True,True,True,True,9,True
crossref-00022+dblp-00385+open_alex-20199,crossref-00022,True,True,True,,,,True,True,False,5,False
crossref-00023+dblp-12315+open_alex-07270,crossref-00023,True,True,True,,,,True,True,True,6,True
crossref-00024+dblp-12383+open_alex-13114,crossref-00024,True,False,True,,,,True,True,True,5,False
crossref-00025+dblp-22500+open_alex-17323,crossref-00025,True,True,True,True,True,True,True,True,False,8,False
crossref-00026+dblp-04208+open_alex-08982,crossref-00026,True,False,True,,,,True,True,True,5,False
crossref-00028+dblp-59596+open_alex-07694,crossref-00028,True,False,True,True,True,True,False,False,True,6,False
crossref-00029+dblp-53893+open_alex-13048,crossref-00029,True,True,True,True,True,True,True,True,False,8,False
crossref-00030+dblp-10818+open_alex-00179,crossref-00030,True,True,True,,,,,,False,3,False
crossref-00031+dblp-12439+open_alex-17221,crossref-00031,True,False,True,,,,True,True,True,5,False
crossref-00032+dblp-49242+open_alex-05814,crossref-00032,True,True,True,True,True,True,True,True,True,9,True
crossref-00033+dblp-55180+open_alex-28032,dblp-55180,True,True,True,False,True,,False,False,False,4,False
crossref-00034+dblp-10295+open_alex-03475,crossref-00034,True,True,True,True,True,,True,True,True,8,True
crossref-00036+dblp-59733+open_alex-02381,crossref-00036,True,True,True,True,True,True,False,False,True,7,False
crossref-00037+dblp-50333+open_alex-00531,crossref-00037,True,True,True,True,True,,True,True,True,8,True
crossref-00038+dblp-12426+open_alex-02757,crossref-00038,True,True,True,,,,True,True,True,6,True
crossref-00039+dblp-15764,crossref-00039,True,True,True,False,False,True,True,True,True,7,False
crossref-00040+dblp-47310+open_alex-21186,crossref-00040,True,True,True,True,True,True,True,True,True,9,True
crossref-00041+dblp-10636+open_alex-21272,crossref-00041,True,False,True,,,,True,True,False,4,False
crossref-00042+dblp-05935+open_alex-17741,crossref-00042,True,True,True,,,,,,False,3,False
