silver_cluster_id,pipe_cluster_id,title,brand,description,price,priceCurrency,product_type,model,model_number,chipset_name,vram_gb,storage_gb,read_speed_mb_s,write_speed_mb_s,bus_type,interface_type,width_mm,length_mm,height_mm,weight_g,storage_connection_type,memory_type,color,form_factor,title_description,n_attributes_correct,fully_correct
1057972,products_1_1022732,True,True,True,False,True,True,False,False,,,True,True,True,True,True,False,False,False,False,True,,False,True,False,12,False
1178275,products_1_10524439,True,True,False,True,True,True,True,True,,,True,True,True,False,False,True,True,True,True,True,,,True,False,16,False
133436,products_1_10678822,False,True,True,False,True,True,True,True,,,True,True,,True,False,False,False,False,False,False,,False,,True,10,False
1856804,products_1_1080849,False,True,False,False,True,True,True,True,,,True,True,True,True,False,False,False,False,False,False,False,False,,False,9,False
2691660,products_1_10827123,False,True,True,False,True,True,True,False,,,True,True,False,True,False,False,False,False,False,False,False,True,False,True,10,False
308029,products_1_10861890,True,True,True,True,True,True,False,False,,,True,False,False,True,False,False,False,False,False,False,,False,False,True,9,False
1334382,products_1_14715948,True,True,True,False,True,True,True,True,,,True,True,False,True,False,False,False,False,False,False,,True,True,True,13,False
3769718,products_1_15104574,False,True,False,True,True,True,False,False,,,True,False,False,True,False,False,False,False,False,True,,,True,False,8,False
2130111,products_1_15814761,True,True,True,True,True,True,True,True,True,True,,,,False,False,False,False,False,False,,True,,False,True,12,False
1455368,products_1_16121684,True,True,True,True,True,True,False,True,,,True,True,True,True,True,False,False,False,False,True,,True,True,True,16,False
795374,products_1_17229793,True,True,True,True,True,True,True,True,,,True,True,False,True,False,False,False,False,False,False,False,False,,True,12,False
1943588,products_1_17432451,True,True,True,False,True,True,False,False,True,True,,,,True,False,False,False,False,,,True,,False,True,10,False
3487297,products_1_20598122,False,True,False,False,True,True,True,False,,,True,False,False,False,False,False,False,False,False,False,,False,,False,5,False
65450,products_1_20847143,False,True,False,False,True,True,False,False,,,True,False,False,False,False,False,False,False,False,False,,True,False,True,6,False
1769206,products_1_20960713,True,True,False,True,True,True,True,True,,,True,False,False,True,False,False,False,False,False,False,,,True,False,10,False
1134888,products_1_22682562,True,True,True,True,True,True,True,True,,,True,True,True,True,True,False,False,False,False,True,,,True,True,16,False
1925917,products_1_23622857,False,True,True,False,True,True,False,True,,,True,False,True,True,True,False,False,False,False,True,,False,False,True,11,False
913397,products_1_23766798,True,True,True,True,True,True,True,True,,,True,True,True,False,False,,,,,False,,False,True,True,13,False
1805681,products_1_26394951,True,True,True,True,True,True,True,True,,,True,False,False,True,False,False,False,False,False,False,False,False,False,True,11,False
1668654,products_1_2652480,True,True,True,True,True,True,True,True,,,True,True,True,False,False,,,,,True,,,True,True,14,False
1813877,products_1_26986926,True,True,True,False,True,True,False,True,,,True,False,False,False,False,False,False,False,False,True,,,True,True,10,False
2118319,products_1_27166335,True,True,True,False,True,True,True,True,True,True,,,,True,False,False,True,False,,,True,,False,False,12,False
2170749,products_1_27333099,True,True,True,True,True,True,False,True,,,True,True,True,False,False,False,False,False,False,True,,,True,True,13,False
70963,products_1_27373947,True,True,True,False,True,True,True,True,,,True,True,True,True,False,False,False,False,,False,,,,True,12,False
1599286,products_1_27830267,True,True,False,False,True,True,False,True,True,True,,,,True,False,False,False,False,,,True,,False,False,9,False
2365887,products_1_27969946,True,True,False,True,True,True,True,True,,,True,False,False,False,False,False,False,False,False,False,,True,True,False,10,False
697270,products_1_28224541,True,True,True,False,True,True,False,False,False,True,,,,True,False,False,False,False,False,,True,False,False,True,9,False
597775,products_1_2912414,False,True,False,True,True,True,False,True,,,True,True,False,True,False,False,False,False,False,False,,False,,False,8,False
675941,products_1_3146170,True,True,True,False,True,True,False,True,False,True,,,,False,False,False,False,False,False,,True,False,False,True,9,False
26785092,products_1_32132801,True,True,True,True,True,True,True,False,,,True,,,True,False,False,False,False,False,False,,,True,True,11,False
174280,products_1_325545,False,True,True,False,True,True,True,True,,,True,False,False,False,False,False,False,False,False,False,,False,False,True,8,False
564620,products_1_32651602,True,True,True,False,True,True,False,False,False,True,,,,False,False,False,False,False,False,,True,False,False,True,8,False
45783418,products_1_3308613,True,True,True,False,True,True,False,True,,,True,False,False,False,False,False,False,False,False,False,,,True,True,9,False
3773583,products_1_3323341,False,True,False,True,True,True,False,False,True,True,,,,True,False,False,False,False,False,,True,,False,False,8,False
5951871,products_1_33376118,True,True,True,False,True,True,True,True,,,True,False,False,True,False,False,False,False,True,False,,True,,True,12,False
1085000,products_1_34032163,True,True,True,True,True,True,False,False,,,True,True,True,True,False,False,False,False,,False,False,True,,True,12,False
37409,products_1_34143288,False,True,False,True,True,True,False,False,,,True,True,True,True,True,False,False,False,False,True,,,True,False,11,False
2872646,products_1_35800770,False,True,False,True,True,True,False,True,,,True,False,False,False,False,False,False,False,False,False,,True,True,False,8,False
2632323,products_1_3589339,True,True,False,True,True,True,True,False,,,True,True,True,False,False,True,True,True,True,True,,,True,False,15,False
700705,products_1_35966001,False,True,False,True,True,True,False,False,,,True,True,True,True,True,False,False,False,False,True,,False,True,False,11,False
196642,products_1_3600312,True,True,True,True,True,True,True,True,,,True,True,,True,False,False,False,False,False,True,,,True,True,14,False
1153072,products_1_36622630,True,True,False,True,True,True,True,False,,,True,False,True,True,False,False,False,False,False,False,False,True,,False,10,False
24647953,products_1_36807074,True,True,True,True,True,True,False,True,,,True,,,False,False,True,True,True,False,False,,True,True,True,14,False
1592336,products_1_36863105,True,True,True,True,True,True,False,True,,,True,False,False,True,False,False,False,False,False,True,,False,True,True,12,False
1817648,products_1_39826842,True,True,True,False,True,True,True,False,,,True,False,False,True,True,False,False,False,False,True,,,True,True,12,False
1421697,products_1_4050965,True,True,False,False,True,True,True,True,,,True,True,True,False,False,True,True,True,True,True,,False,True,False,15,False
501402,products_1_41098467,False,True,False,True,True,True,False,False,False,True,,,,True,False,False,False,False,False,,True,False,False,False,7,False
510100,products_1_41160430,True,True,True,True,True,True,True,False,,,True,False,False,True,True,False,False,False,False,True,,,True,True,13,False
