metric_name,value
coverage.entity.RF.n_rows_output,851
coverage.entity.RF.n_rows_largest_input,810
coverage.entity.RF.row_gain_vs_largest_input,0.050617283950617285
coverage.entity.GR.n_reference,100
coverage.entity.GR.row_count_abs_diff,751
coverage.entity.GR.row_count_rel_diff,7.51
coverage.entity.GR.n_recovered,87
coverage.entity.GR.n_partial,13
coverage.entity.GR.n_lost,0
coverage.entity.GR.n_fabricated,751
coverage.entity.GR.recovery_rate,0.87
coverage.fact.RF.density_output,0.48624167645906774
coverage.fact.RF.density_largest_input,0.4491255144032922
coverage.fact.RF.density_gain,0.03711616205577556
coverage.fact.GR.per_column_drift_normalized.brand,0.34873883958436197
coverage.fact.GR.per_column_drift_normalized.bus_type,0.22288793813957192
coverage.fact.GR.per_column_drift_normalized.chipset_name,0.5263957886611585
coverage.fact.GR.per_column_drift_normalized.description,0.19280679412567833
coverage.fact.GR.per_column_drift_normalized.form_factor,0.23080778958609732
coverage.fact.GR.per_column_drift_normalized.interface_type,0.6560999820775318
coverage.fact.GR.per_column_drift_normalized.memory_type,0.16706557886279058
coverage.fact.GR.per_column_drift_normalized.model,0.37677328109487596
coverage.fact.GR.per_column_drift_normalized.model_number,0.6233474757787874
coverage.fact.GR.per_column_drift_normalized.price,0.008229611877445309
coverage.fact.GR.per_column_drift_normalized.priceCurrency,0.17809768707191842
coverage.fact.GR.per_column_drift_normalized.product_type,0.27152553017609393
coverage.fact.GR.per_column_drift_normalized.read_speed_mb_s,0.13319921036450524
coverage.fact.GR.per_column_drift_normalized.storage_connection_type,0.2601068550799165
coverage.fact.GR.per_column_drift_normalized.storage_gb,0.028502071499690994
coverage.fact.GR.per_column_drift_normalized.title,0.22306862995289106
coverage.fact.GR.per_column_drift_normalized.title_description,0.14616425322645346
coverage.fact.GR.per_column_drift_normalized.vram_gb,0.19162891046386188
coverage.fact.GR.per_column_drift_normalized.write_speed_mb_s,0.13740371518668676
coverage.fact.GR.overall_drift,0.25909736541106937
coverage.fact.GR.density_delta_per_attribute.title.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.title.pipe_density,1.0
coverage.fact.GR.density_delta_per_attribute.title.delta,0.0
coverage.fact.GR.density_delta_per_attribute.brand.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.brand.pipe_density,0.9905992949471211
coverage.fact.GR.density_delta_per_attribute.brand.delta,-0.009400705052878933
coverage.fact.GR.density_delta_per_attribute.description.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.description.pipe_density,0.9988249118683902
coverage.fact.GR.density_delta_per_attribute.description.delta,-0.001175088131609825
coverage.fact.GR.density_delta_per_attribute.price.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.price.pipe_density,0.9941245593419507
coverage.fact.GR.density_delta_per_attribute.price.delta,-0.005875440658049347
coverage.fact.GR.density_delta_per_attribute.priceCurrency.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.priceCurrency.pipe_density,0.9976498237367802
coverage.fact.GR.density_delta_per_attribute.priceCurrency.delta,-0.002350176263219761
coverage.fact.GR.density_delta_per_attribute.product_type.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.product_type.pipe_density,0.9964747356051704
coverage.fact.GR.density_delta_per_attribute.product_type.delta,-0.003525264394829586
coverage.fact.GR.density_delta_per_attribute.model.reference_density,0.99
coverage.fact.GR.density_delta_per_attribute.model.pipe_density,0.9788484136310224
coverage.fact.GR.density_delta_per_attribute.model.delta,-0.011151586368977617
coverage.fact.GR.density_delta_per_attribute.model_number.reference_density,0.99
coverage.fact.GR.density_delta_per_attribute.model_number.pipe_density,0.7931844888366628
coverage.fact.GR.density_delta_per_attribute.model_number.delta,-0.19681551116333718
coverage.fact.GR.density_delta_per_attribute.chipset_name.reference_density,0.25
coverage.fact.GR.density_delta_per_attribute.chipset_name.pipe_density,0.46063454759106937
coverage.fact.GR.density_delta_per_attribute.chipset_name.delta,0.21063454759106937
coverage.fact.GR.density_delta_per_attribute.vram_gb.reference_density,0.25
coverage.fact.GR.density_delta_per_attribute.vram_gb.pipe_density,0.12220916568742657
coverage.fact.GR.density_delta_per_attribute.vram_gb.delta,-0.12779083431257343
coverage.fact.GR.density_delta_per_attribute.storage_gb.reference_density,0.75
coverage.fact.GR.density_delta_per_attribute.storage_gb.pipe_density,0.40775558166862513
coverage.fact.GR.density_delta_per_attribute.storage_gb.delta,-0.34224441833137487
coverage.fact.GR.density_delta_per_attribute.read_speed_mb_s.reference_density,0.7
coverage.fact.GR.density_delta_per_attribute.read_speed_mb_s.pipe_density,0.06815511163337251
coverage.fact.GR.density_delta_per_attribute.read_speed_mb_s.delta,-0.6318448883666274
coverage.fact.GR.density_delta_per_attribute.write_speed_mb_s.reference_density,0.63
coverage.fact.GR.density_delta_per_attribute.write_speed_mb_s.pipe_density,0.10105757931844883
coverage.fact.GR.density_delta_per_attribute.write_speed_mb_s.delta,-0.5289424206815512
coverage.fact.GR.density_delta_per_attribute.bus_type.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.bus_type.pipe_density,0.5064629847238543
coverage.fact.GR.density_delta_per_attribute.bus_type.delta,-0.4935370152761457
coverage.fact.GR.density_delta_per_attribute.interface_type.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.interface_type.pipe_density,0.30552291421856637
coverage.fact.GR.density_delta_per_attribute.interface_type.delta,-0.6944770857814336
coverage.fact.GR.density_delta_per_attribute.storage_connection_type.reference_density,0.72
coverage.fact.GR.density_delta_per_attribute.storage_connection_type.pipe_density,0.27732079905992946
coverage.fact.GR.density_delta_per_attribute.storage_connection_type.delta,-0.4426792009400705
coverage.fact.GR.density_delta_per_attribute.memory_type.reference_density,0.31999999999999995
coverage.fact.GR.density_delta_per_attribute.memory_type.pipe_density,0.11398354876615746
coverage.fact.GR.density_delta_per_attribute.memory_type.delta,-0.2060164512338425
coverage.fact.GR.density_delta_per_attribute.form_factor.reference_density,0.8200000000000001
coverage.fact.GR.density_delta_per_attribute.form_factor.pipe_density,0.2679200940070505
coverage.fact.GR.density_delta_per_attribute.form_factor.delta,-0.5520799059929495
coverage.fact.GR.density_delta_per_attribute.title_description.reference_density,0.99
coverage.fact.GR.density_delta_per_attribute.title_description.pipe_density,1.0
coverage.fact.GR.density_delta_per_attribute.title_description.delta,0.010000000000000009
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.products_3,0.12655086848635225
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.products_4,0.0885028949545079
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.products_2,0.14536807278742744
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.products_1,0.16687344913151347
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00000__products_1,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00000__products_3,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00000__products_2,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00000__products_4,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00001__products_2,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00001__products_4,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00001__products_3,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00001__products_1,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00002__products_1,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00002__products_3,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00002__products_2,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00002__products_4,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00003__products_2,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00003__products_4,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00003__products_3,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00003__products_1,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00004__products_2,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00004__products_3,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00004__products_1,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00004__products_4,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00005__products_4,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00005__products_3,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00005__products_1,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00005__products_2,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00006__products_2,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00006__products_1,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00006__products_4,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00006__products_3,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00007__products_1,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00007__products_4,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00007__products_2,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00007__products_3,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00008__products_3,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00008__products_4,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00008__products_1,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00008__products_2,0.00031017369727047146
coverage.source_based.RF.winning_source_distribution_per_attribute.brand.k02_noncorner_products_00009__products_4,0.00031017369727047146
