cluster_size,frequency,percentage
2,959,24.24165824064712
3,819,20.702730030333672
4,395,9.984833164812942
5,299,7.55813953488372
6,248,6.268958543983821
7,197,4.979777553083923
8,148,3.741152679474216
9,110,2.7805864509605662
10,97,2.4519716885743175
11,65,1.6430738119312436
12,58,1.4661274014155714
13,61,1.5419615773508595
14,45,1.1375126390293226
15,24,0.6066734074823054
16,29,0.7330637007077857
17,33,0.8341759352881698
18,29,0.7330637007077857
19,29,0.7330637007077857
20,21,0.5308392315470172
21,21,0.5308392315470172
22,18,0.455005055611729
23,13,0.32861476238624876
24,19,0.4802831142568251
25,19,0.4802831142568251
26,11,0.2780586450960566
27,5,0.1263902932254803
28,10,0.2527805864509606
29,10,0.2527805864509606
30,12,0.3033367037411527
31,6,0.15166835187057634
32,6,0.15166835187057634
33,8,0.20222446916076847
34,5,0.1263902932254803
35,2,0.05055611729019212
36,5,0.1263902932254803
37,5,0.1263902932254803
38,5,0.1263902932254803
39,3,0.07583417593528817
40,6,0.15166835187057634
41,4,0.10111223458038424
42,3,0.07583417593528817
43,2,0.05055611729019212
44,2,0.05055611729019212
45,1,0.02527805864509606
46,4,0.10111223458038424
47,2,0.05055611729019212
48,1,0.02527805864509606
49,2,0.05055611729019212
50,6,0.15166835187057634
51,2,0.05055611729019212
52,1,0.02527805864509606
53,3,0.07583417593528817
54,4,0.10111223458038424
55,2,0.05055611729019212
58,3,0.07583417593528817
60,1,0.02527805864509606
61,2,0.05055611729019212
62,2,0.05055611729019212
63,2,0.05055611729019212
64,4,0.10111223458038424
65,1,0.02527805864509606
68,1,0.02527805864509606
69,2,0.05055611729019212
70,1,0.02527805864509606
71,1,0.02527805864509606
73,2,0.05055611729019212
74,1,0.02527805864509606
75,1,0.02527805864509606
76,4,0.10111223458038424
77,1,0.02527805864509606
78,1,0.02527805864509606
79,1,0.02527805864509606
80,1,0.02527805864509606
82,1,0.02527805864509606
85,1,0.02527805864509606
91,1,0.02527805864509606
92,1,0.02527805864509606
99,1,0.02527805864509606
100,1,0.02527805864509606
102,2,0.05055611729019212
115,1,0.02527805864509606
116,1,0.02527805864509606
118,1,0.02527805864509606
121,1,0.02527805864509606
126,1,0.02527805864509606
133,1,0.02527805864509606
135,1,0.02527805864509606
139,1,0.02527805864509606
153,1,0.02527805864509606
154,1,0.02527805864509606
159,1,0.02527805864509606
160,1,0.02527805864509606
168,1,0.02527805864509606
177,1,0.02527805864509606
181,1,0.02527805864509606
207,1,0.02527805864509606
218,1,0.02527805864509606
237,1,0.02527805864509606
261,1,0.02527805864509606
274,1,0.02527805864509606
289,1,0.02527805864509606
1391,1,0.02527805864509606
