id1,id2,label
lastFM_432,mbrainz_1293,FALSE
lastFM_23360,mbrainz_8813,FALSE
lastFM_80460,mbrainz_3431,FALSE
lastFM_14591,mbrainz_30626,FALSE
lastFM_64147,mbrainz_30626,FALSE
lastFM_5923,mbrainz_6404,FALSE
lastFM_60035,mbrainz_23682,TRUE
lastFM_81341,mbrainz_33564,FALSE
lastFM_2692,mbrainz_1165,TRUE
lastFM_3473,mbrainz_1487,TRUE
lastFM_68869,mbrainz_27507,TRUE
lastFM_64418,mbrainz_25550,TRUE
lastFM_66484,mbrainz_3342,FALSE
lastFM_25508,mbrainz_11858,TRUE
lastFM_32202,mbrainz_27507,FALSE
lastFM_10061,mbrainz_4854,TRUE
lastFM_71757,mbrainz_5358,FALSE
lastFM_81741,mbrainz_5358,FALSE
lastFM_7192,mbrainz_3431,TRUE
lastFM_77414,mbrainz_31061,TRUE
lastFM_41817,mbrainz_22421,FALSE
lastFM_24333,mbrainz_27507,FALSE
lastFM_8259,mbrainz_3979,TRUE
lastFM_19555,mbrainz_20745,FALSE
lastFM_30405,mbrainz_16109,FALSE
lastFM_83004,mbrainz_33564,TRUE
lastFM_82166,mbrainz_20745,FALSE
lastFM_25088,mbrainz_31972,FALSE
lastFM_2562,mbrainz_1113,TRUE
lastFM_11895,mbrainz_3431,FALSE
lastFM_36701,mbrainz_16109,TRUE
lastFM_21192,mbrainz_4854,FALSE
lastFM_29038,mbrainz_13986,FALSE
lastFM_26572,mbrainz_12337,TRUE
lastFM_30305,mbrainz_6514,FALSE
lastFM_61677,mbrainz_24367,TRUE
lastFM_6553,mbrainz_1165,FALSE
lastFM_66484,mbrainz_1165,FALSE
lastFM_79738,mbrainz_1487,FALSE
lastFM_2994,mbrainz_1293,TRUE
lastFM_35311,mbrainz_24367,FALSE
lastFM_75759,mbrainz_1487,FALSE
lastFM_56921,mbrainz_22421,TRUE
lastFM_12283,mbrainz_31972,FALSE
lastFM_14121,mbrainz_6684,TRUE
lastFM_13747,mbrainz_6514,TRUE
lastFM_73599,mbrainz_33564,FALSE
lastFM_24849,mbrainz_11594,TRUE
lastFM_27616,mbrainz_1113,FALSE
lastFM_7016,mbrainz_3342,TRUE
lastFM_64147,mbrainz_25439,TRUE
lastFM_76433,mbrainz_30626,TRUE
lastFM_30378,mbrainz_13986,TRUE
lastFM_57059,mbrainz_6404,FALSE
lastFM_2243,mbrainz_970,TRUE
lastFM_77509,mbrainz_5358,FALSE
lastFM_18786,mbrainz_8813,TRUE
lastFM_7016,mbrainz_1165,FALSE
lastFM_8268,mbrainz_1487,FALSE
lastFM_64559,mbrainz_27507,FALSE
lastFM_27551,mbrainz_22421,FALSE
lastFM_68129,mbrainz_10808,FALSE
lastFM_51729,mbrainz_8813,FALSE
lastFM_49465,mbrainz_30626,FALSE
lastFM_56785,mbrainz_24367,FALSE
lastFM_42609,mbrainz_16109,FALSE
lastFM_23532,mbrainz_4854,FALSE
lastFM_49556,mbrainz_16109,FALSE
lastFM_44432,mbrainz_1113,FALSE
lastFM_66484,mbrainz_10808,FALSE
lastFM_47244,mbrainz_33564,FALSE
lastFM_57955,mbrainz_20745,FALSE
lastFM_16317,mbrainz_970,FALSE
lastFM_10122,mbrainz_4854,FALSE
lastFM_31603,mbrainz_10808,FALSE
lastFM_76439,mbrainz_22421,FALSE
lastFM_48749,mbrainz_3342,FALSE
lastFM_65584,mbrainz_26097,TRUE
lastFM_67117,mbrainz_31972,FALSE
lastFM_2479,mbrainz_970,FALSE
lastFM_282,mbrainz_1113,FALSE
lastFM_25525,mbrainz_1293,FALSE
lastFM_52099,mbrainz_6404,FALSE
lastFM_17968,mbrainz_8408,TRUE
lastFM_13508,mbrainz_6404,TRUE
lastFM_60846,mbrainz_8813,FALSE
lastFM_23154,mbrainz_10808,TRUE
lastFM_52273,mbrainz_20745,TRUE
lastFM_1603,mbrainz_691,TRUE
lastFM_34444,mbrainz_13986,FALSE
lastFM_82385,mbrainz_6514,FALSE
lastFM_29713,mbrainz_3342,FALSE
lastFM_75752,mbrainz_13986,FALSE
lastFM_2479,mbrainz_1293,FALSE
lastFM_79500,mbrainz_31972,TRUE
lastFM_38696,mbrainz_970,FALSE
lastFM_72083,mbrainz_3431,FALSE
lastFM_11224,mbrainz_5358,TRUE
lastFM_59307,mbrainz_6514,FALSE
lastFM_37863,mbrainz_24367,FALSE
