id,name,artist,release-date,release-country,duration,label,genre,tracks
lastFM_1,Fermats Theorem / Sight Beyond,John B,,,45.0,,,"['Fermats Theorem', 'Sight Beyond']"
lastFM_2,Tempest / Inner Sense,Psychosis,,,168.0,,,"['Tempest', 'Inner Sense']"
lastFM_4,Surrender,Petalpusher,,,162.0,,,"['Surrender (Petalpusher Original)', ""Surrender (Mig's Naked Seduction Dub)"", 'Surrender (Attaboy Remix)', ""Surrender (Mig's Naked Seduction vocal)""]"
lastFM_8,in the spirit,R. Trent,,,105.0,,,"['In The Spirit (The Full Experience)', 'In The Spirit (Kada)', 'In The Spirit (Guitar Alchemy)']"
lastFM_11,Come Of Age,S. Vitus Dance,,,1276.0,,,"['Bliss', 'Tunnel Vision', 'Catch The Sun', 'Mystic Vibrations']"
lastFM_16,Devotional,D. Alvarado,,,660.0,,,"['Devotional', 'Sunstone']"
lastFM_24,The Music In Me,P. Johnson,,,532.0,,,"['The Music In Me', 'Slinky', ""Y'All Stole Them Dances"", 'Life In The Jungle', 'Soft Spot']"
lastFM_27,On and,GH-106,,,0.0,,,"['XJ6', 'Fantasy']"
lastFM_28,Subtle Frequencies,C. Jackson,,,130.0,,,"['Check our Beats', 'Teleport']"
lastFM_30,Second Area / Think Tank,Inigo Kennedy,,,611.0,,,"['Second Area', 'Think Tank']"
lastFM_34,Purple Eggs,SubCode,,,312.0,,,"['blunt figure', 'blue sneakers']"
lastFM_37,The Travellers' Dream,Aedena C.,,,1008.0,,,"[""The Travellers' Dream"", 'The Dreamshadow', 'Ciguri', 'Pharagonesia']"
lastFM_40,Ascensionism,Richard Bone,,,713.0,,,"['Waters of Assiyah', 'Sister Samadhi', 'Kavvannah', ""Walkin' With the Dharma Bums"", 'Ascensionism', 'Jhana', ""Sultry Sally's Meditation Alley""]"
lastFM_42,"United DJs of America,  4",D. Morales,,,,,,[]
lastFM_52,Album: Tribal Liberation,Dj Duke,,,198.0,,,['Tribal Journey (The Sun Mix)']
lastFM_53,*popular* Soundtracks for Broken Video Games,S. W.A.V.E.,,,42.0,,,"['telecommunication', 'Networking 3401', 'Thought Process', 'Contact', 'Robot']"
lastFM_54,[explicit] Simple Things,Bougie Soliterre,,,530.0,,,"['Common Thread (Main Horn Mix)', 'Superficial', 'Got the Bug', 'Something (Main Vocal Mix)', 'Besides You (Main Vocal Mix)', 'Magical Moments (Audio Rogue Mix)', ""Bougez (Bougie's Main Horn Mix)"", 'Miles Away (People People Main Mix)']"
lastFM_55,In The Painful Quest Of Beauty,The Keyprocessor,,,912.0,,,"['In The Painful Quest Of Beauty', 'Dirt', 'Cabs']"
lastFM_59,Millennium / Future's Live,Big Bud,,,135.0,,,"['Millennium', ""Future's Live""]"
lastFM_62,We are the Future 3,Future 3,,,816.0,,,"['Future 3', 'Silver M', 'Renaldo', 'B o y d', 'Fumble', 'Dawn', 'Bubbles at dawn', 'D.A.W.N. at 6', '46843516846516']"
lastFM_65,Beyond the Ozone EP,Aubrey,,,110.0,,,"['Ginger Biscuit', 'Beyond the Ozone', 'The Skipper']"
lastFM_67,Halcyon Days,Mikael D.,,,1610.0,,,"['Postcards from You', 'In My Heart', 'Melt', 'Diving', 'Halcyon Days', 'The Dawn', 'Body Feedback', 'The Way You Touch My Soul', 'My Brother Says', 'Time Will Show', ""Love Don't Matter"", 'Milk & Honey', 'Deep Indigo', 'Holy Water']"
lastFM_68,Nightmare Mixes,A. Gruber,,,120.0,,,"['Inflatable Hands', 'Stimulus', 'Dutch Funk']"
lastFM_72,The Future Is  Fire,C. Morgenstern,,,0.0,,,[]
lastFM_73,*popular* Prevention Beyond Cause,J. Ruskin,,,0.0,,,"['[untitled]', '[untitled]', '[untitled]', '[untitled]']"
lastFM_79,Voodoopussy,Voodooamt,,,117.0,,,
lastFM_80,Voodoo,Monika Kruse @. Voodooamt,,,884.0,,,"['Voodoo', 'Screwdriver', 'itchy']"
