id1,id2,label
lastFM_42138,mbrainz_13236,FALSE
lastFM_20282,mbrainz_9536,FALSE
lastFM_14576,mbrainz_621,FALSE
lastFM_5056,mbrainz_14691,FALSE
lastFM_51031,mbrainz_20260,FALSE
lastFM_82844,mbrainz_3694,FALSE
lastFM_9651,mbrainz_4679,TRUE
lastFM_5780,mbrainz_2718,TRUE
lastFM_2207,k02_interp_music_00041__musicbrainz,FALSE
lastFM_16037,mbrainz_7510,TRUE
lastFM_3733,mbrainz_1061,FALSE
lastFM_61109,mbrainz_8737,FALSE
lastFM_30921,mbrainz_7191,FALSE
lastFM_15409,mbrainz_7223,TRUE
lastFM_25962,mbrainz_22029,FALSE
k02_interp_music_00052__lastfm,k02_interp_music_00166__musicbrainz,FALSE
lastFM_11103,mbrainz_5311,TRUE
lastFM_548,mbrainz_312,TRUE
lastFM_37035,mbrainz_16208,TRUE
lastFM_20537,mbrainz_23843,FALSE
lastFM_49465,mbrainz_30626,FALSE
lastFM_3093,mbrainz_9292,FALSE
lastFM_53026,mbrainz_19553,FALSE
lastFM_46332,mbrainz_18891,TRUE
lastFM_25306,mbrainz_9799,FALSE
lastFM_33163,mbrainz_15083,TRUE
lastFM_49187,mbrainz_14814,FALSE
lastFM_32420,mbrainz_14782,TRUE
lastFM_10620,mbrainz_2604,FALSE
lastFM_29069,mbrainz_4327,FALSE
lastFM_9688,mbrainz_6614,FALSE
lastFM_6274,mbrainz_17086,FALSE
lastFM_38969,mbrainz_15687,FALSE
lastFM_37168,mbrainz_21551,FALSE
lastFM_36328,mbrainz_16029,TRUE
lastFM_2207,k02_interp_music_00025__musicbrainz,FALSE
lastFM_37359,mbrainz_59,FALSE
lastFM_65605,mbrainz_5247,FALSE
lastFM_282,mbrainz_176,TRUE
lastFM_25716,mbrainz_8253,FALSE
k04__within_dup__lastfm____singleton___lastfm_lastFM_30367,mbrainz_23836,FALSE
lastFM_2207,k02_interp_music_00032__musicbrainz,FALSE
lastFM_39737,mbrainz_30626,FALSE
lastFM_60142,mbrainz_19553,FALSE
lastFM_5776,mbrainz_3001,FALSE
lastFM_1233,mbrainz_5311,FALSE
lastFM_33138,mbrainz_15071,TRUE
lastFM_80016,mbrainz_14691,FALSE
lastFM_44146,k02_interp_music_00189__musicbrainz,FALSE
lastFM_50908,mbrainz_10202,FALSE
lastFM_10989,mbrainz_13299,FALSE
lastFM_54602,mbrainz_21559,TRUE
lastFM_5776,mbrainz_10035,FALSE
lastFM_42073,mbrainz_11728,FALSE
lastFM_9043,mbrainz_4211,FALSE
lastFM_26553,mbrainz_9167,FALSE
lastFM_20755,mbrainz_9749,TRUE
lastFM_67304,mbrainz_26856,TRUE
lastFM_14609,mbrainz_6898,TRUE
lastFM_28782,mbrainz_13326,TRUE
lastFM_24050,mbrainz_2328,FALSE
lastFM_25732,mbrainz_13187,FALSE
lastFM_22977,mbrainz_10744,TRUE
lastFM_26425,mbrainz_11333,FALSE
lastFM_4755,mbrainz_2192,TRUE
lastFM_42746,mbrainz_2007,FALSE
lastFM_12932,mbrainz_6140,TRUE
lastFM_49840,mbrainz_2347,FALSE
lastFM_81269,mbrainz_3579,FALSE
lastFM_19054,mbrainz_33241,FALSE
lastFM_55291,mbrainz_21822,TRUE
lastFM_30921,mbrainz_59,FALSE
lastFM_7268,mbrainz_3470,TRUE
lastFM_61907,mbrainz_24459,TRUE
lastFM_12330,mbrainz_5845,TRUE
lastFM_77853,mbrainz_31267,TRUE
lastFM_51395,mbrainz_20392,FALSE
lastFM_23471,mbrainz_10956,TRUE
lastFM_58817,mbrainz_23194,TRUE
lastFM_26814,mbrainz_12446,TRUE
lastFM_62525,mbrainz_21284,TRUE
lastFM_56599,mbrainz_21274,FALSE
lastFM_1179,mbrainz_536,TRUE
lastFM_66616,mbrainz_18664,FALSE
lastFM_34795,mbrainz_16197,FALSE
lastFM_43143,k02_interp_music_00055__musicbrainz,FALSE
lastFM_32191,mbrainz_14691,TRUE
lastFM_25716,mbrainz_28364,FALSE
lastFM_17212,mbrainz_8066,TRUE
lastFM_17433,mbrainz_8150,TRUE
lastFM_18318,mbrainz_8589,TRUE
lastFM_16487,mbrainz_4447,FALSE
lastFM_56574,mbrainz_7508,FALSE
lastFM_29341,mbrainz_260,FALSE
lastFM_42469,mbrainz_11015,FALSE
lastFM_81776,mbrainz_6384,FALSE
lastFM_46672,mbrainz_18997,TRUE
k02_interp_music_00064__lastfm,mbrainz_488,FALSE
lastFM_13897,mbrainz_6573,TRUE
lastFM_8578,mbrainz_17212,FALSE
lastFM_52243,mbrainz_6014,TRUE
lastFM_84,mbrainz_14691,FALSE
lastFM_31759,mbrainz_14824,TRUE
lastFM_10318,mbrainz_59,FALSE
lastFM_5783,mbrainz_131,FALSE
lastFM_44562,mbrainz_6614,FALSE
lastFM_156,mbrainz_120,FALSE
lastFM_69754,mbrainz_27422,FALSE
lastFM_8798,mbrainz_4250,FALSE
lastFM_75824,mbrainz_30379,FALSE
lastFM_56656,mbrainz_23836,FALSE
lastFM_19723,mbrainz_9273,TRUE
lastFM_4011,mbrainz_1775,TRUE
lastFM_38830,mbrainz_1239,FALSE
lastFM_32803,mbrainz_14934,TRUE
lastFM_74272,k02_interp_music_00189__musicbrainz,FALSE
lastFM_31968,mbrainz_14597,TRUE
lastFM_8041,mbrainz_3866,TRUE
lastFM_40650,mbrainz_2012,FALSE
lastFM_22261,mbrainz_12967,FALSE
lastFM_41504,mbrainz_2348,FALSE
lastFM_46597,mbrainz_18971,TRUE
lastFM_5249,mbrainz_2458,TRUE
lastFM_34125,mbrainz_15506,TRUE
lastFM_28663,mbrainz_9292,FALSE
lastFM_7721,mbrainz_17212,FALSE
lastFM_1628,mbrainz_697,TRUE
lastFM_30921,mbrainz_1482,FALSE
lastFM_74720,mbrainz_16054,FALSE
lastFM_18315,mbrainz_15371,FALSE
lastFM_15894,mbrainz_7432,TRUE
lastFM_82327,mbrainz_33241,TRUE
lastFM_34090,mbrainz_15486,FALSE
lastFM_78968,mbrainz_1314,FALSE
lastFM_33571,mbrainz_15258,TRUE
k04__within_dup__lastfm__lastFM_81741,mbrainz_8737,FALSE
lastFM_4657,mbrainz_11399,FALSE
lastFM_27148,mbrainz_260,FALSE
lastFM_83037,mbrainz_14691,FALSE
lastFM_61082,k02_interp_music_00013__musicbrainz,FALSE
lastFM_2390,mbrainz_1101,FALSE
k02_interp_music_00055__lastfm,k02_interp_music_00055__musicbrainz,TRUE
lastFM_52117,mbrainz_20680,TRUE
lastFM_61082,k02_interp_music_00022__musicbrainz,FALSE
lastFM_8926,mbrainz_4316,TRUE
lastFM_37358,mbrainz_59,FALSE
lastFM_25494,mbrainz_11852,TRUE
k04__within_dup__lastfm____singleton___lastfm_lastFM_30720,mbrainz_16197,FALSE
lastFM_50809,mbrainz_20594,FALSE
lastFM_7807,mbrainz_3746,TRUE
