case,strategy,split,attribute,accuracy,correct,total,source_file
music-augmented-medium,heuristic,provided_validation,label,0.7682926829268293,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,heuristic,provided_validation,release-country,0.61,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,heuristic,provided_validation,duration,0.1313131313131313,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,heuristic,provided_validation,tracks,0.03125,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,heuristic,provided_validation,artist,0.9081632653061223,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,heuristic,provided_validation,release-date,0.8686868686868687,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,heuristic,provided_validation,name,0.85,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,heuristic,provided_validation,genre,0.9634146341463414,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_no_val,provided_validation,label,0.7682926829268293,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_no_val,provided_validation,release-country,0.61,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_no_val,provided_validation,duration,0.1313131313131313,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_no_val,provided_validation,tracks,0.03125,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_no_val,provided_validation,artist,0.9081632653061223,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_no_val,provided_validation,release-date,0.9191919191919192,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_no_val,provided_validation,name,0.85,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_no_val,provided_validation,genre,0.9634146341463414,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_val,provided_validation,label,0.7682926829268293,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_val,provided_validation,release-country,0.61,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_val,provided_validation,duration,0.2727272727272727,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_val,provided_validation,tracks,0.03125,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_val,provided_validation,artist,0.9183673469387756,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_val,provided_validation,release-date,0.8686868686868687,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_val,provided_validation,name,0.87,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_val,provided_validation,genre,0.9634146341463414,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_val_stats,provided_validation,label,0.7682926829268293,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_val_stats,provided_validation,release-country,0.39,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_val_stats,provided_validation,duration,0.2727272727272727,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_val_stats,provided_validation,tracks,0.03125,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_val_stats,provided_validation,artist,0.9183673469387756,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_val_stats,provided_validation,release-date,0.8686868686868687,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_val_stats,provided_validation,name,0.87,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
music-augmented-medium,llm_val_stats,provided_validation,genre,0.9634146341463414,,,DI-Bench/runs/augmented/music/medium/fusion/optimization_provided_val/comparison_summary_validation.csv
