cluster_size,frequency,percentage
2,9494,18.38283700577005
3,40530,78.47655191108701
4,428,0.8287185842078767
5,410,0.7938659334701623
6,462,0.8945513689346707
7,54,0.10455795221314332
8,39,0.07551407659838129
9,80,0.1549006699453975
10,18,0.034852650737714444
11,4,0.0077450334972698764
12,21,0.04066142586066685
13,9,0.017426325368857222
14,5,0.009681291871587344
15,16,0.030980133989079506
16,5,0.009681291871587344
17,3,0.005808775122952407
18,12,0.02323510049180963
19,1,0.0019362583743174691
20,2,0.0038725167486349382
21,2,0.0038725167486349382
22,1,0.0019362583743174691
23,4,0.0077450334972698764
24,9,0.017426325368857222
25,2,0.0038725167486349382
26,2,0.0038725167486349382
27,3,0.005808775122952407
28,1,0.0019362583743174691
29,2,0.0038725167486349382
30,4,0.0077450334972698764
31,2,0.0038725167486349382
32,1,0.0019362583743174691
33,2,0.0038725167486349382
36,2,0.0038725167486349382
40,1,0.0019362583743174691
43,3,0.005808775122952407
48,1,0.0019362583743174691
50,1,0.0019362583743174691
55,1,0.0019362583743174691
56,1,0.0019362583743174691
76,1,0.0019362583743174691
93,1,0.0019362583743174691
98,1,0.0019362583743174691
118,1,0.0019362583743174691
175,1,0.0019362583743174691
237,1,0.0019362583743174691
760,1,0.0019362583743174691
1433,1,0.0019362583743174691
