matcher,threshold,f1,precision,recall,true_positives,false_positives,false_negatives,string_similarity_function,string_tokenization,n_comparators,classifier,use_probabilities,n_features,hyperparams
RuleBasedMatcher,0.5,0.7738095238095238,0.9558823529411765,0.65,65,3,35,jaccard,word,6.0,,,,
MLBasedMatcher,0.3,0.7685589519650655,0.6821705426356589,0.88,88,41,12,,,,xgboost,True,66.0,"{'objective': 'binary:logistic', 'colsample_bytree': 0.8, 'enable_categorical': False, 'eval_metric': 'logloss', 'learning_rate': 0.1, 'max_depth': 9, 'missing': nan, 'n_estimators': 100, 'scale_pos_weight': 1.7543859649122806, 'subsample': 0.8, 'use_label_encoder': False}"
MLBasedMatcher,0.3,0.7659574468085106,0.6666666666666666,0.9,90,45,10,,,,logreg,True,66.0,"{'C': 10.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'max_iter': 1000, 'multi_class': 'deprecated', 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': False}"
MLBasedMatcher,0.4,0.763157894736842,0.6796875,0.87,87,41,13,,,,xgboost,True,66.0,"{'objective': 'binary:logistic', 'colsample_bytree': 0.8, 'enable_categorical': False, 'eval_metric': 'logloss', 'learning_rate': 0.1, 'max_depth': 9, 'missing': nan, 'n_estimators': 100, 'scale_pos_weight': 1.7543859649122806, 'subsample': 0.8, 'use_label_encoder': False}"
RuleBasedMatcher,0.5,0.7602339181286549,0.9154929577464789,0.65,65,6,35,sorensen_dice,word,6.0,,,,
RuleBasedMatcher,0.5,0.7602339181286549,0.9154929577464789,0.65,65,6,35,cosine,word,6.0,,,,
RuleBasedMatcher,0.5,0.7602339181286549,0.9154929577464789,0.65,65,6,35,overlap,word,6.0,,,,
MLBasedMatcher,0.5,0.7577639751552795,1.0,0.61,61,0,39,,,,logreg,True,66.0,"{'C': 10.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'max_iter': 1000, 'multi_class': 'deprecated', 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': False}"
MLBasedMatcher,0.6,0.7577639751552795,1.0,0.61,61,0,39,,,,logreg,True,66.0,"{'C': 10.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'max_iter': 1000, 'multi_class': 'deprecated', 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': False}"
MLBasedMatcher,0.7,0.7577639751552795,1.0,0.61,61,0,39,,,,logreg,True,66.0,"{'C': 10.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'max_iter': 1000, 'multi_class': 'deprecated', 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': False}"
