case,source_dataset,source_column,target_dataset,target_column,score,notes,source_file
papers-augmented-hard,crossref,id,Scholarly Paper,id,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/crossref_mapping.csv
papers-augmented-hard,crossref,typ,Scholarly Paper,type,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/crossref_mapping.csv
papers-augmented-hard,crossref,ttl,Scholarly Paper,title,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/crossref_mapping.csv
papers-augmented-hard,crossref,auth_list,Scholarly Paper,authors,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/crossref_mapping.csv
papers-augmented-hard,crossref,pub_year,Scholarly Paper,publication_year,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/crossref_mapping.csv
papers-augmented-hard,crossref,venue,Scholarly Paper,journal,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/crossref_mapping.csv
papers-augmented-hard,crossref,vol,Scholarly Paper,volume,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/crossref_mapping.csv
papers-augmented-hard,crossref,iss_no,Scholarly Paper,issue,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/crossref_mapping.csv
papers-augmented-hard,crossref,pg_first,Scholarly Paper,first_page,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/crossref_mapping.csv
papers-augmented-hard,crossref,pg_last,Scholarly Paper,last_page,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/crossref_mapping.csv
papers-augmented-hard,crossref,ref_count,Scholarly Paper,referenced_works_count,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/crossref_mapping.csv
papers-augmented-hard,crossref,cited_count,Scholarly Paper,cited_by_count,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/crossref_mapping.csv
papers-augmented-hard,dblp,id,Scholarly Paper,id,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/dblp_mapping.csv
papers-augmented-hard,dblp,ty,Scholarly Paper,type,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/dblp_mapping.csv
papers-augmented-hard,dblp,t,Scholarly Paper,title,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/dblp_mapping.csv
papers-augmented-hard,dblp,au,Scholarly Paper,authors,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/dblp_mapping.csv
papers-augmented-hard,dblp,py,Scholarly Paper,publication_year,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/dblp_mapping.csv
papers-augmented-hard,dblp,j,Scholarly Paper,journal,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/dblp_mapping.csv
papers-augmented-hard,dblp,v,Scholarly Paper,volume,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/dblp_mapping.csv
papers-augmented-hard,dblp,i,Scholarly Paper,issue,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/dblp_mapping.csv
papers-augmented-hard,dblp,fp,Scholarly Paper,first_page,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/dblp_mapping.csv
papers-augmented-hard,dblp,lp,Scholarly Paper,last_page,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/dblp_mapping.csv
papers-augmented-hard,dblp,rc,Scholarly Paper,referenced_works_count,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/dblp_mapping.csv
papers-augmented-hard,dblp,cc,Scholarly Paper,cited_by_count,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/dblp_mapping.csv
papers-augmented-hard,open_alex,id,Scholarly Paper,id,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/open_alex_mapping.csv
papers-augmented-hard,open_alex,Attribute_3,Scholarly Paper,type,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/open_alex_mapping.csv
papers-augmented-hard,open_alex,Attribute_4,Scholarly Paper,title,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/open_alex_mapping.csv
papers-augmented-hard,open_alex,Attribute_5,Scholarly Paper,authors,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/open_alex_mapping.csv
papers-augmented-hard,open_alex,Attribute_6,Scholarly Paper,publication_year,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/open_alex_mapping.csv
papers-augmented-hard,open_alex,Attribute_7,Scholarly Paper,journal,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/open_alex_mapping.csv
papers-augmented-hard,open_alex,Attribute_10,Scholarly Paper,volume,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/open_alex_mapping.csv
papers-augmented-hard,open_alex,Attribute_11,Scholarly Paper,issue,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/open_alex_mapping.csv
papers-augmented-hard,open_alex,Attribute_12,Scholarly Paper,first_page,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/open_alex_mapping.csv
papers-augmented-hard,open_alex,Attribute_13,Scholarly Paper,last_page,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/open_alex_mapping.csv
papers-augmented-hard,open_alex,Attribute_14,Scholarly Paper,referenced_works_count,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/open_alex_mapping.csv
papers-augmented-hard,open_alex,Attribute_15,Scholarly Paper,cited_by_count,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/hard/schema_matching/mappings/open_alex_mapping.csv
