id1,id2,score
k02_noncorner_products_00220__products_1,k02_noncorner_products_00220__products_4,1.0
k02_noncorner_products_00336__products_1,k02_noncorner_products_00336__products_4,1.0
products_1_41214107,products_4_17571549,0.63
k02_noncorner_products_00091__products_1,k02_noncorner_products_00091__products_4,1.0
products_1_17432451,products_4_37637412,0.30333333333333334
products_1_64204030,products_4_9127388,0.5033333333333333
products_1_46100256,products_4_60529926,0.31333333333333335
products_1_2115771,products_4_37019975,0.3466666666666667
products_1_19001308,products_4_22290248,0.5266666666666666
k02_noncorner_products_00351__products_1,k02_noncorner_products_00351__products_4,1.0
products_1_59530038,products_4_33276068,0.6333333333333333
k02_noncorner_products_00298__products_1,k02_noncorner_products_00298__products_4,1.0
products_1_46082280,products_4_33277466,0.30666666666666664
products_1_88855243,products_4_14576497,0.37
k02_noncorner_products_00367__products_1,k02_noncorner_products_00367__products_4,1.0
products_1_49241259,products_4_8389373,0.5733333333333334
products_1_76958863,products_4_88606905,0.4766666666666667
products_1_54859186,products_4_3550840,0.53
products_1_23766798,products_4_36258612,0.3433333333333333
products_1_40530169,products_4_35456507,0.49
products_1_25933134,products_4_17952554,0.46
k02_noncorner_products_00164__products_1,k02_noncorner_products_00164__products_4,1.0
products_1_22151913,products_4_50091998,0.4633333333333333
products_1_14827250,products_4_33293970,0.41333333333333333
products_1_58685745,products_4_21961368,0.48
k02_noncorner_products_00063__products_1,k02_noncorner_products_00063__products_4,1.0
products_1_71962852,products_4_74115015,0.42333333333333334
k02_noncorner_products_00306__products_1,k02_noncorner_products_00306__products_4,1.0
products_1_49241259,products_4_21961368,0.45666666666666667
products_1_58685745,products_4_8389373,0.58
k02_noncorner_products_00229__products_1,k02_noncorner_products_00229__products_4,1.0
products_1_34143288,products_4_48671221,0.35
k02_noncorner_products_00010__products_1,k02_noncorner_products_00010__products_4,1.0
k02_noncorner_products_00162__products_1,k02_noncorner_products_00162__products_4,1.0
products_1_32009117,products_4_25995476,0.5266666666666666
k02_noncorner_products_00214__products_1,k02_noncorner_products_00214__products_4,1.0
k02_noncorner_products_00357__products_1,k02_noncorner_products_00357__products_4,1.0
products_1_20151064,products_4_41953107,0.44666666666666666
k02_noncorner_products_00389__products_1,k02_noncorner_products_00389__products_4,1.0
products_1_15871125,products_4_67488123,0.4166666666666667
k02_noncorner_products_00273__products_1,k02_noncorner_products_00273__products_4,1.0
k02_noncorner_products_00327__products_1,k02_noncorner_products_00327__products_4,1.0
k02_noncorner_products_00252__products_1,k02_noncorner_products_00252__products_4,1.0
k02_noncorner_products_00293__products_1,k02_noncorner_products_00293__products_4,1.0
k02_noncorner_products_00005__products_1,k02_noncorner_products_00005__products_4,1.0
k02_noncorner_products_00139__products_1,k02_noncorner_products_00139__products_4,1.0
k02_noncorner_products_00007__products_1,k02_noncorner_products_00007__products_4,1.0
k02_noncorner_products_00202__products_1,k02_noncorner_products_00202__products_4,1.0
k02_noncorner_products_00363__products_1,k02_noncorner_products_00363__products_4,1.0
k02_noncorner_products_00055__products_1,k02_noncorner_products_00055__products_4,1.0
k02_noncorner_products_00057__products_1,k02_noncorner_products_00057__products_4,1.0
products_1_71242639,products_4_86949980,0.37333333333333335
products_1_44961253,products_4_266853,0.75
products_1_28224541,products_4_7634013,0.47
k02_noncorner_products_00253__products_1,k02_noncorner_products_00253__products_4,1.0
k02_noncorner_products_00368__products_1,k02_noncorner_products_00368__products_4,1.0
products_1_1297085,products_4_83010051,0.31
k02_noncorner_products_00099__products_1,k02_noncorner_products_00099__products_4,1.0
k02_noncorner_products_00009__products_1,k02_noncorner_products_00009__products_4,1.0
products_1_4425308,products_4_4125396,0.44666666666666666
products_1_80703508,products_4_97121064,0.39
