case,strategy,split,attribute,accuracy,correct,total,source_file
products-augmented-easy,heuristic,provided_validation,bus_type,0.6666666666666666,,,DI-Bench/runs/augmented/products/easy/fusion/optimization_provided_val/comparison_summary_validation.csv
products-augmented-easy,heuristic,provided_validation,description,0.17,,,DI-Bench/runs/augmented/products/easy/fusion/optimization_provided_val/comparison_summary_validation.csv
products-augmented-easy,heuristic,provided_validation,interface_type,0.3714285714285714,,,DI-Bench/runs/augmented/products/easy/fusion/optimization_provided_val/comparison_summary_validation.csv
products-augmented-easy,heuristic,provided_validation,priceCurrency,0.58,,,DI-Bench/runs/augmented/products/easy/fusion/optimization_provided_val/comparison_summary_validation.csv
products-augmented-easy,heuristic,provided_validation,brand,0.95,,,DI-Bench/runs/augmented/products/easy/fusion/optimization_provided_val/comparison_summary_validation.csv
products-augmented-easy,heuristic,provided_validation,storage_gb,0.0,,,DI-Bench/runs/augmented/products/easy/fusion/optimization_provided_val/comparison_summary_validation.csv
products-augmented-easy,heuristic,provided_validation,model_number,0.6976744186046512,,,DI-Bench/runs/augmented/products/easy/fusion/optimization_provided_val/comparison_summary_validation.csv
products-augmented-easy,heuristic,provided_validation,vram_gb,0.0,,,DI-Bench/runs/augmented/products/easy/fusion/optimization_provided_val/comparison_summary_validation.csv
products-augmented-easy,heuristic,provided_validation,read_speed_mb_s,0.0,,,DI-Bench/runs/augmented/products/easy/fusion/optimization_provided_val/comparison_summary_validation.csv
products-augmented-easy,heuristic,provided_validation,product_type,1.0,,,DI-Bench/runs/augmented/products/easy/fusion/optimization_provided_val/comparison_summary_validation.csv
products-augmented-easy,heuristic,provided_validation,memory_type,0.92,,,DI-Bench/runs/augmented/products/easy/fusion/optimization_provided_val/comparison_summary_validation.csv
products-augmented-easy,heuristic,provided_validation,form_factor,0.847457627118644,,,DI-Bench/runs/augmented/products/easy/fusion/optimization_provided_val/comparison_summary_validation.csv
products-augmented-easy,heuristic,provided_validation,title,0.49,,,DI-Bench/runs/augmented/products/easy/fusion/optimization_provided_val/comparison_summary_validation.csv
products-augmented-easy,heuristic,provided_validation,model,0.3877551020408163,,,DI-Bench/runs/augmented/products/easy/fusion/optimization_provided_val/comparison_summary_validation.csv
