source_dataset,source_column,target_dataset,target_column,score,notes
products_2,id,Hardware Product,id,0.95,llm_based_matching
products_2,br,Hardware Product,brand,0.95,llm_based_matching
products_2,t,Hardware Product,title,0.95,llm_based_matching
products_2,dsc,Hardware Product,description,0.95,llm_based_matching
products_2,amt,Hardware Product,price,0.95,llm_based_matching
products_2,ccy,Hardware Product,priceCurrency,0.95,llm_based_matching
products_2,productUrl,Hardware Product,url,0.95,llm_based_matching
products_2,tdsc,Hardware Product,title_description,0.95,llm_based_matching
products_2,m,Hardware Product,model,0.95,llm_based_matching
products_2,mno,Hardware Product,model_number,0.95,llm_based_matching
products_2,ptyp,Hardware Product,product_type,0.95,llm_based_matching
products_2,cn,Hardware Product,chipset_name,0.95,llm_based_matching
products_2,vrm,Hardware Product,vram_gb,0.95,llm_based_matching
products_2,stg,Hardware Product,storage_gb,0.95,llm_based_matching
products_2,rs,Hardware Product,read_speed_mb_s,0.95,llm_based_matching
products_2,ws,Hardware Product,write_speed_mb_s,0.95,llm_based_matching
products_2,bt,Hardware Product,bus_type,0.95,llm_based_matching
products_2,it,Hardware Product,interface_type,0.95,llm_based_matching
products_2,wd,Hardware Product,width_mm,0.95,llm_based_matching
products_2,ln,Hardware Product,length_mm,0.95,llm_based_matching
products_2,ht,Hardware Product,height_mm,0.95,llm_based_matching
products_2,wt,Hardware Product,weight_g,0.95,llm_based_matching
products_2,sc,Hardware Product,storage_connection_type,0.95,llm_based_matching
products_2,mt,Hardware Product,memory_type,0.95,llm_based_matching
products_2,col,Hardware Product,color,0.95,llm_based_matching
products_2,ff,Hardware Product,form_factor,0.95,llm_based_matching
