source_dataset,source_column,target_dataset,target_column,score,notes
products_4,id,Hardware Product,id,0.95,llm_based_matching
products_4,brnd,Hardware Product,brand,0.95,llm_based_matching
products_4,prd_ttl,Hardware Product,title,0.95,llm_based_matching
products_4,desc,Hardware Product,description,0.95,llm_based_matching
products_4,prc,Hardware Product,price,0.95,llm_based_matching
products_4,cur,Hardware Product,priceCurrency,0.95,llm_based_matching
products_4,link,Hardware Product,url,0.95,llm_based_matching
products_4,t_desc,Hardware Product,title_description,0.95,llm_based_matching
products_4,mdl,Hardware Product,model,0.95,llm_based_matching
products_4,mdl_no,Hardware Product,model_number,0.95,llm_based_matching
products_4,prd_typ,Hardware Product,product_type,0.95,llm_based_matching
products_4,chip,Hardware Product,chipset_name,0.95,llm_based_matching
products_4,vram,Hardware Product,vram_gb,0.95,llm_based_matching
products_4,stor,Hardware Product,storage_gb,0.95,llm_based_matching
products_4,rd_speed_mbs,Hardware Product,read_speed_mb_s,0.95,llm_based_matching
products_4,wr_speed_mbs,Hardware Product,write_speed_mb_s,0.95,llm_based_matching
products_4,bus_t,Hardware Product,bus_type,0.95,llm_based_matching
products_4,iface_t,Hardware Product,interface_type,0.95,llm_based_matching
products_4,w_mm,Hardware Product,width_mm,0.95,llm_based_matching
products_4,l_mm,Hardware Product,length_mm,0.95,llm_based_matching
products_4,h_mm,Hardware Product,height_mm,0.95,llm_based_matching
products_4,wt_g,Hardware Product,weight_g,0.95,llm_based_matching
products_4,stor_conn,Hardware Product,storage_connection_type,0.95,llm_based_matching
products_4,mem_t,Hardware Product,memory_type,0.95,llm_based_matching
products_4,clr,Hardware Product,color,0.95,llm_based_matching
products_4,form_f,Hardware Product,form_factor,0.95,llm_based_matching
