id,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6
fullcontact_1,BBMG,China,Beijing,,
fullcontact_4,Ingersoll Rand South East Asia (Pte) Ltd,Ireland,,,1871-01-01
fullcontact_5,Evonik,Germany,Essen,,01.01.2007
fullcontact_8,Walmart,USA,Bentonville,,01/01/1962
fullcontact_9,Deutsche Börse AG,Germany,Eschborn,,01/01/2001
fullcontact_11,eNaming,,,,
fullcontact_12,Hermès International,,,,1985-01-01
fullcontact_13,Kyocera Fineceramics Ltd,Japan,,,
fullcontact_14,Bushi-go,,,,
fullcontact_15,Camilion Solutions Inc,Canada,Markham,,
fullcontact_16,SimplyCrush,,,,
fullcontact_17,Renault,France,Boulogne Billancourt Cedex,,01/01/1932
fullcontact_19,Hexagon AB,Sweden,Stockholm,,01.01.1992
fullcontact_20,Singtel Europe,United Kingdom,,,
fullcontact_21,Intact,Canada,Toronto,,2009-01-01
fullcontact_22,Jyske Bank,Netherlands,,,
fullcontact_23,LANXESS,Germany,Cologne,,
fullcontact_24,Liberbank,Spain,,,
fullcontact_25,Talanx,,,,
fullcontact_26,Masco Construction Co,USA,Moses Lake,,
fullcontact_27,United Continental Holdings,,,,
fullcontact_28,Nine Entertainment,USA,Nashville,,
fullcontact_29,Pernod Ricard,France,,,
fullcontact_30,Sara's Bed & Inn,,,,
fullcontact_31,Sears Holdings Corporation,United States,Hoffman Estates,,
fullcontact_32,Advance Auto Parts,United States,Roanoke,,
fullcontact_35,Thomson Reuters Corp,Other,,,
fullcontact_36,World News Inc,,,,01/01/95
fullcontact_38,Coach Inc.,United States,New York,,
fullcontact_39,Hyundai Worldwide,,,,01.01.1967
fullcontact_40,Dassault Systemes,France,Vélizy-Villacoublay,,01/01/1981
fullcontact_41,3M,United States,St Paul,,1902-01-01
fullcontact_42,Aareal Estate AG,Germany,Wiesbaden,,
fullcontact_43,ABB Ltd,Switzerland,Zurich,,01.01.1988
fullcontact_44,AbbVie Inc.,United States,,,01.01.2013
fullcontact_45,Abengoa,Spain,Seville,,
fullcontact_46,Aberdeen Asset Management,United Kingdom,Aberdeen,,01.01.1983
fullcontact_47,ABERTIS GR OUP,Spain,Bafc4kona,,
fullcontact_48,Accenture,States,San Diego,,
fullcontact_50,Accor,France,Paris,,
fullcontact_52,Acer,Taiwan,Taipei,,
fullcontact_53,Actelion Pharmaceuticals Ltd,Switzerland,,,01.01.1997
fullcontact_54,Adidas,,,,
fullcontact_55,Advanced Helicopter Services,United States,Woodland,,01.01.2001
fullcontact_56,Aegon Group,Netherlands,,,
fullcontact_57,The AES Corporation,United Arab Emirates,Dubayy,,
fullcontact_58,Aetna,United States,Hartfor d,,
fullcontact_59,Aflac,United States,,,1955-01-01
fullcontact_61,Agrium,,Calgary,,01/01/1931
fullcontact_63,Airgas Incorporated,United States,Radnor,,01.01.1982
fullcontact_65,Ajinomoto,Japan,,,
fullcontact_66,T.A.S Akbank,,,,
fullcontact_67,AkzoNobel Technology & Engineering,Netherlands,Amsterdam City,,
fullcontact_69,Alcoa Inc.,United States,Pittsburgh,,
fullcontact_70,Alfa Aesar,,,,
fullcontact_71,Alfa Laval,Sweden,Lund,,
fullcontact_73,Alleghany Corporation,United States,New York,,
fullcontact_74,"Allergan, Inc.",,,,
fullcontact_76,Alliant Energy Corporation,United States,,,01.01.1917
fullcontact_79,المراعي - Almarai,Saudi Arabia,Riyadh,,01/01/1977
fullcontact_80,Alpha Bank,,ATHENS,,1879-01-01
fullcontact_81,Alstom,France,Saint-Ouen,,1928-01-01
fullcontact_83,Amazon,,Seattle,,
fullcontact_84,AmBank Group,,,,
fullcontact_85,Amcor Packaging Distribution,,,,
fullcontact_86,Amdocs Ltd.,United States,Chesterfield,,
fullcontact_88,Telcel,,,,
fullcontact_92,"Affiliated Managers Group, Inc.",United States,Las Vegas,,
fullcontact_93,Amgen Inc.,United States,,,
fullcontact_94,Amphenol,China,"Wallingford, Connecticut",,
fullcontact_95,Efes Pilsen,Turkcy,İstanbul,,
fullcontact_97,Anglo American,,London,,01.01.1999
fullcontact_98,Antero Resources,,,,
fullcontact_99,"Anthem Inc (former WellPoint, Inc.)",,,,
fullcontact_100,ANZ Australia,Commonwealth of Australia,,,1835-01-01
fullcontact_101,Aon Corporation,United Kingdom,,,
fullcontact_102,Apple Inc.,United States,Cupertino,,
fullcontact_104,Aramark,Ireland,Dublin,,
fullcontact_105,"Arca Continental, S.A.B. de C.V.",Mexico,Monterrey,,
fullcontact_106,AREVA Inc.,France,Courbevoie,,
fullcontact_108,ARM,,,,
fullcontact_109,ARYZTA AG,Switzerland,,,
fullcontact_110,Asahi KASEI Medical Europe GmbH,Germany,Frankfurt,,
fullcontact_112,ABLOY,Sweden,Stockholm,,1994-01-01
fullcontact_113,Assurant,,New York,,
fullcontact_114,AstraZeneca,United Kingdom,London,,
fullcontact_115,ATCO Group,Canada,Calgary,,01/01/1947
fullcontact_116,Atlas Copco,Sweden,Stockh olm,,01.01.1873
fullcontact_118,Attijariwafa Bank,France,,,
fullcontact_119,Aurubis,Netherlands,Zutphen,,
fullcontact_120,"Autoliv, Inc.",Sweden,,,
fullcontact_121,AutoZone,United States,Memphis,,
