source_dataset,source_column,target_dataset,target_column,score
dbpedia,id,companies,id,1.0
dbpedia,nm,companies,name,1.0
dbpedia,ey,companies,founded,1.0
dbpedia,cn,companies,country,1.0
dbpedia,hq,companies,city,1.0
dbpedia,sg,companies,industry,1.0
dbpedia,kpn,companies,keypeople,1.0
dbpedia,ta,companies,assets,1.0
dbpedia,ai,companies,revenue,1.0
forbes,id,companies,id,1.0
forbes,co_nm,companies,name,1.0
forbes,region,companies,country,1.0
forbes,bus_seg,companies,industry,1.0
forbes,ast_val,companies,assets,1.0
forbes,sls_fig,companies,revenue,1.0
fullcontact,id,companies,id,1.0
fullcontact,Attribute_2,companies,name,1.0
fullcontact,Attribute_3,companies,country,1.0
fullcontact,Attribute_4,companies,city,1.0
fullcontact,Attribute_5,companies,keypeople,1.0
fullcontact,Attribute_6,companies,founded,1.0
