source,attribute,baseline_alignment_rate,n_cells,n_aligned
dbpedia,revenue,0.0625,96,6
dbpedia,founded,0.717557,131,94
dbpedia,city,0.4375,128,56
dbpedia,country,0.641221,131,84
dbpedia,name,0.610687,131,80
dbpedia,industry,0.0,0,0
dbpedia,assets,0.140625,64,9
forbes,assets,0.207254,193,40
forbes,industry,0.0,0,0
forbes,name,0.943005,193,182
forbes,country,0.834286,175,146
forbes,revenue,0.0,193,0
fullcontact,name,0.301282,156,47
fullcontact,country,0.382609,115,44
fullcontact,city,0.398438,128,51
fullcontact,industry,0.0,0,0
fullcontact,founded,0.581395,86,50
