entity_id,source,attribute,original_value,new_value,transform_fn,transform_params,knob,level
http://dbpedia.org/resource/123RF,dbpedia,headquarters,San Francisco,Francisco San,eda_random_swap,"{""positions"": [1, 0], ""tokens_before"": [""Francisco"", ""San""], ""tokens_after"": [""San"", ""Francisco""], ""n_swaps"": 1}",1,medium
http://dbpedia.org/resource/430_West_Records,dbpedia,headquarters,United States,USA,llm_paraphrase_short,"{""prompt_version"": ""v2"", ""model_id"": ""gpt-5.4-mini"", ""cache_path"": ""da6b32e40c922f48c9cf087152e4e034369bc3b03c556bbcf0cc37a0e817a976.json"", ""committee_passed"": true, ""contamination_check"": {""ngram_overlap_passed"": true, ""first_token_probe_passed"": true}}",1,medium
http://dbpedia.org/resource/99designs,dbpedia,headquarters,San Francisco,San,eda_random_delete,"{""position"": 1, ""token_removed"": ""Francisco""}",1,medium
http://dbpedia.org/resource/ACube_Systems_Srl,dbpedia,headquarters,Bassano del Grappa,Bassano del,eda_random_delete,"{""position"": 2, ""token_removed"": ""Grappa""}",1,medium
http://dbpedia.org/resource/ALFA_(Mexico),dbpedia,headquarters,San Pedro Garza García,San Pedro García,eda_random_delete,"{""position"": 2, ""token_removed"": ""Garza""}",1,medium
http://dbpedia.org/resource/Access_Industries,dbpedia,headquarters,New York City,New York,eda_random_delete,"{""position"": 2, ""token_removed"": ""City""}",1,medium
http://dbpedia.org/resource/Aerojet_Rocketdyne,dbpedia,headquarters,"Sacramento, CaliforniaCalifornia","Sacramento,",eda_random_delete,"{""position"": 1, ""token_removed"": ""CaliforniaCalifornia""}",1,medium
http://dbpedia.org/resource/Amdahl_Corporation,dbpedia,headquarters,"Sunnyvale, California","Sunnyvale, CA",llm_paraphrase_short,"{""prompt_version"": ""v2"", ""model_id"": ""gpt-5.4-mini"", ""cache_path"": ""7754d553fa16246e1df792c60fcaa9fb34aa1dfb90a4af7be4b21eec08f1efb1.json"", ""committee_passed"": true, ""contamination_check"": {""ngram_overlap_passed"": true, ""first_token_probe_passed"": true}}",1,medium
http://dbpedia.org/resource/Apatow_Productions,dbpedia,headquarters,Los AngelesCalifornia,AngelesCalifornia Los,eda_random_swap,"{""positions"": [0, 1], ""tokens_before"": [""Los"", ""AngelesCalifornia""], ""tokens_after"": [""AngelesCalifornia"", ""Los""], ""n_swaps"": 1}",1,medium
http://dbpedia.org/resource/Arkane_Studios,dbpedia,headquarters,Lyon,Olympique Lyonnais,llm_paraphrase_short,"{""prompt_version"": ""v2"", ""model_id"": ""gpt-5.4-mini"", ""cache_path"": ""b52bad038afc6a4f954f0911e1be98579deba7d2cd849df37be800e84ff7c6a2.json"", ""committee_passed"": true, ""contamination_check"": {""ngram_overlap_passed"": true, ""first_token_probe_passed"": true}}",1,medium
http://dbpedia.org/resource/Arphic_Technology,dbpedia,headquarters,New Taipei City,New Taipei Municipality,llm_paraphrase_short,"{""prompt_version"": ""v2"", ""model_id"": ""gpt-5.4-mini"", ""cache_path"": ""66b9ac68789c6ce66cf88c767c2297386a7fcf6040dda95ee5c5899b5cdba50b.json"", ""committee_passed"": true, ""contamination_check"": {""ngram_overlap_passed"": true, ""first_token_probe_passed"": true}}",1,medium
http://dbpedia.org/resource/Babcock_Electric_Carriage_Company,dbpedia,headquarters,"Buffalo, New York","Buffalo, York",eda_random_delete,"{""position"": 1, ""token_removed"": ""New""}",1,medium
http://dbpedia.org/resource/Bank_of_Commerce,dbpedia,headquarters,Mandaluyong,Mandaluyong City,llm_paraphrase_short,"{""prompt_version"": ""v2"", ""model_id"": ""gpt-5.4-mini"", ""cache_path"": ""51d25daa6e1a849bb205b924e3f32bc91ff5826cff724e70965ffae0e1268418.json"", ""committee_passed"": true, ""contamination_check"": {""ngram_overlap_passed"": true, ""first_token_probe_passed"": true}}",1,medium
http://dbpedia.org/resource/Bank_of_Florida,dbpedia,headquarters,"Naples, Florida",Florida,eda_random_delete,"{""position"": 0, ""token_removed"": ""Naples,""}",1,medium
http://dbpedia.org/resource/Baystate_Medical_Center,dbpedia,headquarters,"Springfield, MassachusettsMassachusetts","Springfield, Massachusetts",llm_paraphrase_short,"{""prompt_version"": ""v2"", ""model_id"": ""gpt-5.4-mini"", ""cache_path"": ""78d8d1f0c06940358427468c09c7bff5e042eb2d38e63f5b1f6f91ea09ec0541.json"", ""committee_passed"": true, ""contamination_check"": {""ngram_overlap_passed"": true, ""first_token_probe_passed"": true}}",1,medium
http://dbpedia.org/resource/Beechcraft,dbpedia,headquarters,"Wichita, Kansas","Wichita, KS",llm_paraphrase_short,"{""prompt_version"": ""v2"", ""model_id"": ""gpt-5.4-mini"", ""cache_path"": ""d8dbc7228ab36446a9cc8fa94618d4380c3d68e3fb9f4c3a7a69c72734940f40.json"", ""committee_passed"": true, ""contamination_check"": {""ngram_overlap_passed"": true, ""first_token_probe_passed"": true}}",1,medium
http://dbpedia.org/resource/Benefit_Cosmetics,dbpedia,headquarters,San Francisco,Francisco San,eda_random_swap,"{""positions"": [1, 0], ""tokens_before"": [""Francisco"", ""San""], ""tokens_after"": [""San"", ""Francisco""], ""n_swaps"": 1}",1,medium
http://dbpedia.org/resource/BigBand_Networks,dbpedia,headquarters,"Redwood City, California","Redwood City, CA",llm_paraphrase_short,"{""prompt_version"": ""v2"", ""model_id"": ""gpt-5.4-mini"", ""cache_path"": ""c132b57f22b7acbdf8380f1a8420c8837e1f02cedeef0513858d28c15bec4345.json"", ""committee_passed"": true, ""contamination_check"": {""ngram_overlap_passed"": true, ""first_token_probe_passed"": true}}",1,medium
