cluster_size,frequency,percentage
2,4701,69.63412827729225
3,1183,17.523329877055254
4,443,6.561990816175381
5,180,2.6662716634572656
6,91,1.3479484520811733
7,58,0.8591319804473412
8,26,0.38512812916604944
9,26,0.38512812916604944
10,16,0.23700192564064582
11,9,0.1333135831728633
12,1,0.014812620352540364
13,1,0.014812620352540364
14,1,0.014812620352540364
15,1,0.014812620352540364
16,1,0.014812620352540364
20,1,0.014812620352540364
21,1,0.014812620352540364
22,1,0.014812620352540364
23,1,0.014812620352540364
25,1,0.014812620352540364
32,1,0.014812620352540364
34,1,0.014812620352540364
36,1,0.014812620352540364
38,1,0.014812620352540364
44,1,0.014812620352540364
45,1,0.014812620352540364
47,2,0.029625240705080727
