id,prod_title,launch_dt,studio,dist,hw,genre,press_score,comm_rating,age_class,units_sold_mm
sales_1,Wii Sports,2006-01-01,Nintendo,Nintcndo,Wii,Sports,76,8.0,E,82000000
sales_2,Mario Kart Wii,2008-01-01,Nintcndo,Nintendo,Wii,Racing,82,8.3,E,35000000
sales_3,Wii Sports Resort,2009-0q-01,Nintendo,Nintendo,Wii,Sports,80,,E,32000000
sales_4,New Super Mario Bros.,2006-01-01,Nintendo,Nintendo,DS,Platform,89,8.5,,29000000
sales_5,Wii Play,2006-01-01,Nintendo,Nintendo,Wii,Misc,,6.6,E,28000000
sales_6,New Super Mario Bros. Wii,2009-01-01,Nintendo,,Wii,Platform,87,8.4,Everyone,28000000
sales_7,Mario Kart DS,2005-01-01,Nintendo,Nintendo,DS,Racing,,8.6,E,23000000
sales_8,Wii Fit,2007-01-0l,Nintendo,Nintendo,Wii,Sports,80,7.7,E,22000000
sales_9,Kinect Adventures!,2010-01-01,Good Science Studio,Microsoft Game Studios,360 Xbox,Misc,61,,E,21000000
sales_10,Wii Fit Plus,2009-01-01,Nintendo,Nintendo,Wii,Sports,80,7.4,E,21000000
sales_11,Grand Theft Auto V,2013-01-01,Rockstar North,Interactive Take-Two,PS3,Action,97,8.2,M,21000000
sales_12,Grand Theft Auto: San Andreas,2004-01-01,Rockstar North,,PS2,Action,95,9.0,M,20000000
sales_13,Brain Age: Train Your Brain in Minutes a Day,2005-01-01,Nintendo,Nintendo,DS,Misc,77,7.9,E,20000000
sales_14,Grand Theft Auto V,2013-01-01,Rockstar North,Interactive,Xbox 360,,97,8.1,Mature 17+,16000000
sales_15,Grand Theft Auto: Vice City,2002-01-01,,,PS2,Action,,8.7,M,16000000
sales_16,Brain Age 2: More Training in Minutes a Day,2005-01-01,Nintendo,Nintendo,DS,Puzzle,77,7.1,E,15000000
sales_17,Gran Turismo 3: A-Spec,2001-01-01,Polyphony Digital,Computer Sony Entertainment,PlayStation 2,Racing,95,8.4,E,14000000
sales_18,Call of Duty: Modern Warfare 3,2011-01-01,"Infinity Ward, Sledgehammer Games",Activision,Xbox 360,Shooter,88,3.4,M,14000000
sales_19,Call of Duty: Black Ops,2010-01-o1,,Activision,Xbox 360,Shooter,87,6.3,M,14000000
sales_20,Call of Duty: Black Ops II,2012-01-0l,treyarch,Activision,PS3,Shooter,83,5.3,M,13000000
sales_21,Call of Duty: Black Ops II,2012-01-01,Treyarch,Activision,Xbox 360,Shooter,83,4.8,,13000000
sales_22,Call of Duty: Modern Warfare 2,2009-01-01,,Activision,Xbox 360,,94,6.3,M,13000000
sales_23,Call of Duty: Modern Warfare 3,2011-01-01,"Infinity Ward, Sledgehammer Games",Activision,PS3,Shooter,88,3.2,M,
sales_24,Grand Theft Auto III,2001-01-01,DMA Design,Interactive Take-Two,PS2,Action,97,,M,13000000
sales_25,Super Smash Bros. Brawl,,,Nintendo,Wii,Fighting,93,8.9,,12000000
sales_26,Mario Kart 7,2011-01-01,,Nintendo,3DS,Racing,85,8.2,,12000000
sales_27,Call of Duty: Black Ops,2010-01-01,Treyarch,,,Shooter,88,6.4,M,12000000
sales_28,Grand Theft Auto V,2014-01-01,Rockstar North,Take-Two Interactive,PS4,Action,97,8.3,M,12000000
sales_29,Animal Crossing: Wild World,2005-01-01,Nintendo,Nintendo,DS,,86,8.7,E,
sales_30,Halo 3,2007-01-01,"Bungie Software, Bungie",Microsoft Game Studios,Xbox 360,Shooter,94,7.8,M,12000000
sales_31,Gran Turismo 4,2004-01-01,Polyphony Digital,Sony Computer Entertainment,PS2,Racing,89,8.5,Everyone,11000000
sales_32,Super Mario Galaxy,2007-01-01,,Nintendo,Wii,Platform,97,,E,11000000
sales_33,Grand Theft Auto IV,2008-01-01,Rockstar North,Take-Two Interactive,X360,Action,98,7.9,M,11000000
sales_34,Gran Turismo,1997-01-01,Polyphony Digital,Sony Computer Entertainment,Playstation,,96,8.7,,10000000
sales_35,Super Mario 3D Land,2011-01-01,Nintendo,Nintendo,3DS,Platform,90,8.4,,10000000
sales_36,Gran Turismo 5,2010-01-01,Polyphony Digital,Sony Computer Entertainment,PS3,Racing,84,7.5,E,10000000
sales_37,Call of Duty: Modern Warfare 2,2009-01-01,Infinity Ward,Activision,PS3,Shooter,94,6.3,M,10000000
sales_38,Grand Theft Auto IV,2008-01-01,Rockstar North,Take-Two Interactive,PS3,Action,98,7.5,M,10000000
sales_39,Call of Duty: Ghosts,2013-01-01,Ward,Actigision,Xbox 36O,Shooter,73,2.6,M,10000000
sales_40,Just Dance 3,,Ubisoft,Ubisoft,Wii,,,,E10+,10000000
sales_41,New Super Mario Bros. 2,2012-01-01,Ni ntendo,Nintendo,3DS,Platform,78,7.2,,9000000
sales_42,Halo: Reach,2010-01-01,Bungie,Microsoft Game Studios,X360,Shooter,91,7.9,M,9000000
sales_43,Final Fantasy VII,1997-01-01,SquareSoft,Sony Computer Entertainment,Playstation,Role-Playing,92,9.2,5,9000000
sales_44,Halo 4,2012-01-01,343 Industries,Microsoft Game Studios,Xbox 360,Shooter,87,7.0,M,9000000
sales_45,Gran Turismo 2,1999-01-01,Polyphony Digital,Sony Computer Entertainment,Playstation,Racing,93,9.0,t,9000000
sales_46,Just Dance 2,2010-01-01,Ubisoft,Ubisoft,Wii,Misc,74,7.3,E10+,9000000
sales_47,Call of Duty: Ghosts,2013-01-01,Infinity Ward,Activision,PS3,Shooter,71,2.6,,9000000
sales_48,Call of Duty 4: Modern Warfare,,Infinity Ward,ATVI,,Shooter,94,8.4,M,9000000
sales_49,Animal Crossing: New Leaf,2012-01-01,,Nintendo,3DS,Simulation,88,8.7,E,9000000
sales_50,Mario Party DS,2007-01-01,Soft Hudson,Nintcndo,,Mjsc,72,7.8,E,8000000
sales_51,The Elder Scrolls V: Skyrim,2011-01-01,Bethesda Game Studios,Bethesda Softworks,Xbox 360,Role-Playing,96,8.4,,8000000
sales_52,FIFA 16,2015-01-01,EA Sports,Electronic Arts,,Sports,82,4.3,E,
sales_53,Halo 2,2004-01-01,Bungie Software,Microsoft Game Studios,Xbox,Shooter,,,M,8000000
sales_54,Wii Party,2010-01-01,Nd Cube,,Wii,Misc,68,7.4,E,8000000
sales_55,Mario Party 8,2007-01-01,Hudson,Nintendo,Wii,Misc,62,6.3,E,8000000
sales_56,FIFA Soccer 13,201w-01-01,Electronic Arts,Electronic,PS3,Action,88,6.6,E,8000000
sales_57,Final Fantasy X,2001-01-01,SquareSoft,Sony Computer Entertainment,PS2,,92,,t,8000000
sales_58,The Sims 3,2009-01-01,The Sims Studio,Electronic Arts,PC,,86,7.6,T,8000000
sales_59,Final Fantasy VIII,1999-01-01,SquareSoft,SquareSoft,Playstation,Role-Playing,90,8.6,T,7000000
sales_60,Pokémon Platinum Version,2008-01-01,Game Freak,Nintendo,DS,Role-Playing,83,8.5,E,7000000
sales_61,Grand Theft Auto: Liberty City Stories,2005-01-01,RockstarLeeds,Take-Two Interactive,Playstation,Action,88,7.6,M,7000000
sales_62,Call of Duty: Advanced Warfare,,,Activision,PS4,Shooter,,5.7,M,7000000
sales_63,FIFA 17,2016-01-01,,Electronic Arts,PlayStation 4,,85,5.0,Everyone,
sales_64,Super Mario Galaxy 2,,Nintendo EAD Tokyo,Nintendo,Wii,Platform,,9.1,E,7000000
sales_65,Call of Duty: World at War,2008-01-01,Treyarch,Activixion,Xbox 360,,84,7.6,M,7000000
sales_66,Battlefield 3,2011-01-01,EA DICE,,Xbox 360,Shooter,84,7.4,M,7000000
sales_67,Need for Speed Underground,2003-01-01,EA Black Box,Electronic Arts,PS2,Racing,8 5,8.6,E,7000000
sales_68,Just Dance,2009-01-01,Ubisoft Paris,Ubisoft,Wii,Misc,49,8.0,E10+,7000000
sales_69,Battlefield 3,2011-01-01,EA DICE,Electronic Arts,PS3,Shooter,85,7.5,,7000000
sales_70,Fallout 4,,Bethesda Game Studios,Bethesda Softworks,PS4,Role-Playing,87,6.5,N,7000000
sales_71,Tekken 3,1998-01-01,Namco,Sony Computer Entertainment,Playstation,Fighting,96,9.1,,7000000
sales_72,The Legend of Zelda: Twilight Princess,2006-01-01,Nintendo,Nintendo,Wii,Action,95,,T,7000000
sales_73,Crash Bandicoot 3: Warped,1998-01-01,Naughty Dog,Computer Sony Entertainment,Playstation,Platform,91,8.9,E,7000000
sales_74,Mario Kart 8,2014-01-01,Nintendo,Nintendo,WoiU,,88,9.1,E,7000000
sales_75,Super Smash Bros. Melee,2001-01-01,HAL Labs,Nintendo,,Fighting,92,9.1,T,7000000
sales_76,Need for Speed Underground 2,2004-01-O1,EA Canada,Electronic Arts,PS2,,82,8.6,E,6000000
sales_77,Medal of Honor: Frontline,2002-01-01,EA La,Electronic Arts,PS2,Shooter,88,8.5,T,
sales_78,Just Dance 4,2012-01-01,Ubisoft,Ubisoft,Wi i,,74,,,
sales_79,Gears of War 2,,Epic Games,Microsoft Game Studios,Xbox 360,Shooter,93,7.7,M,6000000
sales_80,Uncharted 3: Drake's Deception,2011-01-01,Naughty Dog,Sony Computer Entertainment,PS3,Action,92,8.3,T,6000000
