id1,id2,source_1,source_2,label
metacritic_10091,dbpedia_61967,metacritic,dbpedia,true
metacritic_10433,dbpedia_40500,metacritic,dbpedia,true
metacritic_1049,dbpedia_59457,metacritic,dbpedia,true
metacritic_10526,dbpedia_47913,metacritic,dbpedia,true
metacritic_11197,dbpedia_16923,metacritic,dbpedia,true
metacritic_1123,dbpedia_3260,metacritic,dbpedia,true
metacritic_11264,dbpedia_53797,metacritic,dbpedia,true
metacritic_11314,dbpedia_7486,metacritic,dbpedia,true
metacritic_11331,dbpedia_57805,metacritic,dbpedia,true
metacritic_11407,dbpedia_16284,metacritic,dbpedia,true
metacritic_11440,dbpedia_19921,metacritic,dbpedia,true
metacritic_1147,dbpedia_20575,metacritic,dbpedia,true
metacritic_11621,dbpedia_63204,metacritic,dbpedia,true
metacritic_11680,dbpedia_18717,metacritic,dbpedia,true
metacritic_11708,dbpedia_19275,metacritic,dbpedia,true
metacritic_11723,dbpedia_60360,metacritic,dbpedia,true
metacritic_11740,dbpedia_47630,metacritic,dbpedia,true
metacritic_11847,dbpedia_15563,metacritic,dbpedia,true
metacritic_11918,dbpedia_35945,metacritic,dbpedia,true
metacritic_11968,dbpedia_18260,metacritic,dbpedia,true
metacritic_12202,dbpedia_22182,metacritic,dbpedia,true
metacritic_12353,dbpedia_27346,metacritic,dbpedia,true
metacritic_12357,dbpedia_12871,metacritic,dbpedia,true
metacritic_1242,dbpedia_41374,metacritic,dbpedia,true
metacritic_12450,dbpedia_149,metacritic,dbpedia,true
metacritic_12629,dbpedia_55721,metacritic,dbpedia,true
metacritic_1268,dbpedia_14968,metacritic,dbpedia,true
metacritic_12699,dbpedia_36734,metacritic,dbpedia,true
metacritic_1270,dbpedia_52650,metacritic,dbpedia,true
metacritic_12754,dbpedia_54439,metacritic,dbpedia,true
metacritic_12885,dbpedia_26546,metacritic,dbpedia,true
metacritic_13063,dbpedia_17952,metacritic,dbpedia,true
metacritic_13112,dbpedia_22846,metacritic,dbpedia,true
metacritic_13124,dbpedia_17511,metacritic,dbpedia,true
metacritic_1313,dbpedia_35107,metacritic,dbpedia,true
metacritic_13257,dbpedia_59314,metacritic,dbpedia,true
metacritic_13259,dbpedia_31384,metacritic,dbpedia,true
metacritic_13593,dbpedia_14401,metacritic,dbpedia,true
metacritic_13721,dbpedia_677,metacritic,dbpedia,true
metacritic_13857,dbpedia_32964,metacritic,dbpedia,true
metacritic_13940,dbpedia_29556,metacritic,dbpedia,true
metacritic_13962,dbpedia_52888,metacritic,dbpedia,true
metacritic_14091,dbpedia_17164,metacritic,dbpedia,true
