entity_id,source,attribute,original_value,new_value,transform_fn,transform_params,knob,level
metacritic_10433,,releaseYear,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
metacritic_10526,,releaseYear,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
metacritic_1123,,releaseYear,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
metacritic_11331,metacritic,name,State of Emergency,State of Emergency,identity,"{""gold_source"": ""metacritic"", ""sampled"": true}",10,medium
metacritic_11331,dbpedia,platform,PS2,PSq,reassign_gold_carrier,"{""gold_source_before"": ""dbpedia"", ""gold_source_after"": ""metacritic"", ""perturbed_sources"": [""metacritic""], ""weight_vector"": {""dbpedia"": 0.1875, ""metacritic"": 0.8125}, ""sampled_from_compromised_mask"": false}",10,medium
metacritic_11331,metacritic,platform,PSq,PS2,reassign_gold_carrier,"{""gold_source_before"": ""dbpedia"", ""gold_source_after"": ""metacritic"", ""perturbed_sources"": [""metacritic""], ""weight_vector"": {""dbpedia"": 0.1875, ""metacritic"": 0.8125}, ""sampled_from_compromised_mask"": false}",10,medium
metacritic_11331,,releaseYear,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
metacritic_1147,metacritic,platform,PC,PC,identity,"{""gold_source"": ""metacritic"", ""sampled"": true}",10,medium
metacritic_1147,,releaseYear,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
metacritic_11723,metacritic,platform,Xbox 360,Xbox 360,identity,"{""gold_source"": ""metacritic"", ""sampled"": true}",10,medium
metacritic_11723,,releaseYear,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
metacritic_12202,metacritic,developer,Square Enix,Square Enix,identity,"{""gold_source"": ""metacritic"", ""sampled"": true}",10,medium
metacritic_12202,metacritic,name,The Last Remnant Remastered,The Last Remnant,reassign_gold_carrier,"{""gold_source_before"": ""metacritic"", ""gold_source_after"": ""dbpedia"", ""perturbed_sources"": [""dbpedia""], ""weight_vector"": {""dbpedia"": 0.1875, ""metacritic"": 0.8125}, ""sampled_from_compromised_mask"": false}",10,medium
metacritic_12202,dbpedia,name,The Last Remnant,The Last Remnant Remastered,reassign_gold_carrier,"{""gold_source_before"": ""metacritic"", ""gold_source_after"": ""dbpedia"", ""perturbed_sources"": [""dbpedia""], ""weight_vector"": {""dbpedia"": 0.1875, ""metacritic"": 0.8125}, ""sampled_from_compromised_mask"": false}",10,medium
metacritic_12202,,releaseYear,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
metacritic_12353,metacritic,name,Monster House,Monster House խաղը,reassign_gold_carrier,"{""gold_source_before"": ""metacritic"", ""gold_source_after"": ""dbpedia"", ""perturbed_sources"": [""dbpedia""], ""weight_vector"": {""dbpedia"": 0.1875, ""metacritic"": 0.8125}, ""sampled_from_compromised_mask"": false}",10,medium
metacritic_12353,dbpedia,name,Monster House խաղը,Monster House,reassign_gold_carrier,"{""gold_source_before"": ""metacritic"", ""gold_source_after"": ""dbpedia"", ""perturbed_sources"": [""dbpedia""], ""weight_vector"": {""dbpedia"": 0.1875, ""metacritic"": 0.8125}, ""sampled_from_compromised_mask"": false}",10,medium
metacritic_12353,,releaseYear,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
metacritic_12357,dbpedia,platform,3DS,Nintendo 3DS,reassign_gold_carrier,"{""gold_source_before"": ""dbpedia"", ""gold_source_after"": ""metacritic"", ""perturbed_sources"": [""metacritic""], ""weight_vector"": {""dbpedia"": 0.1875, ""metacritic"": 0.8125}, ""sampled_from_compromised_mask"": false}",10,medium
metacritic_12357,metacritic,platform,Nintendo 3DS,3DS,reassign_gold_carrier,"{""gold_source_before"": ""dbpedia"", ""gold_source_after"": ""metacritic"", ""perturbed_sources"": [""metacritic""], ""weight_vector"": {""dbpedia"": 0.1875, ""metacritic"": 0.8125}, ""sampled_from_compromised_mask"": false}",10,medium
metacritic_12357,,releaseYear,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
metacritic_12629,metacritic,platform,Xbox 360,Xbox 360,identity,"{""gold_source"": ""metacritic"", ""sampled"": true}",10,medium
metacritic_12629,,releaseYear,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
metacritic_1268,,releaseYear,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
metacritic_12754,,releaseYear,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
metacritic_13063,,releaseYear,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
metacritic_13124,,developer,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
metacritic_13124,,releaseYear,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
metacritic_1313,,releaseYear,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
metacritic_13593,metacritic,name,Guilty Gear X Advance Edition,Guilty Gear X Advance Edition,identity,"{""gold_source"": ""metacritic"", ""sampled"": true}",10,medium
metacritic_13593,,releaseYear,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
metacritic_13721,metacritic,developer,Pyro Studios,Pyro Studios,identity,"{""gold_source"": ""metacritic"", ""sampled"": true}",10,medium
metacritic_13721,,releaseYear,,,no_gold_to_route,"{""perturbed_sources"": [""dbpedia"", ""metacritic""], ""reason"": ""no_aligned_value""}",10,medium
