id1,id2,is_true_match,classification
mbrainz_26955,lastFM_24387,,
mbrainz_3547,lastFM_7006,,
mbrainz_2355,lastFM_38767,,
mbrainz_18940,lastFM_11756,,
mbrainz_3896,lastFM_62538,,
mbrainz_29386,lastFM_73282,True,TP
mbrainz_6631,lastFM_75630,,
mbrainz_11153,lastFM_5548,,
mbrainz_7080,lastFM_74345,,
mbrainz_24802,lastFM_21556,,
mbrainz_21004,lastFM_53037,,
mbrainz_4411,lastFM_77723,,
mbrainz_14630,lastFM_32033,True,TP
mbrainz_659,lastFM_1191,,
mbrainz_3855,lastFM_42922,,
mbrainz_5038,lastFM_38170,,
mbrainz_14136,lastFM_61643,,
mbrainz_7687,lastFM_66569,,
mbrainz_9133,lastFM_45469,,
mbrainz_26506,lastFM_44522,,
mbrainz_120,lastFM_9562,,
mbrainz_6693,lastFM_6933,,
mbrainz_22396,lastFM_50925,,
mbrainz_20922,lastFM_24333,,
mbrainz_31208,lastFM_17191,,
mbrainz_30996,lastFM_68921,,
mbrainz_27090,lastFM_58774,,
mbrainz_1617,lastFM_50832,,
mbrainz_2901,lastFM_2965,,
mbrainz_22925,lastFM_77496,,
mbrainz_21594,lastFM_63199,,
mbrainz_46,lastFM_51720,,
mbrainz_10196,lastFM_5757,,
mbrainz_3732,lastFM_22878,,
mbrainz_3736,lastFM_7493,,
mbrainz_195,lastFM_34250,,
mbrainz_288,lastFM_27855,,
mbrainz_3895,lastFM_2207,,
mbrainz_15773,lastFM_17048,False,FP
mbrainz_70,lastFM_74472,,
mbrainz_20745,lastFM_82288,,
mbrainz_24367,lastFM_35311,,
mbrainz_4151,lastFM_74358,,
mbrainz_9990,lastFM_68954,,
mbrainz_7309,lastFM_52333,,
mbrainz_4700,lastFM_23867,,
mbrainz_21256,lastFM_41137,,
mbrainz_32460,lastFM_44835,,
mbrainz_46,lastFM_21454,,
mbrainz_8227,lastFM_50930,,
mbrainz_15933,lastFM_77342,,
mbrainz_5444,lastFM_13417,,
mbrainz_33103,lastFM_49776,,
mbrainz_20809,lastFM_55399,,
mbrainz_4534,lastFM_17263,,
mbrainz_1721,lastFM_30179,,
mbrainz_1495,lastFM_75465,,
mbrainz_22348,lastFM_13947,,
mbrainz_3854,lastFM_1411,,
mbrainz_9680,lastFM_48142,,
mbrainz_15472,lastFM_18643,False,FP
mbrainz_4627,lastFM_30795,,
mbrainz_10116,lastFM_24816,,
mbrainz_9890,lastFM_4681,,
mbrainz_10868,lastFM_6872,,
mbrainz_1260,lastFM_42193,,
mbrainz_25236,lastFM_7338,,
mbrainz_22373,lastFM_61677,,
mbrainz_15088,lastFM_32452,,
mbrainz_565,lastFM_22368,,
mbrainz_3854,lastFM_77371,,
mbrainz_13649,lastFM_575,,
mbrainz_5056,lastFM_27062,,
mbrainz_5866,lastFM_43661,,
mbrainz_33831,lastFM_28396,,
mbrainz_302,lastFM_83170,,
mbrainz_2433,lastFM_26019,,
mbrainz_28629,lastFM_47285,,
mbrainz_4846,lastFM_81554,,
mbrainz_29214,lastFM_15581,,
mbrainz_4707,lastFM_7356,,
mbrainz_9523,lastFM_44580,,
mbrainz_426,lastFM_37177,,
mbrainz_2844,lastFM_64401,,
mbrainz_7021,lastFM_77812,,
mbrainz_10229,lastFM_64559,,
mbrainz_8820,lastFM_74767,,
mbrainz_7432,lastFM_66885,,
mbrainz_57,lastFM_4403,,
mbrainz_19150,lastFM_3674,,
mbrainz_12282,lastFM_12207,,
mbrainz_10121,lastFM_5465,,
mbrainz_15462,lastFM_68107,,
mbrainz_9133,lastFM_23141,False,FP
mbrainz_21119,lastFM_4071,,
mbrainz_2912,lastFM_77568,,
mbrainz_24367,lastFM_33265,,
mbrainz_10321,lastFM_38981,,
mbrainz_12728,lastFM_75910,,
mbrainz_2155,lastFM_21088,,
mbrainz_1772,lastFM_31330,,
mbrainz_11359,lastFM_45304,,
mbrainz_14963,lastFM_78966,,
mbrainz_6947,lastFM_66688,,
mbrainz_7080,lastFM_19952,,
mbrainz_1164,lastFM_20714,,
mbrainz_1739,lastFM_1189,,
mbrainz_2045,lastFM_26792,,
mbrainz_14913,lastFM_1144,,
mbrainz_33346,lastFM_80328,,
mbrainz_20054,lastFM_23508,,
mbrainz_2808,lastFM_5278,,
mbrainz_3195,lastFM_78326,,
mbrainz_12473,lastFM_47081,,
mbrainz_1093,lastFM_6383,,
mbrainz_7369,lastFM_720,,
mbrainz_27090,lastFM_55737,,
mbrainz_10786,lastFM_65592,,
mbrainz_31996,lastFM_83057,,
mbrainz_4804,lastFM_9944,,
mbrainz_20378,lastFM_13439,,
mbrainz_253,lastFM_22354,,
mbrainz_20198,lastFM_56623,,
mbrainz_2071,lastFM_72050,,
mbrainz_173,lastFM_68336,,
mbrainz_19335,lastFM_29372,,
mbrainz_12446,lastFM_60398,,
mbrainz_21152,lastFM_65294,,
mbrainz_4534,lastFM_18670,,
mbrainz_25,lastFM_19852,,
mbrainz_3416,lastFM_18371,,
mbrainz_16054,lastFM_4344,,
mbrainz_3164,lastFM_65019,,
mbrainz_10597,lastFM_4810,,
mbrainz_1910,lastFM_45617,,
mbrainz_23986,lastFM_83595,,
mbrainz_2807,lastFM_55211,,
mbrainz_215,lastFM_3458,,
mbrainz_4489,lastFM_22284,,
mbrainz_9794,lastFM_9833,,
mbrainz_70,lastFM_71636,,
mbrainz_18594,lastFM_56846,,
mbrainz_5998,lastFM_58854,,
mbrainz_2924,lastFM_27062,,
mbrainz_17410,lastFM_83255,,
mbrainz_8813,lastFM_63484,,
mbrainz_3688,lastFM_17320,,
mbrainz_2253,lastFM_64702,,
mbrainz_14983,lastFM_62908,,
mbrainz_14218,lastFM_55776,,
mbrainz_29534,lastFM_46504,False,FP
mbrainz_9680,lastFM_22043,,
mbrainz_14040,lastFM_12670,,
mbrainz_4749,lastFM_48344,,
mbrainz_16060,lastFM_62068,,
mbrainz_26536,lastFM_66530,True,TP
mbrainz_8359,lastFM_10103,,
mbrainz_2475,lastFM_13762,,
mbrainz_15103,lastFM_7945,,
mbrainz_18090,lastFM_60625,,
mbrainz_19497,lastFM_48344,,
mbrainz_21151,lastFM_80769,,
mbrainz_31039,lastFM_74698,,
mbrainz_2389,lastFM_24333,,
mbrainz_239,lastFM_41942,,
mbrainz_2709,lastFM_16163,,
mbrainz_9427,lastFM_23175,,
mbrainz_8759,lastFM_43682,,
mbrainz_25545,lastFM_50003,,
mbrainz_4616,lastFM_12468,,
mbrainz_11882,lastFM_58846,,
mbrainz_7032,lastFM_69408,False,FP
mbrainz_33831,lastFM_56206,,
mbrainz_27627,lastFM_1799,,
mbrainz_92,lastFM_23360,,
mbrainz_833,lastFM_35447,,
mbrainz_11308,lastFM_55066,,
mbrainz_12728,lastFM_22824,,
mbrainz_95,lastFM_7673,False,FP
mbrainz_31208,lastFM_69740,,
mbrainz_9659,lastFM_30838,,
mbrainz_97,lastFM_78998,,
mbrainz_18332,lastFM_60427,,
mbrainz_31208,lastFM_67504,,
mbrainz_24793,lastFM_74195,,
mbrainz_20209,lastFM_6904,,
mbrainz_13790,lastFM_30838,,
mbrainz_14665,lastFM_46422,,
mbrainz_234,lastFM_34070,False,FP
mbrainz_5205,lastFM_18763,,
mbrainz_6737,lastFM_27551,,
mbrainz_4278,lastFM_2562,,
mbrainz_22096,lastFM_4133,,
mbrainz_25578,lastFM_49363,False,FP
mbrainz_19994,lastFM_35925,,
mbrainz_20367,lastFM_4990,,
mbrainz_18314,lastFM_65684,,
mbrainz_12233,lastFM_6164,,
mbrainz_2244,lastFM_69748,,
mbrainz_5001,lastFM_61392,,
mbrainz_2158,lastFM_62092,,
mbrainz_1552,lastFM_49140,,
mbrainz_4231,lastFM_49095,,
mbrainz_29816,lastFM_16635,,
mbrainz_15737,lastFM_80400,,
mbrainz_10255,lastFM_77867,,
mbrainz_6947,lastFM_2271,,
mbrainz_9161,lastFM_43794,,
mbrainz_2901,lastFM_34493,,
mbrainz_757,lastFM_47038,,
mbrainz_386,lastFM_51576,,
mbrainz_5574,lastFM_14962,,
mbrainz_2807,lastFM_29325,,
mbrainz_1297,lastFM_59485,,
mbrainz_3524,lastFM_75020,False,FP
mbrainz_6235,lastFM_73448,,
mbrainz_12487,lastFM_25869,,
mbrainz_3507,lastFM_42835,,
mbrainz_20864,lastFM_45201,,
mbrainz_3269,lastFM_38788,,
mbrainz_17355,lastFM_69748,False,FP
mbrainz_2052,lastFM_66952,,
mbrainz_426,lastFM_11950,,
mbrainz_27790,lastFM_73089,,
mbrainz_20406,lastFM_41955,,
mbrainz_7191,lastFM_38830,,
mbrainz_14245,lastFM_46685,,
mbrainz_13106,lastFM_75129,,
mbrainz_15790,lastFM_49081,,
mbrainz_5631,lastFM_63816,,
mbrainz_5250,lastFM_2065,,
mbrainz_1448,lastFM_1029,,
mbrainz_2392,lastFM_5467,,
mbrainz_24802,lastFM_23641,,
mbrainz_201,lastFM_1241,,
mbrainz_23640,lastFM_36764,False,FP
mbrainz_13790,lastFM_14501,,
mbrainz_6283,lastFM_24361,,
mbrainz_32512,lastFM_72050,,
mbrainz_26629,lastFM_34242,False,FP
mbrainz_6258,lastFM_13755,,
mbrainz_32686,lastFM_62332,,
mbrainz_18144,lastFM_51506,,
mbrainz_13443,lastFM_31295,,
mbrainz_1772,lastFM_70967,,
mbrainz_2979,lastFM_129,,
mbrainz_5780,lastFM_20613,,
mbrainz_791,lastFM_68577,,
mbrainz_1530,lastFM_63068,,
mbrainz_12781,lastFM_44502,,
mbrainz_25545,lastFM_30651,,
mbrainz_19390,lastFM_5325,,
mbrainz_663,lastFM_49028,,
mbrainz_4204,lastFM_81594,,
mbrainz_9944,lastFM_30179,,
mbrainz_30346,lastFM_25937,,
mbrainz_14600,lastFM_83167,,
mbrainz_7,lastFM_75439,,
mbrainz_215,lastFM_49162,,
mbrainz_1300,lastFM_56542,,
mbrainz_10117,lastFM_16509,,
mbrainz_569,lastFM_70323,,
mbrainz_26629,lastFM_83057,,
mbrainz_7077,lastFM_24987,,
mbrainz_14813,lastFM_20970,,
mbrainz_4197,lastFM_647,,
mbrainz_14963,lastFM_17195,,
mbrainz_20678,lastFM_46345,,
mbrainz_9882,lastFM_41567,,
mbrainz_32963,lastFM_10298,,
mbrainz_3608,lastFM_21596,,
mbrainz_6737,lastFM_47541,,
mbrainz_12505,lastFM_1117,,
mbrainz_1535,lastFM_40141,,
mbrainz_11478,lastFM_21157,False,FP
mbrainz_27507,lastFM_16420,,
mbrainz_2709,lastFM_45360,,
mbrainz_11140,lastFM_40160,False,FP
mbrainz_5095,lastFM_10595,,
mbrainz_433,lastFM_71713,,
mbrainz_15773,lastFM_66223,,
mbrainz_2979,lastFM_42835,,
mbrainz_18403,lastFM_47397,,
mbrainz_2030,lastFM_65791,,
mbrainz_10983,lastFM_61541,,
mbrainz_16842,lastFM_12778,,
mbrainz_12746,lastFM_65381,,
mbrainz_20209,lastFM_3875,,
mbrainz_400,lastFM_48968,,
mbrainz_222,lastFM_61737,,
mbrainz_10482,lastFM_28797,,
mbrainz_6746,lastFM_39220,,
mbrainz_15577,lastFM_15822,,
mbrainz_196,lastFM_68621,,
mbrainz_5866,lastFM_21762,,
mbrainz_2531,lastFM_64811,,
mbrainz_7996,lastFM_61078,,
mbrainz_14400,lastFM_66470,,
mbrainz_17677,lastFM_62020,,
mbrainz_17547,lastFM_7945,,
mbrainz_18314,lastFM_29022,,
mbrainz_15790,lastFM_25991,,
mbrainz_23106,lastFM_39747,,
mbrainz_4599,lastFM_75758,,
mbrainz_4131,lastFM_29022,,
mbrainz_31745,lastFM_74780,,
mbrainz_9004,lastFM_13996,,
mbrainz_6459,lastFM_50750,False,FP
mbrainz_5247,lastFM_51073,,
mbrainz_974,lastFM_50746,,
mbrainz_1188,lastFM_59686,,
mbrainz_3194,lastFM_17825,,
mbrainz_21042,lastFM_41859,,
mbrainz_295,lastFM_40452,,
mbrainz_24353,lastFM_28587,,
mbrainz_29214,lastFM_70941,,
mbrainz_10116,lastFM_13747,,
mbrainz_6283,lastFM_81955,,
mbrainz_27627,lastFM_35721,,
mbrainz_2690,lastFM_10849,,
mbrainz_659,lastFM_27165,,
mbrainz_14413,lastFM_26179,,
mbrainz_25043,lastFM_63230,,
mbrainz_10613,lastFM_82844,,
mbrainz_6154,lastFM_45066,,
mbrainz_2868,lastFM_33083,,
mbrainz_7167,lastFM_11389,,
mbrainz_18214,lastFM_22980,,
mbrainz_493,lastFM_52030,,
mbrainz_2812,lastFM_68122,,
mbrainz_3980,lastFM_69029,,
mbrainz_21004,lastFM_18879,,
mbrainz_25643,lastFM_59730,,
mbrainz_21822,lastFM_46387,,
mbrainz_16125,lastFM_60427,,
mbrainz_1274,lastFM_42742,,
mbrainz_17311,lastFM_66042,,
mbrainz_29181,lastFM_37764,,
mbrainz_12566,lastFM_27070,,
mbrainz_6044,lastFM_61279,,
mbrainz_4914,lastFM_38686,,
mbrainz_33,lastFM_72096,,
mbrainz_30006,lastFM_41840,,
mbrainz_12035,lastFM_18315,,
mbrainz_21374,lastFM_23279,False,FP
mbrainz_17691,lastFM_65545,,
mbrainz_4017,lastFM_80558,,
mbrainz_123,lastFM_9778,,
mbrainz_17788,lastFM_48429,,
mbrainz_14691,lastFM_45023,,
mbrainz_4488,lastFM_44686,,
mbrainz_16967,lastFM_26709,,
mbrainz_913,lastFM_81154,,
mbrainz_648,lastFM_20582,,
mbrainz_25443,lastFM_10992,,
mbrainz_10253,lastFM_65814,,
mbrainz_31745,lastFM_81659,,
mbrainz_1655,lastFM_52586,,
mbrainz_5866,lastFM_63333,,
mbrainz_7550,lastFM_25920,,
mbrainz_12095,lastFM_59003,,
mbrainz_20260,lastFM_81594,,
mbrainz_2877,lastFM_5716,False,FP
mbrainz_8788,lastFM_66752,,
mbrainz_1164,lastFM_43528,,
mbrainz_25955,lastFM_16784,,
mbrainz_430,lastFM_528,,
mbrainz_6853,lastFM_57351,,
mbrainz_13053,lastFM_22878,,
mbrainz_11775,lastFM_18811,,
mbrainz_3537,lastFM_9763,,
mbrainz_1721,lastFM_78736,,
mbrainz_2444,lastFM_32760,,
mbrainz_11847,lastFM_74195,,
mbrainz_5256,lastFM_58105,,
mbrainz_5038,lastFM_36995,,
mbrainz_9532,lastFM_55926,,
mbrainz_5127,lastFM_51628,,
mbrainz_6386,lastFM_8857,,
mbrainz_19317,lastFM_58446,,
mbrainz_22348,lastFM_35086,,
mbrainz_6249,lastFM_41504,False,FP
mbrainz_4489,lastFM_23499,,
mbrainz_13212,lastFM_855,,
mbrainz_2674,lastFM_47332,,
mbrainz_25398,lastFM_79417,,
mbrainz_18647,lastFM_69184,,
mbrainz_20354,lastFM_33639,,
mbrainz_875,lastFM_42193,,
mbrainz_1739,lastFM_28176,,
mbrainz_8820,lastFM_7524,,
mbrainz_21004,lastFM_82858,,
mbrainz_3899,lastFM_8096,,
mbrainz_12009,lastFM_23989,,
mbrainz_666,lastFM_29507,,
mbrainz_5792,lastFM_6028,,
mbrainz_20639,lastFM_67410,,
mbrainz_7772,lastFM_33288,,
mbrainz_17658,lastFM_29022,,
mbrainz_3829,lastFM_25991,,
mbrainz_17784,lastFM_8460,,
mbrainz_6246,lastFM_74164,,
mbrainz_16714,lastFM_12468,,
mbrainz_6065,lastFM_75108,,
mbrainz_9706,lastFM_69254,,
mbrainz_10131,lastFM_69557,,
mbrainz_854,lastFM_15470,,
mbrainz_5205,lastFM_23489,,
mbrainz_12797,lastFM_612,,
mbrainz_2397,lastFM_59344,,
mbrainz_23923,lastFM_59344,,
mbrainz_15365,lastFM_53507,,
mbrainz_85,lastFM_64546,False,FP
mbrainz_12746,lastFM_6904,,
mbrainz_24490,lastFM_26594,,
mbrainz_4278,lastFM_6084,,
mbrainz_7088,lastFM_71378,,
mbrainz_21274,lastFM_29442,,
mbrainz_6226,lastFM_15007,False,FP
mbrainz_32460,lastFM_65684,,
mbrainz_22019,lastFM_31732,,
mbrainz_15855,lastFM_30497,,
mbrainz_20209,lastFM_34641,,
mbrainz_691,lastFM_17555,,
mbrainz_4598,lastFM_52309,,
mbrainz_23,lastFM_36713,,
mbrainz_8862,lastFM_80469,,
mbrainz_18327,lastFM_29102,,
mbrainz_23986,lastFM_50372,,
mbrainz_5549,lastFM_78304,,
mbrainz_8305,lastFM_77072,False,FP
mbrainz_5043,lastFM_7996,,
mbrainz_2116,lastFM_15128,,
mbrainz_1873,lastFM_23387,False,FP
mbrainz_6044,lastFM_42536,,
mbrainz_31701,lastFM_48065,,
mbrainz_11264,lastFM_29288,,
mbrainz_31247,lastFM_17881,,
mbrainz_13053,lastFM_51149,,
mbrainz_11333,lastFM_17356,,
mbrainz_33692,lastFM_50931,,
mbrainz_16043,lastFM_78736,,
mbrainz_31492,lastFM_66391,,
mbrainz_16187,lastFM_34751,,
mbrainz_4278,lastFM_31957,,
mbrainz_20773,lastFM_21946,,
mbrainz_5880,lastFM_40329,,
mbrainz_2175,lastFM_11641,,
mbrainz_26536,lastFM_5259,,
mbrainz_4556,lastFM_2978,,
mbrainz_5054,lastFM_56758,False,FP
mbrainz_3855,lastFM_79321,,
mbrainz_5936,lastFM_42817,,
mbrainz_1092,lastFM_57617,,
mbrainz_20175,lastFM_66885,,
mbrainz_5001,lastFM_65306,,
mbrainz_28995,lastFM_4446,,
mbrainz_2620,lastFM_11320,,
mbrainz_3547,lastFM_1481,,
mbrainz_14588,lastFM_53729,,
mbrainz_1070,lastFM_70930,,
mbrainz_60,lastFM_8926,,
mbrainz_10229,lastFM_12207,,
mbrainz_4370,lastFM_41273,,
mbrainz_16736,lastFM_5762,,
mbrainz_8227,lastFM_15037,,
mbrainz_4204,lastFM_11021,,
mbrainz_8053,lastFM_71527,,
mbrainz_1562,lastFM_19965,,
mbrainz_14150,lastFM_69727,,
mbrainz_26756,lastFM_70790,,
mbrainz_32686,lastFM_63213,,
mbrainz_4278,lastFM_68113,,
mbrainz_16280,lastFM_3276,,
mbrainz_12182,lastFM_17042,,
mbrainz_4977,lastFM_64211,False,FP
mbrainz_45,lastFM_35137,,
