entity_id,source,attribute,original_value,new_value,transform_fn,transform_params,knob,level
lastFM_1,lastfm,name,John B -  Fermats Theorem / Sight Beyond,Fermats Theorem / Sight Beyond,cleanup,"{""pattern"": ""^.+?\\s+-\\s+"", ""replacement"": """"}",6,easy
lastFM_4,lastfm,name,Petalpusher -  Surrender,Surrender,cleanup,"{""pattern"": ""^.+?\\s+-\\s+"", ""replacement"": """"}",6,easy
lastFM_24,lastfm,name,P. Johnson -  The Music In Me,The Music In Me,cleanup,"{""pattern"": ""^.+?\\s+-\\s+"", ""replacement"": """"}",6,easy
lastFM_28,lastfm,name,- new - Subtle Frequencies,Subtle Frequencies,cleanup,"{""pattern"": ""^.+?\\s+-\\s+"", ""replacement"": """"}",6,easy
lastFM_34,lastfm,name,SubCode -  Purple Eggs,Purple Eggs,cleanup,"{""pattern"": ""^.+?\\s+-\\s+"", ""replacement"": """"}",6,easy
lastFM_67,lastfm,name,Mikael D. -  Halcyon Days,Halcyon Days,cleanup,"{""pattern"": ""^.+?\\s+-\\s+"", ""replacement"": """"}",6,easy
lastFM_79,lastfm,name,Voodooamt -  Voodoopussy,Voodoopussy,cleanup,"{""pattern"": ""^.+?\\s+-\\s+"", ""replacement"": """"}",6,easy
lastFM_114,lastfm,name,- new - Electronic Illusions,Electronic Illusions,cleanup,"{""pattern"": ""^.+?\\s+-\\s+"", ""replacement"": """"}",6,easy
lastFM_128,lastfm,name,Dan Curtin -  Life In The Savage Garden E.P.,Life In The Savage Garden E.P.,cleanup,"{""pattern"": ""^.+?\\s+-\\s+"", ""replacement"": """"}",6,easy
lastFM_134,lastfm,name,S. Experience -  soul experience,soul experience,cleanup,"{""pattern"": ""^.+?\\s+-\\s+"", ""replacement"": """"}",6,easy
lastFM_140,lastfm,name,S. Stoll -  Mono In Chrome,Mono In Chrome,cleanup,"{""pattern"": ""^.+?\\s+-\\s+"", ""replacement"": """"}",6,easy
lastFM_155,lastfm,name,Dubtribe Sound System -  Mother Earth,Mother Earth,cleanup,"{""pattern"": ""^.+?\\s+-\\s+"", ""replacement"": """"}",6,easy
lastFM_168,lastfm,name,Headroom -  Too Dark Park EP,Too Dark Park EP,cleanup,"{""pattern"": ""^.+?\\s+-\\s+"", ""replacement"": """"}",6,easy
lastFM_176,lastfm,name,Alex Gordon -  Small Craft Warnings Remixes,Small Craft Warnings Remixes,cleanup,"{""pattern"": ""^.+?\\s+-\\s+"", ""replacement"": """"}",6,easy
lastFM_248,lastfm,name,BT -  Mercury and Solace,Mercury and Solace,cleanup,"{""pattern"": ""^.+?\\s+-\\s+"", ""replacement"": """"}",6,easy
lastFM_277,lastfm,name,Benge -  Beautiful Electronic Music,Beautiful Electronic Music,cleanup,"{""pattern"": ""^.+?\\s+-\\s+"", ""replacement"": """"}",6,easy
lastFM_286,lastfm,name,Club Classics Vol. One - 10th Anniversary Edition,10th Anniversary Edition,cleanup,"{""pattern"": ""^.+?\\s+-\\s+"", ""replacement"": """"}",6,easy
