entity_id,source,attribute,original_value,reason,knob,level
discogs_667,discogs,duration,19:55,cell_collision_with_prior_knob,6,easy
discogs_1182,discogs,duration,13:31,cell_collision_with_prior_knob,6,easy
discogs_1431,discogs,duration,68:26,cell_collision_with_prior_knob,6,easy
discogs_1799,discogs,duration,41:30,cell_collision_with_prior_knob,6,easy
discogs_2449,discogs,duration,12:09,cell_collision_with_prior_knob,6,easy
discogs_4590,discogs,duration,36:40,cell_collision_with_prior_knob,6,easy
discogs_7138,discogs,duration,62:38,cell_collision_with_prior_knob,6,easy
discogs_7163,discogs,duration,18:21,cell_collision_with_prior_knob,6,easy
discogs_7506,discogs,duration,45:07,cell_collision_with_prior_knob,6,easy
discogs_7854,discogs,duration,49:01,cell_collision_with_prior_knob,6,easy
discogs_11183,discogs,duration,13:19,cell_collision_with_prior_knob,6,easy
discogs_11751,discogs,duration,76:45,cell_collision_with_prior_knob,6,easy
discogs_12437,discogs,duration,79:56,cell_collision_with_prior_knob,6,easy
discogs_13376,discogs,duration,33:54,cell_collision_with_prior_knob,6,easy
discogs_14826,discogs,duration,60:08,cell_collision_with_prior_knob,6,easy
discogs_17310,discogs,duration,69:13,cell_collision_with_prior_knob,6,easy
discogs_18586,discogs,duration,42:12,cell_collision_with_prior_knob,6,easy
discogs_20879,discogs,duration,36:59,cell_collision_with_prior_knob,6,easy
discogs_21408,discogs,duration,22:40,cell_collision_with_prior_knob,6,easy
discogs_21565,discogs,duration,38:20,cell_collision_with_prior_knob,6,easy
discogs_24235,discogs,duration,18:02,cell_collision_with_prior_knob,6,easy
discogs_24757,discogs,duration,8:15,cell_collision_with_prior_knob,6,easy
discogs_25332,discogs,duration,7:27,cell_collision_with_prior_knob,6,easy
discogs_26693,discogs,duration,44:06,cell_collision_with_prior_knob,6,easy
discogs_27015,discogs,duration,43:22,cell_collision_with_prior_knob,6,easy
discogs_27427,discogs,duration,24:23,cell_collision_with_prior_knob,6,easy
discogs_27780,discogs,duration,38:24,cell_collision_with_prior_knob,6,easy
discogs_28903,discogs,duration,41:37,cell_collision_with_prior_knob,6,easy
discogs_30423,discogs,duration,40:43,cell_collision_with_prior_knob,6,easy
discogs_31330,discogs,duration,7:28,cell_collision_with_prior_knob,6,easy
discogs_31423,discogs,duration,55:00,cell_collision_with_prior_knob,6,easy
discogs_32956,discogs,duration,19:40,cell_collision_with_prior_knob,6,easy
discogs_34172,discogs,duration,49:39,cell_collision_with_prior_knob,6,easy
discogs_36870,discogs,duration,51:33,cell_collision_with_prior_knob,6,easy
discogs_37207,discogs,duration,70:43,cell_collision_with_prior_knob,6,easy
discogs_37402,discogs,duration,12:03,cell_collision_with_prior_knob,6,easy
discogs_38972,discogs,duration,67:09,cell_collision_with_prior_knob,6,easy
discogs_40620,discogs,duration,20:34,cell_collision_with_prior_knob,6,easy
discogs_42529,discogs,duration,14:10,cell_collision_with_prior_knob,6,easy
discogs_44467,discogs,duration,76:27,cell_collision_with_prior_knob,6,easy
discogs_45030,discogs,duration,9:43,cell_collision_with_prior_knob,6,easy
discogs_45320,discogs,duration,20:16,cell_collision_with_prior_knob,6,easy
discogs_45669,discogs,duration,75:44,cell_collision_with_prior_knob,6,easy
discogs_46810,discogs,duration,6:30,cell_collision_with_prior_knob,6,easy
discogs_48428,discogs,duration,21:17,cell_collision_with_prior_knob,6,easy
discogs_49952,discogs,duration,186:16,cell_collision_with_prior_knob,6,easy
discogs_50894,discogs,duration,7:06,cell_collision_with_prior_knob,6,easy
discogs_51388,discogs,duration,4:30,cell_collision_with_prior_knob,6,easy
discogs_55683,discogs,duration,48:34,cell_collision_with_prior_knob,6,easy
discogs_55852,discogs,duration,11:51,cell_collision_with_prior_knob,6,easy
discogs_57681,discogs,duration,76:32,cell_collision_with_prior_knob,6,easy
discogs_59892,discogs,duration,36:48,cell_collision_with_prior_knob,6,easy
discogs_60330,discogs,duration,37:27,cell_collision_with_prior_knob,6,easy
discogs_61410,discogs,duration,54:16,cell_collision_with_prior_knob,6,easy
discogs_62151,discogs,duration,42:00,cell_collision_with_prior_knob,6,easy
discogs_63850,discogs,duration,42:03,cell_collision_with_prior_knob,6,easy
discogs_64479,discogs,duration,6:04,cell_collision_with_prior_knob,6,easy
discogs_66257,discogs,duration,13:26,cell_collision_with_prior_knob,6,easy
discogs_66686,discogs,duration,5:01,cell_collision_with_prior_knob,6,easy
discogs_66928,discogs,duration,71:49,cell_collision_with_prior_knob,6,easy
discogs_69180,discogs,duration,41:41,cell_collision_with_prior_knob,6,easy
discogs_77295,discogs,duration,30:38,cell_collision_with_prior_knob,6,easy
discogs_77634,discogs,duration,75:27,cell_collision_with_prior_knob,6,easy
discogs_78264,discogs,duration,7:30,cell_collision_with_prior_knob,6,easy
discogs_79105,discogs,duration,5:00,cell_collision_with_prior_knob,6,easy
discogs_80799,discogs,duration,38:41,cell_collision_with_prior_knob,6,easy
discogs_82160,discogs,duration,98:59,cell_collision_with_prior_knob,6,easy
discogs_82269,discogs,duration,73:54,cell_collision_with_prior_knob,6,easy
discogs_85805,discogs,duration,62:31,cell_collision_with_prior_knob,6,easy
discogs_86431,discogs,duration,20:59,cell_collision_with_prior_knob,6,easy
discogs_91236,discogs,duration,5:38,cell_collision_with_prior_knob,6,easy
discogs_95868,discogs,duration,34:17,cell_collision_with_prior_knob,6,easy
discogs_96744,discogs,duration,30:02,cell_collision_with_prior_knob,6,easy
discogs_100113,discogs,duration,28:16,cell_collision_with_prior_knob,6,easy
discogs_103939,discogs,duration,56:24,cell_collision_with_prior_knob,6,easy
discogs_106132,discogs,duration,133:04,cell_collision_with_prior_knob,6,easy
discogs_109421,discogs,duration,49:00,cell_collision_with_prior_knob,6,easy
discogs_110397,discogs,duration,72:02,cell_collision_with_prior_knob,6,easy
discogs_110769,discogs,duration,4:07,cell_collision_with_prior_knob,6,easy
discogs_112255,discogs,duration,45:17,cell_collision_with_prior_knob,6,easy
discogs_114357,discogs,duration,55:21,cell_collision_with_prior_knob,6,easy
discogs_118005,discogs,duration,39:52,cell_collision_with_prior_knob,6,easy
discogs_121214,discogs,duration,2:56,cell_collision_with_prior_knob,6,easy
