id1,id2,source_1,source_2,label
mbrainz_1,lastFM_1,musicbrainz,lastfm,true
mbrainz_10066,lastFM_21441,musicbrainz,lastfm,true
mbrainz_10084,lastFM_21486,musicbrainz,lastfm,true
mbrainz_10099,lastFM_21522,musicbrainz,lastfm,true
mbrainz_10145,lastFM_21626,musicbrainz,lastfm,true
mbrainz_10198,lastFM_21756,musicbrainz,lastfm,true
mbrainz_10200,lastFM_21762,musicbrainz,lastfm,true
mbrainz_10222,lastFM_21816,musicbrainz,lastfm,true
mbrainz_10236,lastFM_21838,musicbrainz,lastfm,true
mbrainz_10244,lastFM_21856,musicbrainz,lastfm,true
mbrainz_10253,lastFM_21874,musicbrainz,lastfm,true
mbrainz_10365,lastFM_22118,musicbrainz,lastfm,true
mbrainz_10369,lastFM_22125,musicbrainz,lastfm,true
mbrainz_10382,lastFM_22153,musicbrainz,lastfm,true
mbrainz_10474,lastFM_22351,musicbrainz,lastfm,true
mbrainz_10547,lastFM_22519,musicbrainz,lastfm,true
mbrainz_10593,lastFM_22641,musicbrainz,lastfm,true
mbrainz_10598,lastFM_22657,musicbrainz,lastfm,true
mbrainz_10624,lastFM_22709,musicbrainz,lastfm,true
mbrainz_10669,lastFM_22817,musicbrainz,lastfm,true
mbrainz_10714,lastFM_22918,musicbrainz,lastfm,true
mbrainz_10744,lastFM_22977,musicbrainz,lastfm,true
mbrainz_10773,lastFM_23054,musicbrainz,lastfm,true
mbrainz_1081,lastFM_2494,musicbrainz,lastfm,true
mbrainz_10813,lastFM_23168,musicbrainz,lastfm,true
mbrainz_10819,lastFM_23177,musicbrainz,lastfm,true
mbrainz_10889,lastFM_23319,musicbrainz,lastfm,true
mbrainz_10902,lastFM_23352,musicbrainz,lastfm,true
mbrainz_10905,lastFM_23360,musicbrainz,lastfm,true
mbrainz_10949,lastFM_23458,musicbrainz,lastfm,true
mbrainz_10951,lastFM_23462,musicbrainz,lastfm,true
mbrainz_10953,lastFM_23464,musicbrainz,lastfm,true
mbrainz_10956,lastFM_23471,musicbrainz,lastfm,true
mbrainz_10969,lastFM_23498,musicbrainz,lastfm,true
mbrainz_10983,lastFM_23532,musicbrainz,lastfm,true
mbrainz_1101,lastFM_2540,musicbrainz,lastfm,true
mbrainz_11044,lastFM_23682,musicbrainz,lastfm,true
mbrainz_111,lastFM_146,musicbrainz,lastfm,true
mbrainz_1113,lastFM_2562,musicbrainz,lastfm,true
mbrainz_11148,lastFM_23933,musicbrainz,lastfm,true
mbrainz_11156,lastFM_23945,musicbrainz,lastfm,true
mbrainz_1119,lastFM_2576,musicbrainz,lastfm,true
mbrainz_11263,lastFM_24154,musicbrainz,lastfm,true
mbrainz_11264,lastFM_24155,musicbrainz,lastfm,true
mbrainz_11298,lastFM_24220,musicbrainz,lastfm,true
mbrainz_11333,lastFM_24290,musicbrainz,lastfm,true
mbrainz_11342,lastFM_24328,musicbrainz,lastfm,true
mbrainz_11353,lastFM_24354,musicbrainz,lastfm,true
mbrainz_11359,lastFM_24361,musicbrainz,lastfm,true
mbrainz_11399,lastFM_24445,musicbrainz,lastfm,true
mbrainz_11424,lastFM_24505,musicbrainz,lastfm,true
mbrainz_1145,lastFM_2639,musicbrainz,lastfm,true
mbrainz_11483,lastFM_24609,musicbrainz,lastfm,true
mbrainz_11491,lastFM_20132,musicbrainz,lastfm,true
mbrainz_11543,lastFM_24736,musicbrainz,lastfm,true
mbrainz_11547,lastFM_24748,musicbrainz,lastfm,true
mbrainz_11568,lastFM_24806,musicbrainz,lastfm,true
mbrainz_1158,lastFM_2667,musicbrainz,lastfm,true
mbrainz_11581,lastFM_24832,musicbrainz,lastfm,true
mbrainz_11584,lastFM_24837,musicbrainz,lastfm,true
mbrainz_11594,lastFM_24849,musicbrainz,lastfm,true
mbrainz_1169,lastFM_2704,musicbrainz,lastfm,true
mbrainz_1170,lastFM_2706,musicbrainz,lastfm,true
mbrainz_11728,lastFM_25180,musicbrainz,lastfm,true
mbrainz_11752,lastFM_25239,musicbrainz,lastfm,true
mbrainz_11773,lastFM_25279,musicbrainz,lastfm,true
mbrainz_118,lastFM_154,musicbrainz,lastfm,true
mbrainz_11808,lastFM_25365,musicbrainz,lastfm,true
mbrainz_11825,lastFM_25421,musicbrainz,lastfm,true
mbrainz_119,lastFM_155,musicbrainz,lastfm,true
mbrainz_11928,lastFM_25667,musicbrainz,lastfm,true
mbrainz_11929,lastFM_25668,musicbrainz,lastfm,true
mbrainz_11989,lastFM_25803,musicbrainz,lastfm,true
mbrainz_120,lastFM_156,musicbrainz,lastfm,true
mbrainz_12009,lastFM_25855,musicbrainz,lastfm,true
mbrainz_1203,lastFM_2780,musicbrainz,lastfm,true
mbrainz_12041,lastFM_25937,musicbrainz,lastfm,true
mbrainz_12072,lastFM_25997,musicbrainz,lastfm,true
mbrainz_1209,lastFM_2789,musicbrainz,lastfm,true
mbrainz_12092,lastFM_26050,musicbrainz,lastfm,true
mbrainz_12098,lastFM_26063,musicbrainz,lastfm,true
mbrainz_12166,lastFM_26204,musicbrainz,lastfm,true
mbrainz_12170,lastFM_26213,musicbrainz,lastfm,true
mbrainz_12240,lastFM_26362,musicbrainz,lastfm,true
mbrainz_12303,lastFM_26487,musicbrainz,lastfm,true
mbrainz_12373,lastFM_26651,musicbrainz,lastfm,true
mbrainz_12375,lastFM_26660,musicbrainz,lastfm,true
mbrainz_12389,lastFM_26700,musicbrainz,lastfm,true
mbrainz_1241,lastFM_2866,musicbrainz,lastfm,true
mbrainz_12436,lastFM_26792,musicbrainz,lastfm,true
mbrainz_12446,lastFM_26814,musicbrainz,lastfm,true
mbrainz_12601,lastFM_27153,musicbrainz,lastfm,true
mbrainz_12620,lastFM_27189,musicbrainz,lastfm,true
mbrainz_1267,lastFM_2927,musicbrainz,lastfm,true
mbrainz_1271,lastFM_2946,musicbrainz,lastfm,true
mbrainz_12746,lastFM_27447,musicbrainz,lastfm,true
mbrainz_12763,lastFM_27482,musicbrainz,lastfm,true
