id1,id2,source_1,source_2,label
mbrainz_1,lastFM_1,musicbrainz,lastfm,true
mbrainz_10000,lastFM_21299,musicbrainz,lastfm,true
mbrainz_1001,lastFM_2318,musicbrainz,lastfm,true
mbrainz_10020,lastFM_21338,musicbrainz,lastfm,true
mbrainz_10030,lastFM_21362,musicbrainz,lastfm,true
mbrainz_10066,lastFM_21441,musicbrainz,lastfm,true
mbrainz_10074,lastFM_21454,musicbrainz,lastfm,true
mbrainz_10078,lastFM_21462,musicbrainz,lastfm,true
mbrainz_10080,lastFM_21469,musicbrainz,lastfm,true
mbrainz_10084,lastFM_21486,musicbrainz,lastfm,true
mbrainz_10099,lastFM_21522,musicbrainz,lastfm,true
mbrainz_10108,lastFM_21537,musicbrainz,lastfm,true
mbrainz_10131,lastFM_21596,musicbrainz,lastfm,true
mbrainz_10145,lastFM_21626,musicbrainz,lastfm,true
mbrainz_10183,lastFM_21715,musicbrainz,lastfm,true
mbrainz_10198,lastFM_21756,musicbrainz,lastfm,true
mbrainz_10200,lastFM_21762,musicbrainz,lastfm,true
mbrainz_10203,lastFM_21766,musicbrainz,lastfm,true
mbrainz_10206,lastFM_21777,musicbrainz,lastfm,true
mbrainz_10222,lastFM_21816,musicbrainz,lastfm,true
mbrainz_10230,lastFM_21829,musicbrainz,lastfm,true
mbrainz_10236,lastFM_21838,musicbrainz,lastfm,true
mbrainz_10240,lastFM_21850,musicbrainz,lastfm,true
mbrainz_10244,lastFM_21856,musicbrainz,lastfm,true
mbrainz_10253,lastFM_21874,musicbrainz,lastfm,true
mbrainz_10296,lastFM_21957,musicbrainz,lastfm,true
mbrainz_10351,lastFM_22079,musicbrainz,lastfm,true
mbrainz_10365,lastFM_22118,musicbrainz,lastfm,true
mbrainz_10369,lastFM_22125,musicbrainz,lastfm,true
mbrainz_10374,lastFM_22137,musicbrainz,lastfm,true
mbrainz_10382,lastFM_22153,musicbrainz,lastfm,true
mbrainz_10399,lastFM_22190,musicbrainz,lastfm,true
mbrainz_10402,lastFM_22194,musicbrainz,lastfm,true
mbrainz_10431,lastFM_22253,musicbrainz,lastfm,true
mbrainz_10449,lastFM_22295,musicbrainz,lastfm,true
mbrainz_10470,lastFM_22342,musicbrainz,lastfm,true
mbrainz_10474,lastFM_22351,musicbrainz,lastfm,true
mbrainz_10481,lastFM_22364,musicbrainz,lastfm,true
mbrainz_10482,lastFM_22366,musicbrainz,lastfm,true
mbrainz_1050,lastFM_2433,musicbrainz,lastfm,true
mbrainz_10547,lastFM_22519,musicbrainz,lastfm,true
mbrainz_10579,lastFM_22607,musicbrainz,lastfm,true
mbrainz_10593,lastFM_22641,musicbrainz,lastfm,true
mbrainz_10598,lastFM_22657,musicbrainz,lastfm,true
mbrainz_10613,lastFM_22691,musicbrainz,lastfm,true
mbrainz_10624,lastFM_22709,musicbrainz,lastfm,true
mbrainz_10633,lastFM_22724,musicbrainz,lastfm,true
mbrainz_10669,lastFM_22817,musicbrainz,lastfm,true
mbrainz_10679,lastFM_22843,musicbrainz,lastfm,true
mbrainz_10689,lastFM_22866,musicbrainz,lastfm,true
mbrainz_10692,lastFM_22874,musicbrainz,lastfm,true
mbrainz_10714,lastFM_22918,musicbrainz,lastfm,true
mbrainz_10744,lastFM_22977,musicbrainz,lastfm,true
mbrainz_10773,lastFM_23054,musicbrainz,lastfm,true
mbrainz_10795,lastFM_23112,musicbrainz,lastfm,true
mbrainz_1081,lastFM_2494,musicbrainz,lastfm,true
mbrainz_10813,lastFM_23168,musicbrainz,lastfm,true
mbrainz_10819,lastFM_23177,musicbrainz,lastfm,true
mbrainz_10826,lastFM_23198,musicbrainz,lastfm,true
mbrainz_10839,lastFM_23216,musicbrainz,lastfm,true
mbrainz_10889,lastFM_23319,musicbrainz,lastfm,true
mbrainz_10902,lastFM_23352,musicbrainz,lastfm,true
mbrainz_10904,lastFM_23359,musicbrainz,lastfm,true
mbrainz_10905,lastFM_23360,musicbrainz,lastfm,true
mbrainz_1093,lastFM_2518,musicbrainz,lastfm,true
mbrainz_10949,lastFM_23458,musicbrainz,lastfm,true
mbrainz_10951,lastFM_23462,musicbrainz,lastfm,true
mbrainz_10953,lastFM_23464,musicbrainz,lastfm,true
mbrainz_10956,lastFM_23471,musicbrainz,lastfm,true
mbrainz_10963,lastFM_23489,musicbrainz,lastfm,true
mbrainz_10969,lastFM_23498,musicbrainz,lastfm,true
mbrainz_10983,lastFM_23532,musicbrainz,lastfm,true
mbrainz_1101,lastFM_2540,musicbrainz,lastfm,true
mbrainz_11038,lastFM_23674,musicbrainz,lastfm,true
mbrainz_11044,lastFM_23682,musicbrainz,lastfm,true
mbrainz_11085,lastFM_23767,musicbrainz,lastfm,true
mbrainz_111,lastFM_146,musicbrainz,lastfm,true
mbrainz_11114,lastFM_23837,musicbrainz,lastfm,true
mbrainz_1113,lastFM_2562,musicbrainz,lastfm,true
mbrainz_11145,lastFM_23929,musicbrainz,lastfm,true
mbrainz_11148,lastFM_23933,musicbrainz,lastfm,true
mbrainz_11156,lastFM_23945,musicbrainz,lastfm,true
