entity_id,source,attribute,original_value,new_value,transform_fn,transform_params,knob,level
k02_ent_000528,,,,,remove_entity,"{""prior_cluster_id"": 528, ""cluster_size_before"": 1, ""density_score"": 0.0, ""rrf_component"": 0.0, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 0, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
k02_ent_001513,,,,,remove_entity,"{""prior_cluster_id"": 1513, ""cluster_size_before"": 1, ""density_score"": 0.0, ""rrf_component"": 0.0, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 0, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
k02_ent_001850,,,,,remove_entity,"{""prior_cluster_id"": 1850, ""cluster_size_before"": 1, ""density_score"": 0.024152480721664482, ""rrf_component"": 0.024152480721664482, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 2, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
k02_ent_002556,,,,,remove_entity,"{""prior_cluster_id"": 2556, ""cluster_size_before"": 1, ""density_score"": 0.04224114025844379, ""rrf_component"": 0.04224114025844379, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 3, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
k02_ent_003793,,,,,remove_entity,"{""prior_cluster_id"": 3793, ""cluster_size_before"": 1, ""density_score"": 0.02749266862170088, ""rrf_component"": 0.02749266862170088, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 2, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
k02_ent_004369,,,,,remove_entity,"{""prior_cluster_id"": 4369, ""cluster_size_before"": 1, ""density_score"": 0.0266900790166813, ""rrf_component"": 0.0266900790166813, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 2, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
k02_ent_005486,,,,,remove_entity,"{""prior_cluster_id"": 5486, ""cluster_size_before"": 1, ""density_score"": 0.026132699813337858, ""rrf_component"": 0.026132699813337858, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 2, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
k02_ent_006922,,,,,remove_entity,"{""prior_cluster_id"": 6922, ""cluster_size_before"": 1, ""density_score"": 0.0, ""rrf_component"": 0.0, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 0, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
k02_ent_008015,,,,,remove_entity,"{""prior_cluster_id"": 8015, ""cluster_size_before"": 1, ""density_score"": 0.02478580171358629, ""rrf_component"": 0.02478580171358629, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 2, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
k02_ent_013891,,,,,remove_entity,"{""prior_cluster_id"": 13891, ""cluster_size_before"": 1, ""density_score"": 0.0536048414763594, ""rrf_component"": 0.0536048414763594, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 4, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
k02_ent_015961,,,,,remove_entity,"{""prior_cluster_id"": 15961, ""cluster_size_before"": 1, ""density_score"": 0.0, ""rrf_component"": 0.0, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 0, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
k02_ent_016086,,,,,remove_entity,"{""prior_cluster_id"": 16086, ""cluster_size_before"": 1, ""density_score"": 0.02574682290807064, ""rrf_component"": 0.02574682290807064, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 2, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
k02_ent_017588,,,,,remove_entity,"{""prior_cluster_id"": 17588, ""cluster_size_before"": 1, ""density_score"": 0.053026854096900916, ""rrf_component"": 0.053026854096900916, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 4, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
k02_ent_017977,,,,,remove_entity,"{""prior_cluster_id"": 17977, ""cluster_size_before"": 1, ""density_score"": 0.05278473599369122, ""rrf_component"": 0.05278473599369122, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 4, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
k02_ent_019201,,,,,remove_entity,"{""prior_cluster_id"": 19201, ""cluster_size_before"": 1, ""density_score"": 0.029211087420042643, ""rrf_component"": 0.029211087420042643, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 2, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
k02_ent_019213,,,,,remove_entity,"{""prior_cluster_id"": 19213, ""cluster_size_before"": 1, ""density_score"": 0.05715986311320852, ""rrf_component"": 0.05715986311320852, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 4, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
k02_ent_019949,,,,,remove_entity,"{""prior_cluster_id"": 19949, ""cluster_size_before"": 1, ""density_score"": 0.0, ""rrf_component"": 0.0, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 0, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
k02_ent_020354,,,,,remove_entity,"{""prior_cluster_id"": 20354, ""cluster_size_before"": 1, ""density_score"": 0.05614528218694885, ""rrf_component"": 0.05614528218694885, ""label_collision_component"": 0.0, ""selection_metric"": ""rrf_density"", ""agreement_count_sum"": 4, ""operator_decision"": ""interpolate_paired_drop""}",2,medium
