id1,id2,source_1,source_2,label
dblp-00032,crossref-28815,dblp,crossref,true
dblp-00052,crossref-09150,dblp,crossref,true
dblp-00122,crossref-28844,dblp,crossref,true
dblp-00130,crossref-28796,dblp,crossref,true
dblp-00204,crossref-53274,dblp,crossref,true
dblp-00297,crossref-53289,dblp,crossref,true
dblp-00335,crossref-53315,dblp,crossref,true
dblp-00357,crossref-39789,dblp,crossref,true
dblp-00380,crossref-00915,dblp,crossref,true
dblp-00397,crossref-55682,dblp,crossref,true
dblp-00433,crossref-30001,dblp,crossref,true
dblp-00435,crossref-30030,dblp,crossref,true
dblp-00514,crossref-08505,dblp,crossref,true
dblp-00656,crossref-36835,dblp,crossref,true
dblp-00689,crossref-47306,dblp,crossref,true
dblp-00975,crossref-47301,dblp,crossref,true
dblp-00978,crossref-31384,dblp,crossref,true
dblp-01000,crossref-47459,dblp,crossref,true
dblp-01087,crossref-31321,dblp,crossref,true
dblp-01186,crossref-47248,dblp,crossref,true
dblp-01235,crossref-47255,dblp,crossref,true
dblp-01290,crossref-47501,dblp,crossref,true
dblp-01295,crossref-31386,dblp,crossref,true
dblp-01365,crossref-31377,dblp,crossref,true
dblp-01380,crossref-47470,dblp,crossref,true
dblp-01418,crossref-47265,dblp,crossref,true
dblp-01523,crossref-31373,dblp,crossref,true
dblp-01610,crossref-31577,dblp,crossref,true
dblp-01675,crossref-01456,dblp,crossref,true
dblp-01680,crossref-14774,dblp,crossref,true
dblp-01694,crossref-14822,dblp,crossref,true
dblp-01732,crossref-14805,dblp,crossref,true
dblp-01768,crossref-45650,dblp,crossref,true
dblp-01797,crossref-03036,dblp,crossref,true
dblp-01872,crossref-08737,dblp,crossref,true
dblp-01975,crossref-53477,dblp,crossref,true
dblp-01985,crossref-11890,dblp,crossref,true
dblp-02002,crossref-08715,dblp,crossref,true
dblp-02063,crossref-31209,dblp,crossref,true
dblp-02095,crossref-52790,dblp,crossref,true
dblp-02115,crossref-31188,dblp,crossref,true
dblp-02127,crossref-51446,dblp,crossref,true
dblp-02167,crossref-31232,dblp,crossref,true
dblp-02168,crossref-31215,dblp,crossref,true
dblp-02215,crossref-14967,dblp,crossref,true
dblp-02218,crossref-38791,dblp,crossref,true
dblp-02239,crossref-38782,dblp,crossref,true
dblp-02262,crossref-14964,dblp,crossref,true
dblp-02287,crossref-04743,dblp,crossref,true
dblp-02298,crossref-25478,dblp,crossref,true
dblp-02344,crossref-25435,dblp,crossref,true
dblp-02359,crossref-25486,dblp,crossref,true
dblp-02371,crossref-31833,dblp,crossref,true
dblp-02432,crossref-27234,dblp,crossref,true
dblp-02464,crossref-27174,dblp,crossref,true
dblp-02527,crossref-27271,dblp,crossref,true
dblp-02577,crossref-48360,dblp,crossref,true
dblp-02579,crossref-26774,dblp,crossref,true
dblp-02608,crossref-26876,dblp,crossref,true
dblp-02640,crossref-05336,dblp,crossref,true
dblp-02658,crossref-26837,dblp,crossref,true
dblp-02667,crossref-27270,dblp,crossref,true
dblp-02691,crossref-27194,dblp,crossref,true
dblp-02714,crossref-05112,dblp,crossref,true
dblp-02752,crossref-05337,dblp,crossref,true
dblp-02761,crossref-05223,dblp,crossref,true
dblp-02797,crossref-27135,dblp,crossref,true
dblp-02845,crossref-26767,dblp,crossref,true
dblp-02935,crossref-05364,dblp,crossref,true
dblp-02950,crossref-27063,dblp,crossref,true
dblp-02954,crossref-05352,dblp,crossref,true
dblp-02971,crossref-05152,dblp,crossref,true
dblp-03049,crossref-05218,dblp,crossref,true
dblp-03067,crossref-27134,dblp,crossref,true
dblp-03074,crossref-05120,dblp,crossref,true
dblp-03096,crossref-05306,dblp,crossref,true
dblp-03122,crossref-48269,dblp,crossref,true
dblp-03125,crossref-05401,dblp,crossref,true
dblp-03139,crossref-05426,dblp,crossref,true
dblp-03142,crossref-05365,dblp,crossref,true
dblp-03166,crossref-48304,dblp,crossref,true
dblp-03177,crossref-05096,dblp,crossref,true
dblp-03186,crossref-05488,dblp,crossref,true
dblp-03246,crossref-05411,dblp,crossref,true
dblp-03256,crossref-26749,dblp,crossref,true
dblp-03305,crossref-27129,dblp,crossref,true
dblp-03349,crossref-05093,dblp,crossref,true
dblp-03413,crossref-05099,dblp,crossref,true
dblp-03502,crossref-26858,dblp,crossref,true
dblp-03540,crossref-48338,dblp,crossref,true
dblp-03703,crossref-48207,dblp,crossref,true
dblp-03721,crossref-26893,dblp,crossref,true
dblp-03725,crossref-48337,dblp,crossref,true
dblp-03761,crossref-21458,dblp,crossref,true
dblp-03844,crossref-27776,dblp,crossref,true
dblp-03862,crossref-08890,dblp,crossref,true
dblp-03875,crossref-07014,dblp,crossref,true
dblp-04094,crossref-57572,dblp,crossref,true
dblp-04148,crossref-45517,dblp,crossref,true
dblp-04227,crossref-23844,dblp,crossref,true
dblp-04287,crossref-20053,dblp,crossref,true
dblp-04443,crossref-38020,dblp,crossref,true
dblp-04457,crossref-37983,dblp,crossref,true
dblp-04500,crossref-07602,dblp,crossref,true
dblp-04501,crossref-38095,dblp,crossref,true
dblp-04508,crossref-37979,dblp,crossref,true
dblp-04514,crossref-38018,dblp,crossref,true
dblp-04605,crossref-38577,dblp,crossref,true
dblp-04738,crossref-30019,dblp,crossref,true
dblp-05001,crossref-13145,dblp,crossref,true
dblp-05034,crossref-10632,dblp,crossref,true
dblp-05047,crossref-31068,dblp,crossref,true
dblp-05195,crossref-24112,dblp,crossref,true
dblp-05201,crossref-03462,dblp,crossref,true
dblp-05228,crossref-24150,dblp,crossref,true
dblp-05367,crossref-45887,dblp,crossref,true
dblp-05394,crossref-19432,dblp,crossref,true
dblp-05396,crossref-00602,dblp,crossref,true
dblp-05505,crossref-21117,dblp,crossref,true
dblp-05547,crossref-08574,dblp,crossref,true
dblp-05548,crossref-29067,dblp,crossref,true
dblp-05567,crossref-04672,dblp,crossref,true
dblp-05634,crossref-36590,dblp,crossref,true
dblp-05689,crossref-15617,dblp,crossref,true
dblp-05707,crossref-13622,dblp,crossref,true
dblp-05747,crossref-29934,dblp,crossref,true
dblp-05756,crossref-29915,dblp,crossref,true
dblp-05764,crossref-29901,dblp,crossref,true
dblp-05803,crossref-50063,dblp,crossref,true
dblp-05848,crossref-29889,dblp,crossref,true
dblp-05866,crossref-50032,dblp,crossref,true
dblp-05868,crossref-50011,dblp,crossref,true
dblp-05900,crossref-07404,dblp,crossref,true
dblp-05970,crossref-15703,dblp,crossref,true
dblp-05982,crossref-00194,dblp,crossref,true
dblp-06071,crossref-02876,dblp,crossref,true
dblp-06165,crossref-37424,dblp,crossref,true
dblp-06214,crossref-46011,dblp,crossref,true
dblp-06257,crossref-30884,dblp,crossref,true
dblp-06267,crossref-09015,dblp,crossref,true
dblp-06326,crossref-28154,dblp,crossref,true
dblp-06331,crossref-34641,dblp,crossref,true
dblp-06343,crossref-36994,dblp,crossref,true
dblp-06399,crossref-40014,dblp,crossref,true
dblp-06400,crossref-40029,dblp,crossref,true
dblp-06438,crossref-23893,dblp,crossref,true
dblp-06455,crossref-02334,dblp,crossref,true
