entity_id,source,attribute,original_value,attempted_format,reason,knob,level
crossref-00000,crossref,cited_by_count,18.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00001,crossref,cited_by_count,14.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00002,crossref,cited_by_count,10.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00003,crossref,cited_by_count,1.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00004,crossref,cited_by_count,10.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00005,crossref,cited_by_count,9.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00006,crossref,cited_by_count,10.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00007,crossref,cited_by_count,7.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00008,crossref,cited_by_count,16.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00009,crossref,cited_by_count,26.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00010,crossref,cited_by_count,9.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00011,crossref,cited_by_count,15.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00012,crossref,cited_by_count,17.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00013,crossref,cited_by_count,170.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00014,crossref,cited_by_count,29.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00015,crossref,cited_by_count,52.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00016,crossref,cited_by_count,12.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00017,crossref,cited_by_count,49.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00018,crossref,cited_by_count,9.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00019,crossref,cited_by_count,15.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00020,crossref,cited_by_count,7.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00021,crossref,cited_by_count,25.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00022,crossref,cited_by_count,8.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00023,crossref,cited_by_count,35.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00024,crossref,cited_by_count,14.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00025,crossref,cited_by_count,12.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00026,crossref,cited_by_count,31.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00027,crossref,cited_by_count,261.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00028,crossref,cited_by_count,32.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00029,crossref,cited_by_count,12.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00030,crossref,cited_by_count,278.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00031,crossref,cited_by_count,13.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00032,crossref,cited_by_count,57.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00033,crossref,cited_by_count,70.0,locale:de_DE,roundtrip_parse_fail,5,medium
crossref-00034,crossref,cited_by_count,64.0,locale:de_DE,roundtrip_parse_fail,5,medium
