source,entity_id,compromised,knob,level
crossref,dblp-05129,True,10,medium
crossref,dblp-06425,True,10,medium
crossref,dblp-09974,True,10,medium
crossref,dblp-22672,True,10,medium
crossref,dblp-43926,True,10,medium
crossref,dblp-44767,True,10,medium
crossref,dblp-46459,True,10,medium
crossref,dblp-50958,True,10,medium
crossref,dblp-52701,True,10,medium
crossref,dblp-54071,True,10,medium
dblp,dblp-10456,True,10,medium
dblp,dblp-14817,True,10,medium
dblp,dblp-20078,True,10,medium
dblp,dblp-26314,True,10,medium
dblp,dblp-29270,True,10,medium
dblp,dblp-35655,True,10,medium
dblp,dblp-35823,True,10,medium
dblp,dblp-39564,True,10,medium
dblp,dblp-43755,True,10,medium
dblp,dblp-44426,True,10,medium
open_alex,dblp-00000,True,10,medium
open_alex,dblp-00463,True,10,medium
open_alex,dblp-20317,True,10,medium
open_alex,dblp-28192,True,10,medium
open_alex,dblp-29975,True,10,medium
open_alex,dblp-45818,True,10,medium
open_alex,dblp-51063,True,10,medium
open_alex,dblp-51573,True,10,medium
open_alex,dblp-54263,True,10,medium
open_alex,dblp-55197,True,10,medium
