cluster_size,frequency,percentage
2,13,23.636363636363637
3,4,7.2727272727272725
4,5,9.090909090909092
5,1,1.8181818181818181
6,3,5.454545454545454
7,1,1.8181818181818181
8,3,5.454545454545454
10,1,1.8181818181818181
12,2,3.6363636363636362
14,2,3.6363636363636362
17,1,1.8181818181818181
20,2,3.6363636363636362
29,1,1.8181818181818181
33,1,1.8181818181818181
34,1,1.8181818181818181
40,1,1.8181818181818181
42,1,1.8181818181818181
43,1,1.8181818181818181
44,1,1.8181818181818181
47,1,1.8181818181818181
50,1,1.8181818181818181
61,1,1.8181818181818181
67,1,1.8181818181818181
94,1,1.8181818181818181
111,1,1.8181818181818181
126,1,1.8181818181818181
133,1,1.8181818181818181
143,1,1.8181818181818181
198,1,1.8181818181818181
