source_dataset,source_column,target_dataset,target_column,score
products_1,id,products,id,1.0
products_1,brand,products,brand,1.0
products_1,title,products,title,1.0
products_1,description,products,description,1.0
products_1,price,products,price,1.0
products_1,priceCurrency,products,priceCurrency,1.0
products_1,cluster_id,products,cluster_id,1.0
products_1,product_url,products,url,1.0
products_1,title_description,products,title_description,1.0
products_1,model,products,model,1.0
products_1,model_number,products,model_number,1.0
products_1,product_type,products,product_type,1.0
products_1,chipset_name,products,chipset_name,1.0
products_1,vram_gb,products,vram_gb,1.0
products_1,storage_gb,products,storage_gb,1.0
products_1,read_speed_mb_s,products,read_speed_mb_s,1.0
products_1,write_speed_mb_s,products,write_speed_mb_s,1.0
products_1,bus_type,products,bus_type,1.0
products_1,interface_type,products,interface_type,1.0
products_1,width_mm,products,width_mm,1.0
products_1,length_mm,products,length_mm,1.0
products_1,height_mm,products,height_mm,1.0
products_1,weight_g,products,weight_g,1.0
products_1,storage_connection_type,products,storage_connection_type,1.0
products_1,memory_type,products,memory_type,1.0
products_1,color,products,color,1.0
products_1,form_factor,products,form_factor,1.0
products_2,id,products,id,1.0
products_2,brand,products,brand,1.0
products_2,title,products,title,1.0
products_2,description,products,description,1.0
products_2,price,products,price,1.0
products_2,priceCurrency,products,priceCurrency,1.0
products_2,cluster_id,products,cluster_id,1.0
products_2,productUrl,products,url,1.0
products_2,title_description,products,title_description,1.0
products_2,model,products,model,1.0
products_2,model_number,products,model_number,1.0
products_2,product_type,products,product_type,1.0
products_2,chipset_name,products,chipset_name,1.0
products_2,vram_gb,products,vram_gb,1.0
products_2,storage_gb,products,storage_gb,1.0
products_2,read_speed_mb_s,products,read_speed_mb_s,1.0
products_2,write_speed_mb_s,products,write_speed_mb_s,1.0
products_2,bus_type,products,bus_type,1.0
products_2,interface_type,products,interface_type,1.0
products_2,width_mm,products,width_mm,1.0
products_2,length_mm,products,length_mm,1.0
products_2,height_mm,products,height_mm,1.0
products_2,weight_g,products,weight_g,1.0
products_2,storage_connection_type,products,storage_connection_type,1.0
products_2,memory_type,products,memory_type,1.0
products_2,color,products,color,1.0
products_2,form_factor,products,form_factor,1.0
products_3,id,products,id,1.0
products_3,brand,products,brand,1.0
products_3,title,products,title,1.0
products_3,description,products,description,1.0
products_3,price,products,price,1.0
products_3,priceCurrency,products,priceCurrency,1.0
products_3,cluster_id,products,cluster_id,1.0
products_3,Link,products,url,1.0
products_3,title_description,products,title_description,1.0
products_3,model,products,model,1.0
products_3,model_number,products,model_number,1.0
products_3,product_type,products,product_type,1.0
products_3,chipset_name,products,chipset_name,1.0
products_3,vram_gb,products,vram_gb,1.0
products_3,storage_gb,products,storage_gb,1.0
products_3,read_speed_mb_s,products,read_speed_mb_s,1.0
products_3,write_speed_mb_s,products,write_speed_mb_s,1.0
products_3,bus_type,products,bus_type,1.0
products_3,interface_type,products,interface_type,1.0
products_3,width_mm,products,width_mm,1.0
products_3,length_mm,products,length_mm,1.0
products_3,height_mm,products,height_mm,1.0
products_3,weight_g,products,weight_g,1.0
products_3,storage_connection_type,products,storage_connection_type,1.0
products_3,memory_type,products,memory_type,1.0
products_3,color,products,color,1.0
products_3,form_factor,products,form_factor,1.0
products_4,id,products,id,1.0
products_4,brand,products,brand,1.0
products_4,title,products,title,1.0
products_4,description,products,description,1.0
products_4,price,products,price,1.0
products_4,priceCurrency,products,priceCurrency,1.0
products_4,cluster_id,products,cluster_id,1.0
products_4,link,products,url,1.0
products_4,title_description,products,title_description,1.0
products_4,model,products,model,1.0
products_4,model_number,products,model_number,1.0
products_4,product_type,products,product_type,1.0
products_4,chipset_name,products,chipset_name,1.0
products_4,vram_gb,products,vram_gb,1.0
products_4,storage_gb,products,storage_gb,1.0
products_4,read_speed_mb_s,products,read_speed_mb_s,1.0
products_4,write_speed_mb_s,products,write_speed_mb_s,1.0
products_4,bus_type,products,bus_type,1.0
products_4,interface_type,products,interface_type,1.0
products_4,width_mm,products,width_mm,1.0
products_4,length_mm,products,length_mm,1.0
products_4,height_mm,products,height_mm,1.0
products_4,weight_g,products,weight_g,1.0
products_4,storage_connection_type,products,storage_connection_type,1.0
products_4,memory_type,products,memory_type,1.0
products_4,color,products,color,1.0
products_4,form_factor,products,form_factor,1.0
