entity_id,source,attribute,original_value,new_value,transform_fn,transform_params,knob,level
products_1_73060691,products_1,bus_standard,USB 3.0,USB 30,whitespace_corrupt,"{""sub_op"": ""punct_collapse"", ""position"": 5, ""removed"": "".""}",6,easy
products_1_13163468,products_1,bus_standard,USB 3.0,USb 3.0,case_corrupt,"{""position"": 2, ""original"": ""B"", ""replacement"": ""b""}",6,easy
products_1_67904610,products_1,bus_standard,SATA,SATa,case_corrupt,"{""position"": 3, ""original"": ""A"", ""replacement"": ""a""}",6,easy
products_1_10827123,products_1,colour,Black,Bl ack,whitespace_corrupt,"{""sub_op"": ""space_insert"", ""position"": 2}",6,easy
products_1_2475398,products_1,connector,M.2,M2,whitespace_corrupt,"{""sub_op"": ""punct_collapse"", ""position"": 1, ""removed"": "".""}",6,easy
products_1_41160430,products_1,connector,M.2,m.2,case_corrupt,"{""position"": 0, ""original"": ""M"", ""replacement"": ""m""}",6,easy
products_1_20960713,products_1,currency_code,USD,US D,whitespace_corrupt,"{""sub_op"": ""space_insert"", ""position"": 2}",6,easy
products_1_18452876,products_1,currency_code,NZD,NZ D,whitespace_corrupt,"{""sub_op"": ""space_insert"", ""position"": 2}",6,easy
products_1_48259418,products_1,currency_code,EUR,EuR,case_corrupt,"{""position"": 1, ""original"": ""U"", ""replacement"": ""u""}",6,easy
products_1_70026799,products_1,currency_code,USD,U SD,whitespace_corrupt,"{""sub_op"": ""space_insert"", ""position"": 1}",6,easy
k02_noncorner_products_00055__products_1,products_1,currency_code,USD,US D,whitespace_corrupt,"{""sub_op"": ""space_insert"", ""position"": 2}",6,easy
k02_noncorner_products_00075__products_1,products_1,currency_code,USD,UsD,case_corrupt,"{""position"": 1, ""original"": ""S"", ""replacement"": ""s""}",6,easy
k02_noncorner_products_00114__products_1,products_1,currency_code,USD,US D,whitespace_corrupt,"{""sub_op"": ""space_insert"", ""position"": 2}",6,easy
k02_noncorner_products_00264__products_1,products_1,currency_code,USD,US D,whitespace_corrupt,"{""sub_op"": ""space_insert"", ""position"": 2}",6,easy
k02_noncorner_products_00273__products_1,products_1,currency_code,USD,USd,case_corrupt,"{""position"": 2, ""original"": ""D"", ""replacement"": ""d""}",6,easy
k02_noncorner_products_00367__products_1,products_1,currency_code,USD,uSD,case_corrupt,"{""position"": 0, ""original"": ""U"", ""replacement"": ""u""}",6,easy
products_1_47203114,products_1,form_factor,3.5-inch,3.5-in ch,whitespace_corrupt,"{""sub_op"": ""space_insert"", ""position"": 6}",6,easy
products_1_7179251,products_1,gpu_chipset,GeForce GTX 1660,GEForce GTX 1660,case_corrupt,"{""position"": 1, ""original"": ""e"", ""replacement"": ""E""}",6,easy
k02_noncorner_products_00002__products_1,products_1,gpu_chipset,IPS color-calibrated panel,IPS colorcalibrated panel,whitespace_corrupt,"{""sub_op"": ""punct_collapse"", ""position"": 9, ""removed"": ""-""}",6,easy
k02_noncorner_products_00103__products_1,products_1,gpu_chipset,EcoFlow CleanCore,EcoFlow CleanCorE,case_corrupt,"{""position"": 16, ""original"": ""e"", ""replacement"": ""E""}",6,easy
products_1_53672855,products_1,interface,SATA III,SATA IIi,case_corrupt,"{""position"": 7, ""original"": ""I"", ""replacement"": ""i""}",6,easy
