source_dataset,source_column,target_dataset,target_column,score
products_1,id,products,id,1.0
products_1,brnd,products,brand,1.0
products_1,prd_ttl,products,title,1.0
products_1,desc,products,description,1.0
products_1,prc,products,price,1.0
products_1,cur,products,priceCurrency,1.0
products_1,cluster_id,products,cluster_id,1.0
products_1,product_url,products,url,1.0
products_1,t_desc,products,title_description,1.0
products_1,mdl,products,model,1.0
products_1,mdl_no,products,model_number,1.0
products_1,prd_typ,products,product_type,1.0
products_1,chip,products,chipset_name,1.0
products_1,vram,products,vram_gb,1.0
products_1,stor,products,storage_gb,1.0
products_1,rd_speed_mbs,products,read_speed_mb_s,1.0
products_1,wr_speed_mbs,products,write_speed_mb_s,1.0
products_1,bus_t,products,bus_type,1.0
products_1,iface_t,products,interface_type,1.0
products_1,w_mm,products,width_mm,1.0
products_1,l_mm,products,length_mm,1.0
products_1,h_mm,products,height_mm,1.0
products_1,wt_g,products,weight_g,1.0
products_1,stor_conn,products,storage_connection_type,1.0
products_1,mem_t,products,memory_type,1.0
products_1,clr,products,color,1.0
products_1,form_f,products,form_factor,1.0
products_2,id,products,id,1.0
products_2,br,products,brand,1.0
products_2,t,products,title,1.0
products_2,dsc,products,description,1.0
products_2,amt,products,price,1.0
products_2,ccy,products,priceCurrency,1.0
products_2,cluster_id,products,cluster_id,1.0
products_2,productUrl,products,url,1.0
products_2,tdsc,products,title_description,1.0
products_2,m,products,model,1.0
products_2,mno,products,model_number,1.0
products_2,ptyp,products,product_type,1.0
products_2,cn,products,chipset_name,1.0
products_2,vrm,products,vram_gb,1.0
products_2,stg,products,storage_gb,1.0
products_2,rs,products,read_speed_mb_s,1.0
products_2,ws,products,write_speed_mb_s,1.0
products_2,bt,products,bus_type,1.0
products_2,it,products,interface_type,1.0
products_2,wd,products,width_mm,1.0
products_2,ln,products,length_mm,1.0
products_2,ht,products,height_mm,1.0
products_2,wt,products,weight_g,1.0
products_2,sc,products,storage_connection_type,1.0
products_2,mt,products,memory_type,1.0
products_2,col,products,color,1.0
products_2,ff,products,form_factor,1.0
products_3,id,products,id,1.0
products_3,Attribute_3,products,brand,1.0
products_3,Attribute_2,products,title,1.0
products_3,Attribute_4,products,description,1.0
products_3,Attribute_5,products,price,1.0
products_3,Attribute_6,products,priceCurrency,1.0
products_3,cluster_id,products,cluster_id,1.0
products_3,Link,products,url,1.0
products_3,Attribute_7,products,title_description,1.0
products_3,Attribute_9,products,model,1.0
products_3,Attribute_10,products,model_number,1.0
products_3,Attribute_8,products,product_type,1.0
products_3,Attribute_11,products,chipset_name,1.0
products_3,Attribute_12,products,vram_gb,1.0
products_3,Attribute_13,products,storage_gb,1.0
products_3,Attribute_19,products,read_speed_mb_s,1.0
products_3,Attribute_20,products,write_speed_mb_s,1.0
products_3,Attribute_14,products,bus_type,1.0
products_3,Attribute_15,products,interface_type,1.0
products_3,Attribute_22,products,width_mm,1.0
products_3,Attribute_23,products,length_mm,1.0
products_3,Attribute_24,products,height_mm,1.0
products_3,Attribute_25,products,weight_g,1.0
products_3,Attribute_17,products,storage_connection_type,1.0
products_3,Attribute_16,products,memory_type,1.0
products_3,Attribute_21,products,color,1.0
products_3,Attribute_18,products,form_factor,1.0
products_4,id,products,id,1.0
products_4,br,products,brand,1.0
products_4,t,products,title,1.0
products_4,dsc,products,description,1.0
products_4,amt,products,price,1.0
products_4,ccy,products,priceCurrency,1.0
products_4,cluster_id,products,cluster_id,1.0
products_4,link,products,url,1.0
products_4,tdsc,products,title_description,1.0
products_4,m,products,model,1.0
products_4,mno,products,model_number,1.0
products_4,ptyp,products,product_type,1.0
products_4,cn,products,chipset_name,1.0
products_4,vrm,products,vram_gb,1.0
products_4,stg,products,storage_gb,1.0
products_4,rs,products,read_speed_mb_s,1.0
products_4,ws,products,write_speed_mb_s,1.0
products_4,bt,products,bus_type,1.0
products_4,it,products,interface_type,1.0
products_4,wd,products,width_mm,1.0
products_4,ln,products,length_mm,1.0
products_4,ht,products,height_mm,1.0
products_4,wt,products,weight_g,1.0
products_4,sc,products,storage_connection_type,1.0
products_4,mt,products,memory_type,1.0
products_4,col,products,color,1.0
products_4,ff,products,form_factor,1.0
