id,brnd,prd_ttl,desc,prc,cur,cluster_id,link,t_desc,mdl,mdl_no,prd_typ,chip,vram,stor,rd_speed_mbs,wr_speed_mbs,bus_t,iface_t,w_mm,l_mm,h_mm,wt_g,stor_conn,mem_t,clr,form_f
products_4_66956099,Gigabyte,Gigabyte Video Card GV-N3080GAMING OC-10GD GeForce RTX 3080 GAMING OC 10GB GDDR6X Retail,Gigabyte Video Card GV-N3080GAMING OC-10GD GeForce RTX 3080 GAMING OC 10GB GDDR6X Retail,791.99,USD,1002037,https://www.thekeykey.com/detail/GV-N3080GAMING-OC-10GD/?name=247479,Gigabyte Video Card GV-N3080GAMING OC-10GD GeForce RTX 3080 GAMING OC 10GB GDDR6X Retail. Description: Gigabyte Video Card GV-N3080GAMING OC-10GD GeForce RTX 3080 GAMING OC 10GB GDDR6X Retail,GeForce RTX 3080 GAMING OC,GV-N3080GAMING OC-10GD,GPU,,,,,,,,,,,,,,,
products_4_5078198,,"Western Digital HDD Blue 6TB 3,5\"" 256MB SATAIII/5400rpm","Dysk BLUE 6TB 3,5 SATAIII/5400rpm",,,1004942,https://www.alsen.pl/podzespoly-komputerowe/dyski-twarde-hdd-ssd/dyski-wewnetrzne/western-digital-dysk-blue-6tb-3-5-256mb-sataiii-5400rpm,"Western Digital HDD Blue 6TB 3,5\"" 256MB SATAIII/5400rpm. Description: Dysk BLUE 6TB 3,5 256MB SATAIII/5400rpm",Blue,,HDD,,,5587.94 GiB,,,,SATA III,,,,,,,,3.5-inch
products_4_77571226,Corsair,Corsair MP510 M.2-2280 960GB,Massive 960GB storage capacity with super-fast 3480Mbps read speed and 3000Mbps write speed.,,,1007272,https://www.cclonline.com/product/287495/CSSD-F960GBMP510/Solid-State-Drives-SSDs-/Corsair-Force-MP510-960GB-M-2-Solid-State-Drive-Internal-/SSD1023,Corsair MP510 M.2-2280 960GB. Description: Huge 960GB storage capacity and super Rapid 3480Mbps read speed and amazingly Rapid 3000Mbps write speed.,MP510,,SSD,,,960.0,"3,480.0 MB/s",3000.0,,,,,,,M.2,,,M.2 2280
products_4_50792597,Gigabyte,Gigabyte GeForce GTX 1660 SUPER OC 6GB Graphics Card,"GTX 1660 SUPER, 6GB GDDR6, Boost Clock 1860MHz, Dual Fan Cooling",214.98,,1028734,https://www.ebuyer.com/915241-gigabyte-geforce-gtx-1660-super-oc-6gb-graphics-card-gv-n166soc-6gd,"Gigabytw GeForce GTX 1660 SUPER OC 6GB Graphics Card. Description: GTX 1660 SUPER, 6GB GDDR6, Boost Clock 1860MHz, Dual Fan Cooling",GeForce GTX 1660 SUPER OC,,GPU,GeForce GTX 1660 Super,6.0,,,,,,,,,,,,,
products_4_86949980,,MSI GeForce GTX 1660 Ti GAMING X 6G PCI Express x16 3.0 6GB GDDR6 192-bit | 912-V375-040,Twin Frozr 7 Thermal DesignRGB Mystic LightDragon Center,1400.3,AED,1029916,https://pcdubai.com/product/msi-geforce-gtx-1660-ti-gaming-x-6g-pci-express-x16-3-0-6gb-gddr6-192-bit-912-v375-040,MSI GeForce GTX 1660 Ti GAMING X 6G PCI Express x16 3.0 6GB GDDR6 192-bit | 912-V375-040. Description: Twin Frozr 7 Thermal DesignRGB Mystic LightDragon Center,GeForce 6G 1660 Ti GAMING X GTX,912-V375-040,,GeForce GTX 1660 Ti,,,,,PCI Express x16,,,,,,,GDDR6,,
products_4_27951279,Asus,ASUS ROG -STRIX-RTX2080S-A8G-GAMING GeForce RTX 2080 SUPER 8 GB GDDR6,"ASUS ROG ROG-STRIX-RTX2080S-A8G-GAMING, GeForce RTX 2080 SUPER, 8 GB, GDDR6, 256 bit, 7680 x 4320 Pixel, PCI Express 3.0",1046.75,EUR,1036963,https://www.computerunion.it/geforce/43703-asus-rog-strix-rtx2080s-a8g-gaming-geforce-rtx-2080-super-8-gb-gddr6-4718017434959.html,"ASUS ROG -STRIX-RTX2080S-A8G-GAMING GeForce RTX 2080 SUPER 8 GB GDDR6. Description: ASUS ROG ROG-STRIX-RTX2080S-A8G-GAMING, GeForce RTX 2080 SUPER, 8 GB, GDDR6, 256 bit, 7680 x 4320 Pixel, PCI Express 3.0",ROG-STRIX-RTX2080S-A8G-GAMING,,GPU,,,,,,PCI Express x16,,,,,,,,,
products_4_66417148,Asus,"Asus Strix Rtx 2060S Oc Evo - 8GB, 2Xfan, 2Xhdmi, 2Xd","Asus Strix Rtx 2060S Oc Evo - 8GB, 2Xfan, 2Xhdmi, 2Xd",584.02,ZAR,1038355,https://sbsdomain.com/asus-strix-rtx-2060s-oc-evo-8gb-2xfan-2xhdmi-2xd,"Asus Strix Rtx 2060S Oc Evo - 8GB, 2Xfan, 2Xhdmi, 2Xd. Description: Asus Strix Rtx 2060S Oc Evo - 8GB, 2Xfan, 2Xhdmi, 2Xd",Strix Rtx 2060S Oc Evo,,GPU,,,,,,,,,,,,,,,
products_4_59371044,GB,Gigabyte Radeon RX 5600 XT GAMING OC 6GB Graphics Card,"RX 5600 XT, 6GB GDDR6, 1620 MHz Boost Clock, Triple Fan Cooling",279.99,,1048970,https://www.ebuyer.com/957897-gigabyte-radeon-rx-5600-xt-gaming-oc-6gb-graphics-card-gv-r56xtgaming-oc-6gd,"Gigabyte Radeon RX 5600 XT GAMING OC 6GB Graphics Card. Description: RX 5600 XT, 6GB GDDR6, 1620 MHz Boost Clock, Triple Fan Cooling",,,GPU,,,,,,,,,,,,,,,
products_4_96620640,,AMD Radeon Pro WX 4100 4GB Workstation Video Card,"AMD Radeon Pro WX 4100 4GB Workstation Video Card - 4GB GDDR5 128 bit - Peak Engine Clock: 1201MHz, Typical Engine Clock: 1125MHz - 4x Mini DisplayPort 1.4 - PCIe 3.0 x8 - 1x 5K Monitor Support (single or dual cable) - DirectX 12 - 100-506008 - 3 Years Limited Warranty",569.0,AUD,1050421,https://www.auspcmarket.com.au/video-cards/workstation-video-cards/amd-radeon-pro-wx-4100-4gb-workstation-video-card,"AMD Radeon Pro WX 4100 4GB Workstation Video Card. Description: AMD Radeon Pro WX 4100 4GB Workstation Video Card - 4GB GDDR5 128 bit - Peak Engine Clock: 1201MHz, Typical Engine Clock: 1125MHz - 4x Mini DisplayPort 1.4 - PCIe 3.0 x8 - 1x 5K Monitor Support (single or dual cable) - DirectX 12 - 100-506008 - 3 Years Limited Warranty",<Radeon Pro WX 4100>,,gPU,,,,,,PCI Express x8,,,,,,,,,
products_4_5531813,,"Samsung EVO 860 4TB Serie SSD 2,5 SATA-600 7mm- MZ-76E4T0B","★★★★★ good prices, Fast delivery! If you order before 14.00 your goods will be sent the same everyday - Gulf Micro Systems Call us +971 4 3586629",2569.0,AED,1057972,https://www.gulfmicro.ae/samsung-evo-860-4tb-serie-ssd-2-5-sata-600-7mm-mz-76e4t0b-mz-76e4t0b-eu,"Samsung EVO 860 4TB Serie SSD 2,5 SATA-600 7mm- MZ-76E4T0B. Description: ★★★★★ good prices, Fast delivery! If you order before 14.00 your goods will be sent the same everyday - Gulf Micro Systems Call us +971 4 3586629",EVO 860,,SSD,,,3725.29 GiB,,,,,,,7.0,,"2,5",,,2.5-Inch
products_4_49228214,,"Patriot SSD 240GB 2.5\"" SATA3","SSD disk interni, Patriof Burst 120GB",5999.0,RSD,1068495,https://www.symbolin.com/kupi/ssd-2-5-sata3-6gb-s-240gb-patriot-burst-555mbs-500mbs-pbu240gs25ssdr-3599,"SSD 2.5 SATA3 6Gb/s 240GB Patriot Burst 555MBs/500MBs PBU240GS25SSDR. Description: SSD disk interni, Patriot Burst 120GB",,PBU240GS25SSDR,SSD,,,223.52 GiB,,,SATA,SATA III,,,,,,,,2.5-inch
products_4_92002824,Samsung,Samsung 970 EVO SSD M.2 2280 - 1TB,"SSD (Solid state drive), 1 TB, intern, Datenübertragungsrate:3400 MBps (lesen) / 2500 MBps (schreiben), IOPS: 500000 (lesen) / 450000 (schreiben), 1GB LPDDR4 cache, M.2 2280 (80mm), M.2 2280 (80mm), PCI-Express 3.0 x4 NVMe 1.2 (Non-Volatile Memory Express), 256-bit AES kryptering, TCG Opal Encryption - Samsung Phoenix Controller",129.99,EUR,106914,https://www.proshop.de/SSD/Samsung-970-EVO-SSD-M2-2280-1TB/2655438,"Samsung 970 EVO SSD M.2 2280 - 1TB. Description: SSD (Solid state drive), 1 TB, intern, Datenübertragungsrate:3400 MBps (lesen) / 2500 MBps (schreiben), IOPS: 500000 (lesen) / 450000 (schreiben), 1GB LPDDR4 cache, M.2 2280 (80mm), M.2 2280 (80mm), PCI-Express 3.0 x4 NVMe 1.2 (Non-Volatile Memory Express), 256-bit AES kryptering, TCG Opal Encryption - Samsung Phoenix Controller",970,,,,,931.32 GiB,"3,400.0 MB/s",,PCI Express x4,,,,,,,,,
